Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																								
Дата голосования: 04.12.2011																																								
																																								
Наименование Избирательной комиссии:    район Хамовники																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232					
1	"Число избирателей, внесенных в список избирателей"	59876	2644	2625	2219	2603	1862	1720	1771	1929	1541	1550	1315	2078	1907	2443	2517	2691	1817	2012	2074	2309	2263	2248	1830	1920	2326	2197	2286	1824	387	472	237	170	89					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47766	2030	2230	1700	2080	1540	1350	1360	1510	1250	1230	1040	1610	1450	1890	1900	2130	1430	1600	1700	1800	1820	1790	1610	1550	1865	1740	1600	1590	400	472	240	170	89					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	37257	1110	1590	1377	1723	955	1219	964	1022	1219	684	720	994	1167	1496	1733	1542	1344	1401	1396	1147	1583	1543	1383	1385	1714	1056	1392	1441	143	472	84	170	88					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1440	18	99	76	76	0	21	62	26	17	48	49	42	19	17	6	49	53	36	84	38	19	63	28	8	64	55	91	32	244	0	0	0	0					
6	Число погашенных избирательных бюллетеней	9069	902	541	247	281	585	110	334	462	14	498	271	574	264	377	161	539	33	163	220	615	218	184	199	157	87	629	117	117	13	0	156	0	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1440	18	99	76	76	0	21	62	26	17	48	49	42	19	17	6	49	53	36	84	38	19	63	28	8	64	55	91	32	244	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	36866	1108	1580	1148	1723	955	1219	964	1022	1219	684	716	987	1167	1491	1724	1517	1341	1401	1379	1146	1583	1543	1383	1377	1650	1050	1391	1441	143	472	84	170	88					
9	Число недействительных избирательных бюллетеней	737	21	36	41	7	18	15	31	20	31	24	18	78	0	25	29	21	18	25	22	23	31	33	35	5	32	22	2	51	3	14	1	0	5					
10	Число действительных избирательных бюллетеней	37569	1105	1643	1183	1792	937	1225	995	1028	1205	708	747	951	1186	1483	1701	1545	1376	1412	1441	1161	1571	1573	1376	1380	1682	1083	1480	1422	384	458	83	170	83					
