Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																									
Дата голосования: 02.12.2007																																									
																																									
Наименование Избирательной комиссии:    район Хамовники																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137					
1	"Число избирателей, внесенных в списки избирателей"	55803	1250	1709	2130	2129	1499	2523	1656	1847	1663	1769	1953	1957	1549	1913	2431	1955	1667	1952	2214	2245	2220	2152	1834	1815	2189	1982	2410	1706	576	374	188	174	132	40					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	46141	1175	1285	1750	1667	1442	1748	1320	1546	1267	1364	1860	1657	1421	1560	2165	1600	1300	1586	1662	1834	1868	1669	1418	1494	1862	1655	2171	1275	600	400	150	190	140	40					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	35729	1090	858	1344	1131	1186	1653	935	1292	861	819	1708	1104	1132	1397	1940	1148	1067	1295	1302	1209	1306	1125	937	1073	1529	1154	1955	913	409	374	150	174	130	29					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2503	21	23	121	34	119	31	154	115	29	29	67	47	118	145	141	111	161	121	50	41	105	57	44	15	114	139	159	42	150	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	7909	64	404	285	502	137	64	231	139	377	516	85	506	171	18	84	341	72	170	310	584	457	487	437	406	219	362	57	320	41	26	0	16	10	11					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2501	21	23	121	34	118	31	154	115	29	29	67	47	117	145	141	111	161	121	50	41	105	57	44	15	114	139	159	42	150	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	35603	1090	844	1341	1126	1184	1643	934	1289	859	819	1695	1100	1130	1394	1926	1143	1064	1291	1301	1207	1306	1120	933	1071	1518	1149	1953	907	409	374	150	174	130	29					
9	Число недействительных избирательных бюллетеней	676	19	6	22	13	19	20	15	11	13	16	37	13	19	30	26	21	23	15	21	15	103	16	19	25	22	24	52	14	11	5	3	5	2	1					
10	Число действительных избирательных бюллетеней	37428	1092	861	1440	1147	1283	1654	1073	1393	875	832	1725	1134	1228	1509	2041	1233	1202	1397	1330	1233	1308	1161	958	1061	1610	1264	2060	935	548	369	147	169	128	28					
