Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Омская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №1325	УИК №1326	УИК №1327	УИК №1335	УИК №1336	УИК №1337	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1383	УИК №1384	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1395									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	40797	1674	1101	263	2087	1436	343	1979	197	381	163	1734	2130	1666	1639	953	1340	1222	1902	768	2088	1251	2908	859	441	298	1990	173	2369	2603	433	1418	222	766									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38650	1600	1000	240	2000	1300	300	1900	180	350	150	1700	2000	1600	1600	900	1300	1130	1850	750	2000	1200	2800	800	400	250	1950	160	2100	2500	400	1340	200	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13691	541	313	97	984	492	120	658	48	171	66	678	751	495	506	262	434	339	646	259	820	322	921	295	106	126	717	96	703	688	127	456	98	356									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	648	74	54	14	26	27	5	102	8	15	7	10	9	8	16	5	18	10	12	15	29	8	47	5	6	10	43	0	11	6	1	31	5	11									
6	Число погашенных избирательных бюллетеней	24311	985	633	129	990	781	175	1140	124	164	77	1012	1240	1097	1078	633	848	781	1192	476	1151	870	1832	500	288	114	1190	64	1386	1806	272	853	97	333									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	648	74	54	14	26	27	5	102	8	15	7	10	9	8	16	5	18	10	12	15	29	8	47	5	6	10	43	0	11	6	1	31	5	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13662	541	313	97	984	492	120	658	48	171	66	678	751	495	506	262	433	339	646	259	820	322	893	295	106	126	717	96	703	688	127	456	98	356									
9	Число недействительных избирательных бюллетеней	448	1	14	4	42	20	4	19	3	4	0	32	18	16	17	13	12	13	6	5	33	11	35	5	4	4	27	5	24	15	10	17	2	13									
10	Число действительных избирательных бюллетеней	13862	614	353	107	968	499	121	741	53	182	73	656	742	487	505	254	439	336	652	269	816	319	905	295	108	132	733	91	690	679	118	470	101	354									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	786	30	30	15	80	25	10	25	10	10	10	25	30	25	25	20	25	20	25	15	30	20	36	20	15	15	25	10	30	30	15	30	15	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	227	3	2	0	66	2	1	3	0	2	0	2	5	2	5	2	2	10	6	1	5	5	30	4	5	3	7	0	15	23	0	7	0	9									
