Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Краснокаменская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46742	2737	2152	2153	2446	2083	2022	1915	1889	1786	1444	1882	2222	2023	2091	2032	2345	2251	2194	2429	65	550	966	1361	887	585	236	500	427	669	285	115									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41550	2200	2000	2000	2100	1800	1800	1600	1600	1600	1200	1600	2000	1800	1800	1800	2000	2000	1900	2100	300	550	950	1350	850	550	200	500	400	650	250	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16556	897	699	572	941	736	631	664	705	703	534	684	805	741	836	674	910	790	863	776	23	135	344	458	317	209	98	227	151	250	140	43									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	696	25	8	17	18	13	223	10	15	15	5	5	11	10	2	8	5	7	8	17	15	31	53	37	46	25	5	17	19	16	9	1									
6	Число погашенных избирательных бюллетеней	24298	1278	1293	1411	1141	1051	946	926	880	882	661	911	1184	1049	962	1118	1085	1203	1029	1307	262	384	553	855	487	316	97	256	230	384	101	56									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	696	25	8	17	18	13	223	10	15	15	5	5	11	10	2	8	5	7	8	17	15	31	53	37	46	25	5	17	19	16	9	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16532	897	697	572	939	723	631	664	705	703	533	683	805	741	836	673	907	789	863	776	23	135	344	458	317	209	98	227	151	250	140	43									
9	Число недействительных избирательных бюллетеней	524	21	29	12	32	22	62	23	26	32	14	15	23	21	17	7	30	25	29	21	1	3	10	10	9	10	0	6	3	6	5	0									
10	Число действительных избирательных бюллетеней	16704	901	676	577	925	714	792	651	694	686	524	673	793	730	821	674	882	771	842	772	37	163	387	485	354	224	103	238	167	260	144	44									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	650	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	0	15	20	20	20	15	10	15	15	20	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	149	10	2	3	8	7	10	7	4	4	6	1	3	9	5	1	7	9	5	4	0	1	20	4	0	1	1	5	5	4	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	80	3	1	2	1	5	4	2	7	1	3	2	5	3	0	3	0	0	4	4	3	1	2	4	0	2	1	5	3	5	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	501	15	23	22	17	18	15	18	21	21	19	24	22	16	20	24	18	16	20	21	0	14	0	16	20	14	9	10	10	16	12	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	0	3	1	2	5	2	0	2	1	1	0	0	5	0	1	1	3	2	3	0	0	1	1	0	0	0	1	3	1	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
