Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Вольская																																																																																												
																																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																												
																																																																																												
		Сумма	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158	УИК  159	УИК  160	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205					
1	"Число избирателей, внесенных в списки"	75633	2191	801	759	2356	1322	392	396	340	634	1348	1082	932	520	1014	39	1442	1092	734	1534	1617	1548	1500	2874	2246	1790	386	1626	1611	1891	1093	1531	1214	841	785	677	48	499	944	1154	2403	615	383	940	180	188	519	2765	1460	132	858	517	148	329	722	436	513	735	147	56	378	250	632	146	186	188	491	867	531	360	155	120	514	2981	2308	371	418	629	656	374	262	143	298	2563	702	261					
2	"Число бюллетеней, полученных участковыми комиссиями"	76400	2214	791	760	2351	1296	400	394	332	625	1321	1069	936	500	979	50	1454	1697	704	1515	1612	1560	1363	2819	2250	1852	450	1520	1600	1758	1052	1526	1213	822	796	677	80	490	958	1170	2434	616	390	912	171	250	526	2761	1478	135	860	510	145	335	746	460	540	770	150	60	395	265	660	155	195	190	495	905	560	385	155	125	525	2985	2255	375	410	935	630	370	255	140	350	2530	690	260					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	47363	1641	423	369	1297	645	125	160	146	345	711	500	522	237	569	39	830	850	302	960	917	872	680	2336	1304	966	381	787	928	1175	613	796	716	463	367	347	48	225	479	652	1525	240	162	465	125	188	363	1776	1102	117	606	442	141	259	602	287	405	668	135	49	327	206	465	117	181	152	361	808	356	296	146	104	219	1653	1682	254	373	569	414	292	174	88	192	1895	482	177					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3594	30	56	90	61	51	60	21	23	56	32	33	31	31	43	0	52	68	41	36	25	65	102	14	31	23	0	29	64	215	82	49	35	31	39	24	0	39	52	26	28	67	34	38	12	0	0	42	144	0	80	68	4	48	55	90	48	6	7	5	37	38	64	7	0	26	81	47	54	39	0	2	199	49	4	104	12	60	46	13	23	20	3	61	53	16					
6	Число погашенных бюллетеней	25443	543	312	301	993	600	215	213	163	224	578	536	383	232	367	11	572	779	361	519	670	623	581	469	915	863	69	704	608	368	357	681	462	328	390	306	32	226	427	492	881	309	194	409	34	62	163	943	232	18	174	0	0	28	89	83	87	96	8	6	31	21	131	31	14	12	53	50	150	50	9	19	107	1283	569	17	25	306	170	65	58	32	155	574	155	67					
7	Число бюллетеней в переносных ящиках для голосования	3594	30	56	90	61	51	60	21	23	56	32	33	31	31	43	0	52	68	41	36	25	65	102	14	31	23	0	29	64	215	82	49	35	31	39	24	0	39	52	26	28	67	34	38	12	0	0	42	144	0	80	68	4	48	55	90	48	6	7	5	37	38	64	7	0	26	81	47	54	39	0	2	199	49	4	104	12	60	46	13	23	20	3	61	53	16					
8	Число бюллетеней в стационарных ящиках для голосования	47301	1596	423	369	1297	645	125	160	146	345	711	500	522	237	569	39	830	850	302	960	914	872	680	2334	1304	965	381	783	928	1175	613	796	716	463	367	347	48	224	479	652	1524	240	162	465	125	188	363	1776	1101	117	606	442	141	259	602	287	405	668	135	49	327	206	465	117	181	152	361	808	355	296	146	104	219	1653	1682	254	373	569	414	292	174	88	192	1892	482	177					
9	Число недействительных бюллетеней	798	57	3	1	32	38	2	4	7	3	12	11	15	12	28	0	13	0	5	19	4	11	9	9	12	12	19	6	2	19	9	3	26	4	0	5	0	0	7	16	41	4	10	7	0	0	9	12	17	0	3	19	1	18	3	5	11	10	0	2	5	0	1	0	1	0	0	4	1	8	0	0	6	0	0	11	1	1	10	19	1	2	2	109	4	5					
10	Число действительных бюллетеней	50097	1569	476	458	1326	658	183	177	162	398	731	522	538	256	584	39	869	918	338	977	935	926	773	2339	1323	976	362	806	990	1371	686	842	725	490	406	366	48	263	524	662	1511	303	186	496	137	188	354	1806	1228	117	683	491	144	289	654	372	442	664	142	52	359	244	528	124	180	178	442	851	408	327	146	106	412	1702	1686	347	384	628	450	286	196	106	193	1844	531	188					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2380	50	10	30	50	40	10	20	20	20	40	40	40	40	40	0	50	40	30	40	40	30	40	50	50	50	0	40	40	50	40	40	40	30	30	30	0	20	40	40	50	30	10	30	10	0	40	80	70	10	20	30	10	20	20	20	20	30	5	5	20	20	30	5	5	5	30	30	30	5	5	5	20	60	60	20	10	30	30	20	10	5	20	50	30	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1049	39	2	15	18	9	7	7	9	12	18	22	25	11	20	0	32	22	8	38	40	27	17	50	50	50	0	23	20	29	19	36	28	13	14	13	0	1	25	22	48	9	7	7	0	0	5	31	9	2	4	4	0	0	7	1	6	6	0	0	1	0	10	1	1	0	5	4	1	5	0	0	5	20	17	0	2	14	4	2	0	0	1	17	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1114	7	2	6	24	12	3	2	9	8	7	13	1	23	31	35	5	7	15	67	11	12	8	10	5	0	341	4	3	99	20	6	5	8	1	0	24	4	3	6	23	6	5	0	9	111	1	4	2	1	5	4	0	0	1	1	2	3	2	0	8	1	4	0	0	1	3	0	1	3	2	1	2	10	2	2	3	7	5	0	2	2	10	5	12	1					
14	Число погашенных открепительных удостоверений	1331	11	8	15	32	31	3	13	11	8	22	18	15	29	20	0	18	18	22	2	0	3	23	0	0	0	0	17	20	21	21	4	12	17	16	17	0	19	15	18	2	21	3	23	10	0	35	49	61	8	16	26	10	20	13	19	14	24	5	5	19	20	20	4	4	5	25	26	29	0	5	5	15	40	43	20	8	16	26	18	10	5	19	33	28	5					
15	Число открепительных удостоверений выданных ТИК	620	2	2	1	1	0	1	0	0	0	4	1	1	2	0	0	1	589	0	0	0	0	1	0	2	1	0	0	1	0	3	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
