Выборы Президента Российской Федерации																																																																			
																																																																			
"Наименование Избирательной комиссии:    Ростов-на-Дону, Первомайская"																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1490	УИК №1491	УИК №1492	УИК №2485					
1	"Число избирателей, внесенных в список"	120825	2201	2707	2313	2770	1953	1942	1893	2048	2034	2124	2430	1830	2236	2088	1569	1383	1891	2142	2065	2029	1800	1597	2324	2268	1633	2783	2253	2548	1711	1604	2154	2791	2640	2660	1962	1383	2449	2667	1620	2160	1754	1746	1728	1395	1540	1573	1815	1595	1869	1821	2190	746	1217	2149	2087	1444	2715	2041	2209	2536					
2	Число полученных избирательных бюллетеней	113700	2100	2500	2200	2600	1800	1800	1800	2000	1800	2000	2200	1700	2100	2000	1500	1300	1800	2000	2000	2000	1700	1500	2200	2100	1500	2100	2100	2500	1600	1500	2000	2600	2500	2500	2000	1300	2300	2500	1500	2100	1700	1700	1700	1300	1500	1500	1700	1500	1700	1700	2100	700	1100	2000	2000	1300	2600	2000	2100	2500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	78287	1382	1942	1387	2008	1338	1419	906	1638	1143	1480	1832	1037	1599	1707	835	874	1074	1463	1517	1452	1407	1133	1575	1719	909	1486	1545	1883	916	1223	1577	1797	1660	1825	1421	772	1376	1430	911	1468	992	980	1063	757	871	767	1160	960	1054	1060	1321	458	681	1480	1303	842	1862	1586	1447	1577					
5	"Число избирательных бюллетеней, выданных вне помещения"	5190	19	14	23	48	8	38	211	53	15	46	32	160	97	53	345	94	113	99	96	65	48	69	121	58	16	467	58	35	140	144	54	76	62	52	95	199	121	45	25	81	379	26	55	31	37	177	41	88	42	39	50	16	114	78	82	42	36	59	184	19					
6	Число погашенных избирательных бюллетеней	30223	699	544	790	544	454	343	683	309	642	474	336	503	404	240	320	332	613	438	387	483	245	298	504	323	575	147	497	582	544	133	369	727	778	623	484	329	803	1025	564	551	329	694	582	512	592	556	499	452	604	601	729	226	305	442	615	416	702	355	469	904					
7	Число избирательных бюллетеней в переносных ящиках	5190	19	14	23	48	8	38	211	53	15	46	32	160	97	53	345	94	113	99	96	65	48	69	121	58	16	467	58	35	140	144	54	76	62	52	95	199	121	45	25	81	379	26	55	31	37	177	41	88	42	39	50	16	114	78	82	42	36	59	184	19					
8	Число бюллетеней в стационарных ящиках для голосования	78209	1382	1942	1387	2008	1338	1419	906	1638	1143	1480	1832	1037	1598	1707	835	874	1068	1463	1517	1452	1407	1133	1575	1719	909	1478	1545	1883	916	1223	1576	1797	1625	1825	1421	772	1376	1428	911	1467	992	977	1063	755	868	767	1160	960	1052	1060	1320	458	681	1480	1303	830	1861	1586	1447	1577					
9	Число недействительных избирательных бюллетеней	449	3	6	7	15	4	10	0	8	3	3	15	14	10	12	5	2	19	8	0	0	0	0	22	7	7	5	28	11	6	3	7	22	8	20	12	2	0	10	7	11	3	5	5	2	5	8	25	0	5	6	8	3	0	19	3	4	4	8	3	1					
10	Число действительных избирательных бюллетеней	82950	1398	1950	1403	2041	1342	1447	1117	1683	1155	1523	1849	1183	1685	1748	1175	966	1162	1554	1613	1517	1455	1202	1674	1770	918	1940	1575	1907	1050	1364	1623	1851	1679	1857	1504	969	1497	1463	929	1537	1368	998	1113	784	900	936	1176	1048	1089	1093	1362	471	795	1539	1382	868	1893	1637	1628	1595					
11	Число полученных открепительных  удостоверений	3285	50	70	60	70	50	50	50	50	70	50	80	50	50	50	40	40	50	50	50	50	50	40	60	50	40	60	60	85	40	40	50	70	60	70	70	30	60	70	40	60	170	40	50	30	40	40	40	40	50	40	60	40	30	50	60	60	70	50	50	90					
12	Число выданных открепительных удостоверений	2542	43	41	60	62	49	42	29	50	65	47	63	34	50	50	12	32	34	19	50	50	31	31	46	35	30	49	58	85	40	36	39	31	54	43	51	10	50	38	35	50	60	32	47	28	29	17	38	40	39	38	55	30	10	41	39	56	66	50	40	63					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1622	13	15	15	11	17	81	30	11	38	11	68	16	14	10	16	13	12	23	3	15	25	7	13	30	15	161	15	9	15	6	12	14	56	13	13	15	23	13	20	12	29	23	63	23	31	38	54	35	24	29	8	64	8	26	121	58	16	15	21	17					
14	Число неиспользованных открепительных удостоверений	743	7	29	0	8	1	8	21	0	5	3	17	16	0	0	28	8	16	31	0	0	19	9	14	15	10	11	2	0	0	4	11	39	6	27	19	20	10	32	5	10	110	8	3	2	11	23	2	0	11	2	5	10	20	9	21	4	4	0	10	27					
15	"Число открепительных удостоверений, выданных в ТИК"	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																			
18	. Глазьев Сергей Юрьевич	4070	56	115	51	83	59	24	55	72	54	56	61	69	66	79	58	28	63	58	91	77	63	28	70	91	74	80	57	155	47	65	93	93	98	102	57	54	100	116	39	106	54	56	75	60	58	40	47	36	68	68	87	20	32	56	102	53	80	82	70	63					
		4.88%	4.00%	5.88%	3.62%	4.04%	4.38%	1.65%	4.92%	4.26%	4.66%	3.67%	3.27%	5.76%	3.89%	4.49%	4.92%	2.89%	5.33%	3.71%	5.64%	5.08%	4.33%	2.33%	4.13%	5.12%	8.00%	4.11%	3.56%	8.08%	4.45%	4.75%	5.71%	4.97%	5.81%	5.43%	3.76%	5.56%	6.68%	7.88%	4.17%	6.85%	3.94%	5.58%	6.71%	7.63%	6.41%	4.24%	3.91%	3.44%	6.22%	6.19%	6.35%	4.22%	4.03%	3.59%	7.36%	6.08%	4.22%	4.98%	4.29%	3.95%					
19	. Малышкин Олег Александрович	1371	26	39	29	32	27	20	21	24	28	29	33	18	28	39	16	23	19	14	15	36	17	14	27	21	26	31	24	30	12	20	29	37	37	22	16	11	14	27	16	23	28	28	24	12	17	5	18	12	21	16	14	9	13	25	20	18	40	20	17	44					
