Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																															
Дата голосования: 18.09.2016																																																																															
																																																																															
Наименование Избирательной комиссии:    Крымская																																																																															
																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																															
																																																																															
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	98328	2394	1737	2075	2528	1778	632	2094	1675	1711	2190	2132	2037	1880	2561	2397	2667	1971	1303	2619	1718	3008	1527	179	1717	2281	704	689	1100	231	727	215	2329	288	226	515	2154	2184	2310	2482	408	891	2428	1101	209	460	1828	500	2021	1509	1374	1541	1986	2837	439	293	639	308	473	743	629	2752	2671	1257	577	1681	850	754	204									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	97395	2390	1725	2085	2495	1780	615	2100	1650	1725	2140	2100	2010	1885	2530	2355	2645	1975	1310	2650	1730	2890	1530	180	1690	2265	710	670	1080	230	725	215	2330	290	210	520	2120	2170	2310	2450	405	885	2400	1100	210	445	1790	510	1950	1500	1390	1540	1960	2810	440	295	620	310	460	730	615	2740	2670	1230	550	1640	810	710	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	48987	1247	541	748	714	1050	298	576	1273	427	1164	658	671	1001	767	1239	878	805	812	991	1040	1869	1100	76	1136	1509	426	345	485	174	471	142	1218	214	150	244	818	1421	649	1833	283	591	562	594	49	289	1156	149	1172	679	870	950	563	1114	194	119	328	242	211	537	415	1797	1312	729	400	1241	556	583	122									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	6592	142	88	171	88	35	58	114	191	79	76	109	139	122	56	154	96	58	95	39	93	38	182	33	232	294	75	74	61	30	39	10	278	22	21	20	84	26	132	104	20	43	74	194	38	23	145	200	96	193	238	129	151	151	35	35	140	44	126	56	46	66	50	173	88	184	30	21	45									
6	Число погашенных избирательных бюллетеней	41816	1001	1096	1166	1693	695	259	1410	186	1219	900	1333	1200	762	1707	962	1671	1112	403	1620	597	983	248	71	322	462	209	251	534	26	215	63	834	54	39	256	1218	723	1529	513	102	251	1764	312	123	133	489	161	682	628	282	461	1246	1545	211	141	152	24	123	137	154	877	1308	328	62	215	224	106	33									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	6592	142	88	171	88	35	58	114	191	79	76	109	139	122	56	154	96	58	95	39	93	38	182	33	232	294	75	74	61	30	39	10	278	22	21	20	84	26	132	104	20	43	74	194	38	23	145	200	96	193	238	129	151	151	35	35	140	44	126	56	46	66	50	173	88	184	30	21	45									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	48938	1247	541	748	714	1050	298	576	1273	427	1164	658	671	1001	767	1239	878	805	812	942	1040	1869	1100	76	1136	1509	426	345	485	174	471	142	1218	214	150	244	818	1421	649	1833	283	591	562	594	49	289	1156	149	1172	679	870	950	563	1114	194	119	328	242	211	537	415	1797	1312	729	400	1241	556	583	122									
9	Число недействительных избирательных бюллетеней	632	18	3	15	17	0	4	20	15	9	6	23	20	14	22	9	27	26	5	35	7	9	0	4	0	28	2	0	11	2	7	0	7	0	3	1	6	17	6	0	2	0	10	7	5	3	13	8	21	19	8	21	15	16	7	0	6	0	0	1	5	0	28	11	0	24	4	0	0									
10	Число действительных избирательных бюллетеней	54898	1371	626	904	785	1085	352	670	1449	497	1234	744	790	1109	801	1384	947	837	902	946	1126	1898	1282	105	1368	1775	499	419	535	202	503	152	1489	236	168	263	896	1430	775	1937	301	634	626	781	82	309	1288	341	1247	853	1100	1058	699	1249	222	154	462	286	337	592	456	1863	1334	891	488	1401	582	604	167									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	885	20	20	20	20	20	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20	50	20	5	10	10	5	5	10	5	5	5	20	10	5	5	15	15	15	15	5	5	15	5	5	5	10	5	10	20	10	25	10	10	5	5	5	5	5	5	5	15	15	10	5	20	10	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	517	5	20	7	11	17	1	10	3	10	16	11	11	9	16	9	14	6	12	10	11	50	20	0	10	5	5	5	10	5	5	5	20	10	0	5	1	8	6	15	0	2	2	4	5	0	2	5	10	2	5	17	10	10	5	0	5	5	5	5	4	6	3	2	2	3	2	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	302	4	5	5	13	5	5	4	8	3	4	11	3	3	14	13	7	4	4	10	4	10	3	0	3	4	1	3	2	7	3	2	5	1	2	3	12	2	8	3	1	3	3	0	0	0	3	2	5	8	8	7	3	8	2	1	1	4	0	5	8	2	5	6	3	2	5	2	2									
