Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Людиновская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417	УИК  418	УИК  419	УИК  420	УИК  421	УИК  422	УИК  423	УИК  424	УИК  425	УИК  426	УИК  427	УИК  428	УИК  429	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436	УИК  437	УИК  438	УИК  439	УИК  440	УИК  441	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448					
1	"Число избирателей, внесенных в списки"	37110	2519	1320	1494	1308	1765	2959	1648	1560	3008	2832	1177	737	720	765	1842	1500	1706	2364	1294	1058	291	412	132	241	188	92	87	368	306	196	125	225	124	77	164	506					
2	"Число бюллетеней, полученных участковыми комиссиями"	35660	2530	1280	1460	1300	1800	2600	1500	1475	2700	2860	1130	730	700	730	1810	1425	1615	2200	1245	995	308	430	143	245	187	91	107	355	300	187	122	220	127	72	166	515					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18317	1413	670	675	684	924	1451	761	732	1522	1372	584	338	306	368	931	759	816	1125	669	477	135	168	84	101	103	71	37	157	157	123	64	79	68	47	88	258					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	917	28	11	30	18	13	46	23	43	19	20	45	27	30	21	16	16	5	17	9	44	29	67	21	47	7	0	20	77	0	9	0	43	10	5	31	70					
6	Число погашенных бюллетеней	16426	1089	599	755	598	863	1103	716	700	1159	1468	501	365	364	341	863	650	794	1058	567	474	144	195	38	97	77	20	50	121	143	55	58	98	49	20	47	187					
7	Число бюллетеней в переносных ящиках для голосования	917	28	11	30	18	13	46	23	43	19	20	45	27	30	21	16	16	5	17	9	44	29	67	21	47	7	0	20	77	0	9	0	43	10	5	31	70					
8	Число бюллетеней в стационарных ящиках для голосования	18283	1413	669	675	684	924	1451	757	722	1522	1372	584	338	306	368	931	743	816	1124	668	477	135	168	84	101	103	71	37	157	157	123	64	79	68	47	88	257					
9	Число недействительных бюллетеней	292	24	10	18	8	7	13	8	7	18	12	8	10	8	11	13	10	9	34	7	13	2	0	1	2	3	2	5	4	1	4	0	0	1	1	0	18					
10	Число действительных бюллетеней	18908	1417	670	687	694	930	1484	772	758	1523	1380	621	355	328	378	934	749	812	1107	670	508	162	235	104	146	107	69	52	230	156	128	64	122	77	51	119	309					
