Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Альметьевская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК  816	УИК  817	УИК  818	УИК  819	УИК  820	УИК  821	УИК  822	УИК  823	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829	УИК  830	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865					
1	"Число избирателей, внесенных в списки"	27508	1842	1155	803	1393	558	465	516	702	424	657	292	499	198	1021	820	614	522	785	689	439	196	598	260	182	371	96	453	274	425	492	1609	1185	218	245	247	303	136	464	412	400	604	844	307	115	722	735	289	113	401	418					
2	"Число бюллетеней, полученных участковыми комиссиями"	27344	1849	1194	819	1387	569	449	517	699	419	653	300	511	191	1017	808	615	506	773	679	433	188	591	257	175	370	95	437	268	416	482	1581	1192	211	245	241	314	140	469	422	370	583	840	311	118	705	717	289	114	401	414					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24829	1615	1063	723	1050	529	419	501	686	413	563	250	478	176	944	750	570	501	765	590	381	188	511	217	162	336	82	395	260	402	403	1374	1097	195	229	220	292	128	421	379	336	549	803	301	111	664	674	266	112	394	361					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1245	70	79	38	83	18	30	5	0	0	32	42	21	13	49	34	36	5	8	64	43	0	31	26	13	22	10	42	0	1	65	34	25	16	16	19	11	3	31	17	21	31	0	2	4	21	38	23	0	0	53					
6	Число погашенных бюллетеней	1270	164	52	58	254	22	0	11	13	6	58	8	12	2	24	24	9	0	0	25	9	0	49	14	0	12	3	0	8	13	14	173	70	0	0	2	11	9	17	26	13	3	37	8	3	20	5	0	2	7	0					
7	Число бюллетеней в переносных ящиках для голосования	1245	70	79	38	83	18	30	5	0	0	32	42	21	13	49	34	36	5	8	64	43	0	31	26	13	22	10	42	0	1	65	34	25	16	16	19	11	3	31	17	21	31	0	2	4	21	38	23	0	0	53					
8	Число бюллетеней в стационарных ящиках для голосования	24829	1615	1063	723	1050	529	419	501	686	413	563	250	478	176	944	750	570	501	765	590	381	188	511	217	162	336	82	395	260	402	403	1374	1097	195	229	220	292	128	421	379	336	549	803	301	111	664	674	266	112	394	361					
9	Число недействительных бюллетеней	271	5	12	0	2	4	0	10	0	0	30	0	5	2	0	13	2	0	0	21	7	0	24	28	1	4	0	51	0	3	3	18	0	1	0	2	0	2	0	16	0	0	3	0	0	2	0	0	0	0	0					
10	Число действительных бюллетеней	25803	1680	1130	761	1131	543	449	496	686	413	565	292	494	187	993	771	604	506	773	633	417	188	518	215	174	354	92	386	260	400	465	1390	1122	210	245	237	303	129	452	380	357	580	800	303	115	683	712	289	112	394	414					
