Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    район Ново-Переделкино																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675	УИК №2676	УИК №2677	УИК №2678	УИК №2679	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №3759									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	74865	2537	2756	2271	1724	2191	2046	2123	2237	2152	2462	2243	1749	1677	1977	1148	2443	2241	2082	1970	2237	2320	1361	1858	1442	1909	1890	2268	2262	2294	2051	2163	2157	2423	1978	1679	2508	36									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	70740	2400	2500	2200	1600	2000	1900	2000	2100	2000	2300	2100	1600	1600	1900	1100	2300	2100	2000	1900	2100	2200	1300	1700	1400	1800	1800	2200	2200	2200	2000	2100	1900	2300	1900	1600	2400	40									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24637	952	897	666	564	708	683	695	675	632	798	679	606	566	704	383	805	753	623	623	669	699	420	865	454	629	666	691	738	814	723	738	827	819	712	415	710	36									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	510	21	21	14	6	24	11	31	20	34	8	10	6	10	8	2	24	11	15	20	19	16	5	5	10	11	1	6	14	14	12	13	2	3	4	66	13	0									
6	Число погашенных избирательных бюллетеней	45593	1427	1582	1520	1030	1268	1206	1274	1405	1334	1494	1411	988	1024	1188	715	1471	1336	1362	1257	1412	1485	875	830	936	1160	1133	1503	1448	1372	1265	1349	1071	1478	1184	1119	1677	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	510	21	21	14	6	24	11	31	20	34	8	10	6	10	8	2	24	11	15	20	19	16	5	5	10	11	1	6	14	14	12	13	2	3	4	66	13	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24606	952	897	663	564	708	683	695	670	632	798	679	606	566	704	383	804	749	623	623	669	693	419	865	453	629	666	690	738	812	720	737	825	819	711	415	710	36									
9	Число недействительных избирательных бюллетеней	423	19	15	11	4	20	17	19	9	3	20	9	11	7	12	3	17	11	10	6	14	13	2	39	3	9	12	12	13	10	17	7	17	8	8	7	9	0									
10	Число действительных избирательных бюллетеней	24693	954	903	666	566	712	677	707	681	663	786	680	601	569	700	382	811	749	628	637	674	696	422	831	460	631	655	684	739	816	715	743	810	814	707	474	714	36									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1000	30	30	30	20	30	30	30	30	30	30	30	20	40	20	20	30	30	30	30	30	30	20	20	20	20	30	30	30	30	30	30	30	30	30	20	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	498	13	9	8	18	9	11	11	17	13	18	9	14	31	17	5	10	16	11	26	15	17	9	13	6	10	7	17	13	25	17	16	15	8	18	5	21	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1095	75	102	39	50	81	57	14	15	19	14	22	8	67	32	29	41	38	13	8	4	1	4	45	7	9	16	3	8	4	8	4	194	26	8	8	9	13									
14	Число погашенных неиспользованных открепительных удостоверений	502	17	21	22	2	21	19	19	13	17	12	21	6	9	3	15	20	14	19	4	15	13	11	7	14	10	23	13	17	5	13	14	15	22	12	15	9	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	83	3	1	1	4	4	2	1	2	5	3	1	1	1	3	0	1	7	1	3	2	2	3	0	0	5	3	0	6	3	5	1	3	1	0	2	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	788	37	32	20	21	10	14	22	17	27	29	24	15	16	14	13	21	19	13	28	25	21	17	23	24	21	11	22	15	23	29	41	18	36	28	14	27	1									
		3.14%	3.80%	3.49%	2.95%	3.68%	1.37%	2.02%	3.03%	2.46%	4.05%	3.60%	3.48%	2.45%	2.78%	1.97%	3.38%	2.54%	2.50%	2.04%	4.35%	3.63%	2.96%	4.01%	2.64%	5.18%	3.28%	1.65%	3.16%	1.99%	2.78%	3.96%	5.47%	2.18%	4.38%	3.92%	2.91%	3.73%	2.78%									
