Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Усть-Калманская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720					
1	"Число избирателей, внесенных в список"	14409	2047	1830	1526	237	193	374	1135	101	107	526	83	585	232	75	915	203	341	667	108	575	637	615	1049	109	139					
2	Число полученных избирательных бюллетеней	14000	1840	1700	1300	235	205	375	1100	105	115	525	90	590	235	75	1000	200	345	675	110	595	655	615	1055	115	145					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9722	1318	1117	870	182	126	283	773	86	98	337	66	439	193	53	656	148	255	472	90	417	443	418	677	87	118					
5	"Число избирательных бюллетеней, выданных вне помещения"	571	62	51	51	0	6	10	37	3	6	22	2	43	0	0	32	16	33	23	3	21	55	31	40	14	10					
6	Число погашенных избирательных бюллетеней	3707	460	532	379	53	73	82	290	16	11	166	22	108	42	22	312	36	57	180	17	157	157	166	338	14	17					
7	Число избирательных бюллетеней в переносных ящиках	571	62	51	51	0	6	10	37	3	6	22	2	43	0	0	32	16	33	23	3	21	55	31	40	14	10					
8	Число бюллетеней в стационарных ящиках для голосования	9686	1318	1115	870	182	126	283	773	86	98	336	66	439	193	53	624	148	255	472	90	416	443	418	677	87	118					
9	Число недействительных избирательных бюллетеней	108	24	27	1	2	5	3	4	1	0	4	0	1	1	0	7	0	1	5	0	5	7	2	8	0	0					
10	Число действительных избирательных бюллетеней	10149	1356	1139	920	180	127	290	806	88	104	354	68	481	192	53	649	164	287	490	93	432	491	447	709	101	128					
11	Число полученных открепительных  удостоверений	181	15	13	10	5	5	5	10	5	5	5	5	5	7	5	10	5	5	6	5	8	8	10	9	7	8					
12	Число выданных открепительных удостоверений	43	10	13	5	0	1	3	0	1	1	0	1	1	0	1	1	0	1	4	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	2	1	0	0	1	2	3	0	0	1	0	0	0	0	0	2	0	3	2	1	2	0	0	0	2					
14	Число неиспользованных открепительных удостоверений	138	5	0	5	5	4	2	10	4	4	5	4	4	7	4	9	5	4	2	5	8	8	10	9	7	8					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	342	57	57	21	14	2	10	32	0	3	15	2	12	5	1	26	4	7	7	0	10	16	18	23	0	0					
