Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Катав-Ивановская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №2304	УИК №2305	УИК №2306	УИК №2307									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26207	850	852	891	1017	563	1674	939	902	432	480	939	457	165	947	914	968	1158	680	1303	1349	1238	1363	1157	725	606	99	215	420	244	193	338	353	111	89	58	311	322	476	409									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21910	700	700	700	800	450	1500	750	750	350	400	750	400	150	800	750	800	1000	600	1100	1100	1000	1100	1000	600	450	100	200	400	250	180	300	300	100	80	50	250	200	400	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13243	421	537	456	593	278	1013	463	505	219	228	461	219	94	523	525	520	455	326	620	646	559	562	477	255	293	66	143	248	132	134	219	165	73	58	33	163	132	233	196									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	717	32	14	27	32	26	24	24	47	21	5	21	11	12	22	7	48	13	13	12	9	9	17	39	32	6	6	9	7	36	11	26	23	11	3	6	11	15	18	12									
6	Число погашенных избирательных бюллетеней	7949	247	149	217	175	146	463	263	198	110	166	268	170	44	255	218	232	532	261	468	445	432	521	484	313	151	28	48	145	82	35	55	112	16	19	11	76	53	149	192									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	717	32	14	27	32	26	24	24	47	21	5	21	11	12	22	7	48	13	13	12	9	9	17	39	32	6	6	9	7	36	11	26	23	11	3	6	11	15	18	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13241	420	537	456	593	278	1012	463	505	219	229	461	219	94	523	525	520	455	326	620	646	559	561	477	255	293	66	143	248	132	134	219	165	73	58	33	163	132	233	196									
9	Число недействительных избирательных бюллетеней	525	14	17	8	30	16	36	27	24	9	7	13	15	4	20	21	24	15	12	23	29	27	15	16	7	7	3	6	13	5	2	11	1	0	5	1	3	9	18	12									
10	Число действительных избирательных бюллетеней	13433	438	534	475	595	288	1000	460	528	231	227	469	215	102	525	511	544	453	327	609	626	541	563	500	280	292	69	146	242	163	143	234	187	84	56	38	171	138	233	196									
