Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Верхнетуринская городская																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7965	955	1049	1177	804	1976	2004									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8100	950	1050	1200	850	2000	2050									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2690	311	311	369	321	670	708									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	193	73	26	11	5	18	60									
6	Число погашенных избирательных бюллетеней	5217	566	713	820	524	1312	1282									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	193	73	26	11	5	18	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2688	311	311	369	321	668	708									
9	Число недействительных избирательных бюллетеней	90	13	9	16	7	19	26									
10	Число действительных избирательных бюллетеней	2791	371	328	364	319	667	742									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	270	45	45	45	45	45	45									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	67	12	10	5	9	14	17									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	58	9	7	9	14	7	12									
14	Число погашенных неиспользованных открепительных удостоверений	203	33	35	40	36	31	28									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	2	5	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	29	0	4	7	5	4	9									
		1.01%	0.00%	1.19%	1.84%	1.53%	0.58%	1.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	122	12	13	14	20	37	26									
		4.23%	3.13%	3.86%	3.68%	6.13%	5.39%	3.39%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	75	9	9	7	6	17	27									
		2.60%	2.34%	2.67%	1.84%	1.84%	2.48%	3.52%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1043	149	118	144	128	230	274									
		36.20%	38.80%	35.01%	37.89%	39.26%	33.53%	35.68%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	28	4	2	4	5	2	11									
		0.97%	1.04%	0.59%	1.05%	1.53%	0.29%	1.43%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	0	2	2	3	1	2									
		0.35%	0.00%	0.59%	0.53%	0.92%	0.15%	0.26%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	476	76	58	59	57	116	110									
		16.52%	19.79%	17.21%	15.53%	17.48%	16.91%	14.32%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	4	0	0	0	2	1	1									
		0.14%	0.00%	0.00%	0.00%	0.61%	0.15%	0.13%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	1	3	2	3	5	7									
		0.73%	0.26%	0.89%	0.53%	0.92%	0.73%	0.91%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	1	0	0	0	2									
		0.10%	0.00%	0.30%	0.00%	0.00%	0.00%	0.26%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	25	2	1	3	1	9	9									
		0.87%	0.52%	0.30%	0.79%	0.31%	1.31%	1.17%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	638	85	89	87	50	168	159									
		22.15%	22.14%	26.41%	22.89%	15.34%	24.49%	20.70%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	0	1	1	0	8	4									
		0.49%	0.00%	0.30%	0.26%	0.00%	1.17%	0.52%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	303	33	27	34	39	69	101									
		10.52%	8.59%	8.01%	8.95%	11.96%	10.06%	13.15%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
