Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																													
Дата голосования: 02.12.2007																																																																													
																																																																													
"Наименование Избирательной комиссии:    Новосибирск, Октябрьская"																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904					
1	"Число избирателей, внесенных в списки избирателей"	145226	2809	1886	2620	2500	2131	1804	2324	2234	2758	2565	2035	2557	1546	1617	1855	2179	2299	2498	2079	2245	2174	2171	2120	2065	1711	1427	1515	1999	1953	2402	2333	1992	2959	2416	2437	2624	2969	2435	1497	1514	1180	518	1091	1162	433	2118	2392	1837	2370	1785	1860	2716	2482	2435	2753	3014	2645	1928	1898	2917	2355	2064	2432	1776	1335	1368	2044	354	2044	2666					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	117440	2130	1450	1890	1950	1710	1800	1860	1780	2210	2040	1600	2040	1230	1290	1700	1720	1810	1930	1830	1900	1720	2070	1650	1340	1340	1200	1500	1620	1570	1900	1840	1580	2330	1920	1960	2110	2390	1960	1000	1130	1130	550	900	930	400	2000	1930	1430	1900	1410	1500	2180	1950	1940	2300	2340	2120	1500	1510	2350	1860	1640	1930	1420	1070	1090	1620	340	1600	2600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	77585	1195	1047	1218	1076	1266	1406	1125	1139	1593	1288	1060	1049	900	866	878	1073	1275	1246	1129	1170	1217	1266	1061	1083	779	819	821	780	1008	1283	1191	1042	1740	1242	1314	1317	1490	1411	875	792	762	422	527	579	252	1333	1368	1079	1194	799	936	1530	1107	1150	1699	1248	1570	955	997	1694	1284	1047	1156	864	787	779	1072	331	1092	2442					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3398	111	44	125	57	35	152	45	94	44	36	32	28	23	18	4	33	34	38	189	19	25	14	46	53	84	24	20	63	70	32	53	86	52	117	27	36	36	15	23	34	12	55	96	19	4	52	20	29	81	29	46	40	74	68	19	96	55	64	46	53	48	59	71	64	31	38	43	0	15	0					
6	Число погашенных избирательных бюллетеней	36457	824	359	547	817	409	242	690	547	573	716	508	963	307	406	818	614	501	646	512	711	478	790	543	204	477	357	659	777	492	585	596	452	538	561	619	757	864	534	102	304	356	73	277	332	144	615	542	322	625	582	518	610	769	722	582	996	495	481	467	603	528	534	703	492	252	273	505	9	493	158					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3398	111	44	125	57	35	152	45	94	44	36	32	28	23	18	4	33	34	38	189	19	25	14	46	53	84	24	20	63	70	32	53	86	52	117	27	36	36	15	23	34	12	55	96	19	4	52	20	29	81	29	46	40	74	68	19	96	55	64	46	53	48	59	71	64	31	38	43	0	15	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	77494	1195	1046	1218	1076	1266	1405	1123	1139	1593	1288	1058	1049	896	865	878	1065	1274	1246	1129	1170	1217	1266	1061	1081	778	812	819	780	1008	1276	1182	1039	1738	1241	1313	1315	1488	1409	873	788	762	422	527	578	252	1333	1368	1077	1194	799	931	1530	1107	1145	1695	1248	1567	954	997	1694	1281	1047	1156	864	787	779	1072	331	1092	2442					
9	Число недействительных избирательных бюллетеней	857	16	13	14	10	18	30	11	13	10	12	7	5	11	13	6	11	9	9	13	16	21	26	7	7	7	3	12	6	11	16	9	8	20	21	16	10	15	14	11	5	7	7	6	8	4	21	10	9	14	11	7	12	11	8	23	12	21	11	13	25	18	11	17	15	6	8	12	6	9	23					
10	Число действительных избирательных бюллетеней	80035	1290	1077	1329	1123	1283	1527	1157	1220	1627	1312	1083	1072	908	870	876	1087	1299	1275	1305	1173	1221	1254	1100	1127	855	833	827	837	1067	1292	1226	1117	1770	1337	1324	1341	1509	1410	885	817	767	470	617	589	252	1364	1378	1097	1261	817	970	1558	1170	1205	1691	1332	1601	1007	1030	1722	1311	1095	1210	913	812	809	1103	325	1098	2419					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1936	26	28	10	18	35	60	33	30	28	28	19	20	16	14	115	20	25	13	30	50	15	25	20	15	15	20	100	10	30	26	28	25	24	23	20	23	30	30	15	14	16	10	50	20	11	23	32	17	10	20	25	38	23	37	100	23	26	19	20	40	20	25	17	25	30	20	18	0	20	75					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1565	20	25	8	18	34	52	30	27	24	28	16	15	16	12	115	16	20	13	30	45	15	24	12	15	8	11	19	7	23	26	27	18	18	23	20	22	30	30	14	11	13	5	10	18	10	21	32	14	7	18	23	38	23	34	39	23	26	19	19	35	17	20	16	25	6	14	17	0	19	67					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2048	126	143	191	17	28	36	10	17	13	10	19	5	7	5	22	15	18	26	82	25	14	17	10	7	14	15	14	7	7	12	14	11	16	12	21	7	13	11	242	84	158	21	4	13	30	34	8	22	15	13	9	11	19	17	17	49	18	28	10	10	11	11	37	18	30	22	15	6	13	16					
14	Число погашенных неиспользованных открепительных удостоверений	371	6	3	2	0	1	8	3	3	4	0	3	5	0	2	0	4	5	0	0	5	0	1	8	0	7	9	81	3	7	0	1	7	6	0	0	1	0	0	1	3	3	5	40	2	1	2	0	3	3	2	2	0	0	3	61	0	0	0	1	5	3	5	1	0	24	6	1	0	1	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	0	1	1	0	0	0	1	0	0	2	0	0	0	0	1	2	0	0	1	3	1	1	3	1	0	0	1	4	1	1	0	0	3	2	1	1	1	3	0	0	0	1	1	1	0	2	1	0	0	0	1	2	1	0	0	0	0	1	2	0	0	1	2	2	0	1	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																													
18	1.Политическая партия «Аграрная партия России»	1969	14	10	20	18	37	39	28	36	48	31	20	23	22	18	27	18	20	20	25	23	50	33	25	22	26	93	94	29	25	42	29	28	50	31	23	22	32	46	19	15	10	4	13	17	5	38	30	32	36	22	20	43	32	21	43	15	42	10	13	39	31	37	20	17	37	20	29	1	29	32					
		2.43%	1.07%	0.92%	1.49%	1.59%	2.84%	2.50%	2.40%	2.92%	2.93%	2.34%	1.83%	2.14%	2.39%	2.04%	3.06%	1.64%	1.53%	1.56%	1.90%	1.93%	4.03%	2.58%	2.26%	1.94%	3.02%	11.12%	11.20%	3.44%	2.32%	3.21%	2.35%	2.49%	2.79%	2.28%	1.72%	1.63%	2.10%	3.23%	2.12%	1.82%	1.29%	0.84%	2.09%	2.85%	1.95%	2.74%	2.16%	2.89%	2.82%	2.66%	2.05%	2.74%	2.71%	1.73%	2.51%	1.12%	2.59%	0.98%	1.25%	2.23%	2.33%	3.35%	1.63%	1.83%	4.52%	2.45%	2.60%	0.30%	2.62%	1.31%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1132	14	13	8	13	11	11	16	26	17	25	20	8	20	19	24	19	11	17	18	11	18	16	23	12	20	13	14	9	15	16	19	16	31	21	17	24	24	23	17	10	6	2	4	13	10	26	23	23	24	12	7	33	9	11	33	16	16	15	12	21	10	15	15	11	20	3	19	4	29	11					
		1.40%	1.07%	1.19%	0.60%	1.15%	0.85%	0.71%	1.37%	2.11%	1.04%	1.89%	1.83%	0.74%	2.18%	2.15%	2.72%	1.73%	0.84%	1.32%	1.37%	0.93%	1.45%	1.25%	2.08%	1.06%	2.32%	1.56%	1.67%	1.07%	1.39%	1.22%	1.54%	1.42%	1.73%	1.55%	1.27%	1.78%	1.57%	1.62%	1.90%	1.22%	0.78%	0.42%	0.64%	2.18%	3.91%	1.88%	1.66%	2.08%	1.88%	1.45%	0.72%	2.10%	0.76%	0.91%	1.93%	1.19%	0.99%	1.47%	1.15%	1.20%	0.75%	1.36%	1.22%	1.19%	2.44%	0.37%	1.70%	1.21%	2.62%	0.45%					
20	3.Политическая партия «Демократическая партия России»	139	2	0	1	0	2	10	2	2	3	2	1	2	1	2	7	0	4	3	2	0	3	2	0	0	2	1	3	0	2	4	3	2	4	4	0	5	3	0	0	1	0	1	0	1	0	2	2	0	8	0	3	2	0	2	12	0	2	0	0	3	0	1	4	0	2	2	3	1	2	1					
		0.17%	0.15%	0.00%	0.07%	0.00%	0.15%	0.64%	0.17%	0.16%	0.18%	0.15%	0.09%	0.19%	0.11%	0.23%	0.79%	0.00%	0.31%	0.23%	0.15%	0.00%	0.24%	0.16%	0.00%	0.00%	0.23%	0.12%	0.36%	0.00%	0.19%	0.31%	0.24%	0.18%	0.22%	0.29%	0.00%	0.37%	0.20%	0.00%	0.00%	0.12%	0.00%	0.21%	0.00%	0.17%	0.00%	0.14%	0.14%	0.00%	0.63%	0.00%	0.31%	0.13%	0.00%	0.16%	0.70%	0.00%	0.12%	0.00%	0.00%	0.17%	0.00%	0.09%	0.33%	0.00%	0.24%	0.24%	0.27%	0.30%	0.18%	0.04%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	12823	180	125	190	169	180	95	190	280	293	235	155	125	164	163	104	201	196	183	146	91	230	201	238	267	174	92	98	132	196	237	246	269	314	295	237	206	219	179	120	114	100	62	43	90	34	294	256	159	131	119	196	308	152	125	225	195	305	148	234	342	277	213	189	130	203	205	280	59	144	76					
		15.85%	13.78%	11.47%	14.15%	14.92%	13.84%	6.10%	16.27%	22.71%	17.90%	17.75%	14.22%	11.61%	17.85%	18.46%	11.79%	18.31%	14.98%	14.25%	11.08%	7.65%	18.52%	15.70%	21.50%	23.54%	20.19%	11.00%	11.68%	15.66%	18.18%	18.12%	19.92%	23.91%	17.54%	21.72%	17.69%	15.25%	14.37%	12.57%	13.39%	13.87%	12.92%	12.99%	6.90%	15.08%	13.28%	21.23%	18.44%	14.38%	10.27%	14.37%	20.06%	19.62%	12.87%	10.31%	13.13%	14.51%	18.80%	14.54%	22.44%	19.58%	20.84%	19.26%	15.40%	14.01%	24.82%	25.09%	25.11%	17.82%	13.01%	3.11%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	988	12	4	6	13	9	7	24	10	16	21	16	7	16	9	13	4	14	21	8	9	8	19	25	15	15	4	15	8	22	17	18	11	26	16	17	19	20	32	9	9	11	7	2	7	9	42	20	22	32	6	13	11	8	18	42	7	12	8	18	27	14	10	10	9	6	19	17	1	10	6					
		1.22%	0.92%	0.37%	0.45%	1.15%	0.69%	0.45%	2.05%	0.81%	0.98%	1.59%	1.47%	0.65%	1.74%	1.02%	1.47%	0.36%	1.07%	1.64%	0.61%	0.76%	0.64%	1.48%	2.26%	1.32%	1.74%	0.48%	1.79%	0.95%	2.04%	1.30%	1.46%	0.98%	1.45%	1.18%	1.27%	1.41%	1.31%	2.25%	1.00%	1.09%	1.42%	1.47%	0.32%	1.17%	3.52%	3.03%	1.44%	1.99%	2.51%	0.72%	1.33%	0.70%	0.68%	1.48%	2.45%	0.52%	0.74%	0.79%	1.73%	1.55%	1.05%	0.90%	0.81%	0.97%	0.73%	2.33%	1.52%	0.30%	0.90%	0.25%					
23	6.Политическая партия «Партия социальной справедливости»	224	1	9	1	4	2	6	4	4	4	3	3	0	2	2	7	5	3	5	0	0	3	7	2	2	6	1	0	2	0	1	3	5	10	2	5	5	5	3	2	4	4	2	2	1	1	7	5	4	6	1	5	6	3	1	12	4	2	1	3	5	2	0	3	1	0	1	3	1	0	5					
		0.28%	0.08%	0.83%	0.07%	0.35%	0.15%	0.39%	0.34%	0.32%	0.24%	0.23%	0.28%	0.00%	0.22%	0.23%	0.79%	0.46%	0.23%	0.39%	0.00%	0.00%	0.24%	0.55%	0.18%	0.18%	0.70%	0.12%	0.00%	0.24%	0.00%	0.08%	0.24%	0.44%	0.56%	0.15%	0.37%	0.37%	0.33%	0.21%	0.22%	0.49%	0.52%	0.42%	0.32%	0.17%	0.39%	0.51%	0.36%	0.36%	0.47%	0.12%	0.51%	0.38%	0.25%	0.08%	0.70%	0.30%	0.12%	0.10%	0.29%	0.29%	0.15%	0.00%	0.24%	0.11%	0.00%	0.12%	0.27%	0.30%	0.00%	0.20%					
24	7.Политическая партия «Либерально-демократическая партия России»	7275	119	101	125	115	149	294	102	75	127	104	80	97	55	64	72	109	107	106	151	151	103	124	72	77	61	65	55	55	85	108	79	73	145	111	113	88	124	127	69	85	78	74	113	58	24	111	99	102	131	78	84	178	116	119	140	138	126	104	70	133	100	85	104	67	45	49	81	27	76	443					
		8.99%	9.11%	9.27%	9.31%	10.15%	11.45%	18.88%	8.73%	6.08%	7.76%	7.85%	7.34%	9.01%	5.98%	7.25%	8.16%	9.93%	8.18%	8.26%	11.46%	12.70%	8.29%	9.69%	6.50%	6.79%	7.08%	7.78%	6.56%	6.52%	7.88%	8.26%	6.40%	6.49%	8.10%	8.17%	8.43%	6.51%	8.14%	8.92%	7.70%	10.34%	10.08%	15.51%	18.14%	9.72%	9.38%	8.01%	7.13%	9.22%	10.27%	9.42%	8.60%	11.34%	9.82%	9.81%	8.17%	10.27%	7.77%	10.22%	6.71%	7.61%	7.52%	7.69%	8.48%	7.22%	5.50%	5.99%	7.26%	8.16%	6.87%	18.14%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6541	79	76	81	59	84	23	106	126	133	81	95	49	62	66	49	93	101	105	66	48	125	114	123	137	80	70	60	68	138	149	125	93	165	131	138	151	200	127	76	80	55	19	18	56	13	125	120	98	86	58	95	131	77	86	158	110	142	73	81	178	142	111	88	80	88	73	92	32	82	42					
		8.09%	6.05%	6.97%	6.03%	5.21%	6.46%	1.48%	9.08%	10.22%	8.12%	6.12%	8.72%	4.55%	6.75%	7.47%	5.56%	8.47%	7.72%	8.18%	5.01%	4.04%	10.06%	8.91%	11.11%	12.08%	9.28%	8.37%	7.15%	8.07%	12.80%	11.39%	10.12%	8.27%	9.22%	9.65%	10.30%	11.18%	13.12%	8.92%	8.48%	9.73%	7.11%	3.98%	2.89%	9.38%	5.08%	9.03%	8.65%	8.86%	6.75%	7.00%	9.72%	8.34%	6.52%	7.09%	9.22%	8.18%	8.75%	7.17%	7.77%	10.19%	10.68%	10.04%	7.17%	8.62%	10.76%	8.94%	8.25%	9.67%	7.41%	1.72%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	701	9	7	6	7	14	18	6	9	17	13	11	11	5	13	9	5	15	13	4	13	9	14	6	2	9	4	2	4	5	11	12	7	19	5	21	13	17	13	7	10	11	6	4	7	3	9	22	11	13	2	14	13	10	9	19	12	11	5	6	13	10	18	10	8	3	13	8	3	11	22					
		0.87%	0.69%	0.64%	0.45%	0.62%	1.08%	1.16%	0.51%	0.73%	1.04%	0.98%	1.01%	1.02%	0.54%	1.47%	1.02%	0.46%	1.15%	1.01%	0.30%	1.09%	0.72%	1.09%	0.54%	0.18%	1.04%	0.48%	0.24%	0.47%	0.46%	0.84%	0.97%	0.62%	1.06%	0.37%	1.57%	0.96%	1.12%	0.91%	0.78%	1.22%	1.42%	1.26%	0.64%	1.17%	1.17%	0.65%	1.59%	0.99%	1.02%	0.24%	1.43%	0.83%	0.85%	0.74%	1.11%	0.89%	0.68%	0.49%	0.58%	0.74%	0.75%	1.63%	0.81%	0.86%	0.37%	1.59%	0.72%	0.91%	0.99%	0.90%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	46389	848	711	876	715	782	1012	641	617	938	766	632	739	533	484	543	610	796	767	868	812	652	690	563	569	434	487	472	525	564	669	668	575	960	692	716	758	818	800	541	471	472	291	413	318	147	654	748	584	757	503	513	796	748	795	957	815	920	626	558	914	705	580	743	565	370	407	541	193	674	1768					
		57.35%	64.93%	65.23%	65.23%	63.11%	60.11%	64.99%	54.88%	50.04%	57.30%	57.85%	57.98%	68.62%	57.99%	54.81%	61.56%	55.56%	60.86%	59.74%	65.86%	68.29%	52.50%	53.91%	50.86%	50.18%	50.35%	58.25%	56.26%	62.28%	52.32%	51.15%	54.09%	51.11%	53.63%	50.96%	53.43%	56.11%	53.67%	56.18%	60.38%	57.30%	60.98%	61.01%	66.29%	53.27%	57.42%	47.22%	53.89%	52.80%	59.37%	60.75%	52.51%	50.70%	63.34%	65.54%	55.83%	60.64%	56.72%	61.49%	53.50%	52.32%	53.05%	52.44%	60.55%	60.88%	45.23%	49.82%	48.52%	58.31%	60.89%	72.40%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1854	12	21	15	10	13	12	38	35	31	31	50	11	28	30	21	23	32	35	17	15	20	34	23	24	28	3	14	5	15	38	24	38	46	29	37	50	47	60	25	18	20	2	5	21	6	56	53	62	37	16	20	37	15	18	50	20	23	17	35	47	20	25	24	25	38	17	30	3	41	13					
		2.29%	0.92%	1.93%	1.12%	0.88%	0.99%	0.77%	3.25%	2.84%	1.89%	2.34%	4.59%	1.02%	3.05%	3.40%	2.38%	2.09%	2.45%	2.73%	1.29%	1.26%	1.61%	2.66%	2.08%	2.12%	3.25%	0.36%	1.67%	0.59%	1.39%	2.91%	1.94%	3.38%	2.57%	2.14%	2.76%	3.70%	3.08%	4.21%	2.79%	2.19%	2.58%	0.42%	0.80%	3.52%	2.34%	4.04%	3.82%	5.61%	2.90%	1.93%	2.05%	2.36%	1.27%	1.48%	2.92%	1.49%	1.42%	1.67%	3.36%	2.69%	1.50%	2.26%	1.96%	2.69%	4.65%	2.08%	2.69%	0.91%	3.70%	0.53%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
