Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    район Силино																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №3258	УИК №3259	УИК №3260	УИК №3261	УИК №3262	УИК №3263	УИК №3264	УИК №3265	УИК №3266	УИК №3267	УИК №3268	УИК №3269	УИК №3270	УИК №3271	УИК №3272	УИК №3273	УИК №3274	УИК №3275	УИК №3276	УИК №3277	УИК №3278	УИК №3279	УИК №3280	УИК №3281	УИК №3282	УИК №3792									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29716	1039	1129	1203	891	1008	953	835	1161	1211	944	964	1239	2008	1201	1008	912	1255	1933	1113	1214	1005	1120	1953	1128	1021	268									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28740	1000	1000	1200	800	900	900	800	1100	1100	900	900	1200	2000	1200	1000	900	1200	1900	1100	1200	1000	1100	1900	1100	1000	340									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12093	430	397	519	371	399	374	304	422	475	399	365	433	801	495	380	381	553	700	451	485	412	517	852	442	468	268									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	430	21	17	19	18	24	15	21	24	19	6	10	8	22	8	14	11	21	26	12	14	17	11	32	24	16	0									
6	Число погашенных избирательных бюллетеней	16217	549	586	662	411	477	511	475	654	606	495	525	759	1177	697	606	508	626	1174	637	701	571	572	1016	634	516	72									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	430	21	17	19	18	24	15	21	24	19	6	10	8	22	8	14	11	21	26	12	14	17	11	32	24	16	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12060	430	396	511	371	394	374	304	421	474	399	364	433	797	495	380	381	553	700	451	485	412	515	852	442	458	268									
9	Число недействительных избирательных бюллетеней	248	8	9	12	4	3	12	10	8	10	5	3	6	16	9	4	11	15	24	13	5	12	4	16	7	20	2									
10	Число действительных избирательных бюллетеней	12242	443	404	518	385	415	377	315	437	483	400	371	435	803	494	390	381	559	702	450	494	417	522	868	459	454	266									
