Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																					
Дата голосования: 18.09.2016																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Южно-Сахалинская городская																																																																																																					
																																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																					
																																																																																																					
		Сумма	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №368	УИК №369	УИК №370	УИК №381	УИК №382	УИК №383	УИК №8179	УИК №8180	УИК №8181	УИК №8182									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	146584	2190	1630	1358	1035	2201	2450	2356	1873	2147	1303	1937	1652	2122	2104	1461	2005	1148	2407	562	1494	1274	1783	2144	2169	1776	1265	1747	1948	2195	1846	1728	1443	1540	2476	2405	1854	1871	596	1650	2836	2915	2844	1650	2245	2496	1892	2168	2549	2867	2720	2544	2036	2087	1680	2167	2022	2230	1343	2328	2210	1087	150	1789	418	293	475	1253	902	184	219	248	684	71	59	48	165	710	318	749	1575	2190	1428	1351	2404	2528	28	2186	3110	917	2071									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	174027	2100	1600	1300	1000	2100	2400	2300	1800	2200	1300	1900	1500	2100	2000	1400	1800	1100	2400	500	1500	1200	1600	2000	2100	1700	1200	1700	1900	2200	1800	1700	1400	1500	2400	2500	1800	1800	500	1600	2800	2900	2800	1600	2200	2400	1800	2100	2500	2800	2700	2500	2000	2000	1600	2100	2000	2200	2600	2300	2200	1000	140	1700	400	250	400	1200	800	150	220	250	600	70	59	48	190	1400	350	700	1600	2100	1400	1200	2400	2200	200	12000	11000	5000	10000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	878	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	49389	689	506	416	191	645	654	547	535	614	411	402	321	603	587	318	646	289	831	107	208	220	681	725	706	548	412	534	655	709	669	547	505	450	887	859	452	626	181	453	912	1039	977	483	696	714	585	625	970	841	809	990	596	668	471	620	556	679	417	645	507	247	59	453	168	65	136	362	312	69	161	194	158	40	51	45	63	704	317	214	388	340	413	373	1138	481	28	2156	2154	917	2044									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	925	2	4	3	21	8	4	9	3	24	3	2	6	5	5	0	9	0	10	0	3	7	20	23	5	10	11	22	14	6	10	5	4	16	14	62	9	8	1	11	12	14	12	9	9	4	2	4	17	11	8	12	7	1	4	2	8	11	3	9	9	2	2	5	6	1	3	9	9	3	33	0	1	30	4	3	102	6	1	1	2	1	2	10	2	5	0	30	78	0	27									
6	Число погашенных избирательных бюллетеней	122835	1409	1090	881	788	1447	1742	1744	1262	1562	886	1496	1173	1492	1408	1082	1145	811	1559	393	1289	973	899	1252	1389	1142	777	1144	1231	1485	1121	1148	891	1034	1499	1579	1339	1166	318	1136	1876	1847	1811	1108	1495	1682	1213	1471	1513	1948	1883	1498	1397	1331	1125	1478	1436	1510	2180	1646	1684	751	79	1242	226	184	261	829	479	78	26	56	441	0	4	0	25	690	32	485	1210	1759	985	817	1260	1714	172	9814	7890	4083	7929									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1803	2	4	3	21	8	4	9	3	24	3	2	6	5	5	0	9	0	10	0	3	7	20	23	5	10	11	22	14	6	10	5	4	16	14	62	9	8	1	11	12	14	12	9	9	4	2	4	17	11	8	12	7	1	4	2	8	11	3	9	9	2	2	5	6	1	3	9	9	3	33	0	1	30	4	3	102	6	1	1	2	1	2	10	2	5	0	30	956	0	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	49371	689	506	416	191	645	654	547	535	612	411	400	321	602	585	318	645	289	831	107	208	220	681	725	706	548	412	534	655	709	669	545	505	450	887	859	450	626	181	453	912	1038	977	483	696	714	585	625	970	841	809	987	596	667	471	620	556	679	417	645	507	247	59	452	168	65	136	362	312	69	161	194	158	40	51	45	63	704	317	214	388	340	413	373	1138	481	28	2156	2154	917	2044									
9	Число недействительных избирательных бюллетеней	1051	14	15	6	6	9	17	10	12	27	3	6	3	10	15	7	7	3	21	2	2	4	17	14	18	15	7	15	9	16	14	11	8	8	10	15	14	7	3	11	16	25	23	5	10	17	17	3	29	11	11	30	8	14	7	8	11	12	14	11	7	8	0	12	2	1	2	11	10	1	40	20	3	1	1	0	3	12	46	1	5	8	6	3	15	6	2	27	46	13	46									
10	Число действительных избирательных бюллетеней	50123	677	495	413	206	644	641	546	526	609	411	396	324	597	575	311	647	286	820	105	209	223	684	734	693	543	416	541	660	699	665	539	501	458	891	906	445	627	179	453	908	1027	966	487	695	701	570	626	958	841	806	969	595	654	468	614	553	678	406	643	509	241	61	445	172	65	137	360	311	71	154	174	156	69	54	48	162	698	272	214	385	333	409	380	1125	480	26	2159	3064	904	2025									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1459	22	16	14	10	22	24	24	19	22	13	19	16	21	21	15	20	11	24	7	14	13	17	25	22	17	13	18	19	22	19	18	14	15	25	26	19	19	6	16	28	30	28	16	23	25	19	22	25	29	27	25	21	21	17	22	20	22	26	23	23	11	2	18	9	3	5	13	9	2	2	3	7	0	0	0	0	11	0	7	17	22	14	13	54	23	0	10	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	552	9	9	6	3	7	3	14	8	16	1	9	7	14	5	3	7	6	5	0	0	0	6	22	14	8	8	9	13	8	6	9	9	5	4	11	8	3	2	8	10	22	7	7	5	3	9	2	11	10	3	13	5	6	6	4	9	4	11	5	8	5	0	2	7	0	2	5	2	0	0	0	1	0	0	0	0	2	0	3	7	4	4	6	26	10	0	10	5	5	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	642	3	6	5	1	4	4	5	4	5	9	9	12	11	11	4	17	14	13	3	2	8	24	22	10	1	11	7	13	3	7	3	10	14	16	4	2	30	6	4	10	19	13	5	4	6	7	4	4	4	6	7	5	6	4	8	4	6	3	11	5	4	1	3	3	1	7	2	5	1	0	0	3	1	0	1	3	2	26	2	4	1	8	7	11	4	28	0	25	3	8									
14	Число погашенных неиспользованных открепительных удостоверений	907	13	7	8	7	15	21	10	11	6	12	10	9	7	16	12	13	5	19	7	14	13	11	3	8	9	5	9	6	14	13	9	5	10	21	15	11	16	4	8	18	8	21	9	18	22	10	20	14	19	24	12	16	15	11	18	11	18	15	18	15	6	2	16	2	3	3	8	7	2	2	3	6	0	0	0	0	9	0	4	10	18	10	7	28	13	0	0	0	0	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	131	0	1	1	0	1	2	4	1	0	1	0	0	2	2	2	3	0	0	0	1	0	1	3	2	2	0	3	3	0	0	1	1	1	5	4	1	0	0	0	7	27	0	0	0	1	1	1	0	0	1	3	0	0	5	0	0	1	17	2	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	1	1	2	1	4	2	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1178	9	8	6	3	13	10	9	8	11	7	9	5	20	9	9	19	9	8	4	6	4	14	18	25	17	13	9	11	6	17	6	12	4	24	29	8	9	5	10	14	20	15	14	18	13	14	14	19	16	21	12	8	19	10	10	9	19	8	10	13	6	1	8	0	2	4	4	3	0	7	4	2	0	2	0	0	14	9	2	16	9	10	5	27	8	1	99	105	30	81									
