Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Карымский район																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581	УИК  582	УИК  583	УИК  584	УИК  585	УИК  586					
1	"Число избирателей, внесенных в списки"	25821	142	450	128	2111	258	615	92	101	815	287	277	2586	1656	1495	1586	1686	585	925	320	90	802	1148	1335	2546	312	637	303	422	1047	960	104					
2	"Число бюллетеней, полученных участковыми комиссиями"	25408	220	450	129	2135	221	580	93	160	839	283	277	2565	1588	1507	1586	1703	596	900	317	88	766	1088	1273	2360	308	639	303	373	1003	961	97					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11368	120	286	84	887	143	251	47	68	320	109	113	1080	583	506	618	603	318	460	195	55	314	515	538	1451	149	326	186	281	360	344	58					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	762	22	30	12	33	0	45	5	33	72	73	0	15	20	15	26	30	25	20	12	0	15	21	20	49	36	71	7	5	24	26	0					
6	Число погашенных бюллетеней	13278	78	134	33	1215	78	284	41	59	447	101	164	1470	985	986	942	1070	253	420	110	33	437	552	715	860	123	242	110	87	619	591	39					
7	Число бюллетеней в переносных ящиках для голосования	762	22	30	12	33	0	45	5	33	72	73	0	15	20	15	26	30	25	20	12	0	15	21	20	49	36	71	7	5	24	26	0					
8	Число бюллетеней в стационарных ящиках для голосования	11365	120	286	84	887	143	251	47	68	320	109	113	1078	583	505	618	603	318	460	195	55	314	515	538	1451	149	326	186	281	360	344	58					
9	Число недействительных бюллетеней	205	2	1	0	28	5	7	2	7	4	0	3	13	7	9	8	4	5	8	9	2	5	30	8	16	0	11	0	2	5	3	1					
10	Число действительных бюллетеней	11922	140	315	96	892	138	289	50	94	388	182	110	1080	596	511	636	629	338	472	198	53	324	506	550	1484	185	386	193	284	379	367	57					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	2	5	2	10	2	6	1	1	5	3	3	14	15	15	15	15	5	5	2	1	5	10	10	10	5	10	5	5	5	5	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	64	2	1	0	9	0	6	0	0	1	0	2	4	2	1	1	3	1	4	1	0	0	4	3	8	1	4	0	0	1	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	108	1	0	0	4	1	0	0	0	0	0	0	9	8	2	2	4	0	17	3	0	0	1	1	5	0	10	1	33	2	2	2					
14	Число погашенных открепительных удостоверений	136	0	4	2	1	2	0	1	1	4	3	1	10	13	14	14	12	4	1	1	1	5	6	7	2	4	6	5	5	4	0	3					
