Выборы Президента Российской Федерации																																																																																													
																																																																																													
"Наименование Избирательной комиссии:    Калининград, Балтийская"																																																																																													
																																																																																													
Итоги голосования 																																																																																													
																																																																																													
		Сумма	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №735	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768					
1	"Число избирателей, внесенных в список"	57938	2371	2755	2131	1435	2472	1986	2059	2475	2218	2016	1840	2152	2222	2298	447	1597	2532	2508	1989	1185	2259	2050	1956	2731	2244	2597	1124	41	46	79	79	82	76	78	73	67	25	77	71	77	71	51	131	19	18	16	17	8	17	64	37	27	53	18	41	11	29	60	73	79	77	14	41	9	12	17	15	20	62	67	71	68	27	11	11	11	11	11	10	11	10	11	11	10	11	10					
2	Число полученных избирательных бюллетеней	50875	2000	2300	1800	1250	2100	1700	1800	2150	1900	1750	1600	1850	1950	2000	450	1500	2200	2200	1750	1000	2000	1800	1700	2400	2300	2200	900	41	46	79	79	84	76	78	75	74	25	79	71	77	71	53	133	21	20	18	19	10	19	66	37	27	53	18	43	11	30	60	73	81	77	14	0	9	12	17	15	0	62	67	71	68	27	11	11	11	11	11	10	11	10	11	11	10	11	10					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28745	1058	1389	943	546	1151	912	770	1194	1160	1001	906	1041	1107	1098	181	808	1193	1123	1042	537	1126	1045	896	1242	1188	1082	786	41	44	79	76	76	73	75	70	67	25	77	62	76	71	51	131	19	16	16	17	8	17	57	37	25	53	17	38	11	29	52	73	79	75	14	0	9	12	17	15	0	58	66	68	67	23	11	11	11	11	10	10	11	10	11	11	10	11	10					
5	"Число избирательных бюллетеней, выданных вне помещения"	641	92	22	6	7	11	24	14	14	16	4	10	18	17	6	224	16	14	22	14	5	22	10	22	8	11	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	21489	850	889	851	697	938	764	1016	942	724	745	684	791	826	896	45	676	993	1055	694	458	852	745	782	1150	1101	1107	113	0	2	0	3	8	3	3	5	7	0	2	9	1	0	2	2	2	4	2	2	2	2	9	0	2	0	1	5	0	1	8	0	2	2	0	0	0	0	0	0	0	4	1	3	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках	641	92	22	6	7	11	24	14	14	16	4	10	18	17	6	224	16	14	22	14	5	22	10	22	8	11	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	28733	1058	1386	943	545	1150	912	770	1194	1159	999	906	1041	1107	1098	181	808	1193	1123	1040	537	1126	1045	896	1240	1188	1082	786	41	44	79	76	76	73	75	70	67	25	77	62	76	71	51	131	19	16	16	17	8	17	57	37	25	53	17	38	11	29	52	73	79	75	14	0	9	12	17	15	0	58	66	68	67	23	11	11	11	11	10	10	11	10	11	11	10	11	10					
9	Число недействительных избирательных бюллетеней	254	9	12	4	6	10	12	6	10	10	14	13	8	11	12	2	9	0	11	14	5	7	8	10	9	10	5	7	0	0	2	1	0	2	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	3	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	29120	1141	1396	945	546	1151	924	778	1198	1165	989	903	1051	1113	1092	403	815	1207	1134	1040	537	1141	1047	908	1239	1189	1088	780	41	44	77	75	76	71	75	69	67	24	76	61	76	71	50	131	19	16	16	17	8	17	57	37	24	53	16	37	11	29	52	70	79	73	14	0	9	12	17	15	0	56	66	68	67	23	11	11	11	11	10	10	11	10	11	11	10	11	10					
