Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Красненская 																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668					
1	"Число избирателей, внесенных в списки"	11597	499	611	249	533	100	161	952	392	820	849	235	239	573	285	351	808	1147	184	526	145	194	529	295	159	761					
2	"Число бюллетеней, полученных участковыми комиссиями"	11550	500	610	250	520	100	160	900	450	800	800	230	230	570	280	360	800	1180	185	530	145	210	530	300	160	750					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8582	300	384	178	386	79	122	665	307	737	682	209	145	451	264	259	594	879	127	312	101	162	326	214	80	619					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2196	175	208	66	116	21	38	192	85	54	55	14	84	90	12	79	154	211	43	148	42	23	108	61	65	52					
6	Число погашенных бюллетеней	772	25	18	6	18	0	0	43	58	9	63	7	1	29	4	22	52	90	15	70	2	25	96	25	15	79					
7	Число бюллетеней в переносных ящиках для голосования	2196	175	208	66	116	21	38	192	85	54	55	14	84	90	12	79	154	211	43	148	42	23	108	61	65	52					
8	Число бюллетеней в стационарных ящиках для голосования	8582	300	384	178	386	79	122	665	307	737	682	209	145	451	264	259	594	879	127	312	101	162	326	214	80	619					
9	Число недействительных бюллетеней	175	0	1	2	6	2	1	3	4	10	8	25	0	1	1	4	5	15	1	0	0	49	0	11	0	26					
10	Число действительных бюллетеней	10603	475	591	242	496	98	159	854	388	781	729	198	229	540	275	334	743	1075	169	460	143	136	434	264	145	645					
