Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Октябрьская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24527	1516	1278	281	1273	1811	2047	2260	1042	783	695	1459	298	372	2899	668	127	331	240	153	290	394	299	233	1341	2437									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22000	1200	1100	250	1100	1500	1900	2000	900	700	700	1200	290	350	2800	700	130	330	220	130	270	340	260	230	1200	2200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11501	619	531	146	794	708	939	926	454	566	348	733	157	184	1051	481	66	178	123	68	133	272	186	150	554	1134									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	438	21	28	15	9	19	9	24	9	60	23	16	20	2	8	25	7	9	17	3	9	14	5	16	40	30									
6	Число погашенных избирательных бюллетеней	10061	560	541	89	297	773	952	1050	437	74	329	451	113	164	1741	194	57	143	80	59	128	54	69	64	606	1036									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	438	21	28	15	9	19	9	24	9	60	23	16	20	2	8	25	7	9	17	3	9	14	5	16	40	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11490	619	531	146	794	708	939	926	454	566	348	733	157	184	1051	481	66	178	123	68	133	272	175	150	554	1134									
9	Число недействительных избирательных бюллетеней	487	22	32	13	49	21	86	37	30	24	5	18	8	3	32	6	0	8	6	0	3	11	8	0	38	27									
10	Число действительных избирательных бюллетеней	11441	618	527	148	754	706	862	913	433	602	366	731	169	183	1027	500	73	179	134	71	139	275	172	166	556	1137									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	740	30	30	10	70	40	50	50	25	20	20	40	10	15	70	40	10	30	10	10	10	30	15	15	40	50									
