Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Ярославская - 194																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №863	УИК №864									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19173	2013	869	721	889	2447	1435	972	1892	528	609	2443	556	422	830	173	1752	622									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14650	1800	650	550	600	1800	1100	750	1400	400	450	1900	400	300	600	150	1300	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6358	916	310	209	148	639	570	302	487	220	145	830	233	163	296	63	711	116									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	634	16	75	23	11	43	18	68	97	6	62	38	9	38	25	18	50	37									
6	Число погашенных избирательных бюллетеней	7658	868	265	318	441	1118	512	380	816	174	243	1032	158	99	279	69	539	347									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	634	16	75	23	11	43	18	68	97	6	62	38	9	38	25	18	50	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6337	916	310	208	148	638	551	302	487	220	145	830	233	163	296	63	711	116									
9	Число недействительных избирательных бюллетеней	127	18	7	4	2	9	5	9	8	4	0	14	10	5	6	3	21	2									
10	Число действительных избирательных бюллетеней	6844	914	378	227	157	672	564	361	576	222	207	854	232	196	315	78	740	151									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	230	20	10	10	10	20	20	10	20	10	10	20	10	10	10	10	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	76	9	0	1	2	10	5	4	3	2	3	10	2	3	1	0	15	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	81	4	3	4	2	4	2	0	3	2	2	3	1	6	2	6	34	3									
14	Число погашенных неиспользованных открепительных удостоверений	154	11	10	9	8	10	15	6	17	8	7	10	8	7	9	10	5	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	1	0	0	4	3	1	1	2	0	0	0	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	178	34	5	5	4	19	14	7	8	5	3	18	4	6	12	2	25	7									
		2.55%	3.65%	1.30%	2.16%	2.52%	2.79%	2.46%	1.89%	1.37%	2.21%	1.45%	2.07%	1.65%	2.99%	3.74%	2.47%	3.29%	4.58%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	189	25	13	6	5	8	12	11	11	7	4	30	7	5	6	6	30	3									
		2.71%	2.68%	3.38%	2.60%	3.14%	1.17%	2.11%	2.97%	1.88%	3.10%	1.93%	3.46%	2.89%	2.49%	1.87%	7.41%	3.94%	1.96%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	160	24	9	1	1	17	11	14	20	5	5	17	4	5	6	2	19	0									
		2.30%	2.58%	2.34%	0.43%	0.63%	2.50%	1.93%	3.78%	3.42%	2.21%	2.42%	1.96%	1.65%	2.49%	1.87%	2.47%	2.50%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3030	367	213	119	68	243	248	199	230	109	93	338	115	107	167	30	324	60									
		43.47%	39.38%	55.32%	51.52%	42.77%	35.68%	43.59%	53.78%	39.38%	48.23%	44.93%	38.94%	47.52%	53.23%	52.02%	37.04%	42.58%	39.22%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	76	8	2	2	8	11	6	6	3	2	1	12	0	4	3	2	6	0									
		1.09%	0.86%	0.52%	0.87%	5.03%	1.62%	1.05%	1.62%	0.51%	0.88%	0.48%	1.38%	0.00%	1.99%	0.93%	2.47%	0.79%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	0	1	0	0	2	1	2	2	2	0	1	0	1	2	0	4	1									
		0.27%	0.00%	0.26%	0.00%	0.00%	0.29%	0.18%	0.54%	0.34%	0.88%	0.00%	0.12%	0.00%	0.50%	0.62%	0.00%	0.53%	0.65%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1253	169	43	36	16	135	111	58	137	40	48	122	48	32	64	17	133	44									
		17.97%	18.13%	11.17%	15.58%	10.06%	19.82%	19.51%	15.68%	23.46%	17.70%	23.19%	14.06%	19.83%	15.92%	19.94%	20.99%	17.48%	28.76%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	59	5	1	0	9	15	4	1	6	0	0	8	0	1	2	1	4	2									
		0.85%	0.54%	0.26%	0.00%	5.66%	2.20%	0.70%	0.27%	1.03%	0.00%	0.00%	0.92%	0.00%	0.50%	0.62%	1.23%	0.53%	1.31%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	79	5	2	3	6	15	9	3	5	3	1	13	2	3	2	0	2	5									
		1.13%	0.54%	0.52%	1.30%	3.77%	2.20%	1.58%	0.81%	0.86%	1.33%	0.48%	1.50%	0.83%	1.49%	0.62%	0.00%	0.26%	3.27%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	1	1	1	0	2	3	1	1	1	0	0	0	0	0	0	1	0									
		0.17%	0.11%	0.26%	0.43%	0.00%	0.29%	0.53%	0.27%	0.17%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	192	27	0	5	13	41	20	2	14	4	9	15	3	8	3	3	21	4									
		2.75%	2.90%	0.00%	2.16%	8.18%	6.02%	3.51%	0.54%	2.40%	1.77%	4.35%	1.73%	1.24%	3.98%	0.93%	3.70%	2.76%	2.61%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1211	185	75	39	20	122	93	36	109	31	34	228	37	12	34	10	131	15									
		17.37%	19.85%	19.48%	16.88%	12.58%	17.91%	16.34%	9.73%	18.66%	13.72%	16.43%	26.27%	15.29%	5.97%	10.59%	12.35%	17.21%	9.80%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	45	5	2	1	0	1	3	2	4	3	2	4	3	3	2	1	5	4									
