Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Фурмановская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №778	УИК №8039	УИК №8040									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35789	1583	1521	2099	2213	1165	1523	2023	1599	1488	1423	1468	1701	1272	1773	1776	1965	1715	1213	421	699	366	482	435	408	509	320	443	319	513	295	230	666	163									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37350	1200	1100	1500	1700	1000	1200	1500	1200	1200	1100	1200	1300	1000	1300	1300	1500	1300	1000	400	700	350	500	450	400	500	300	450	300	500	300	250	7870	1480									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13007	420	457	790	723	349	576	784	553	505	390	491	797	582	625	576	715	543	316	181	251	91	291	85	100	200	11	298	207	149	109	94	586	162									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2653	146	113	48	40	45	75	59	58	87	32	111	39	68	67	75	42	60	84	53	142	175	57	117	82	136	239	24	22	219	73	64	0	1									
6	Число погашенных избирательных бюллетеней	21690	634	530	662	937	606	549	657	589	608	678	598	464	350	608	649	743	697	600	166	307	84	152	248	218	164	50	128	71	132	118	92	7284	1317									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2653	146	113	48	40	45	75	59	58	87	32	111	39	68	67	75	42	60	84	53	142	175	57	117	82	136	239	24	22	219	73	64	0	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13007	420	457	790	723	349	576	784	553	505	390	491	797	582	625	576	715	543	316	181	251	91	291	85	100	200	11	298	207	149	109	94	586	162									
9	Число недействительных избирательных бюллетеней	262	6	12	14	16	6	15	17	8	7	11	15	10	10	14	8	15	12	4	0	7	0	10	2	0	7	7	7	5	4	2	3	7	1									
10	Число действительных избирательных бюллетеней	15398	560	558	824	747	388	636	826	603	585	411	587	826	640	678	643	742	591	396	234	386	266	338	200	182	329	243	315	224	364	180	155	579	162									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	640	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	25	20	20	20	30	20	20	10	15	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	620	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	25	20	20	20	30	20	20	10	15	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	176	3	7	10	5	5	7	7	7	10	6	3	1	13	6	10	22	6	4	2	1	1	14	0	0	2	4	5	6	2	0	2	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	0	0	2	1	1	3	1	1	1	0	1	3	1	3	0	3	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	194	9	4	14	15	4	4	6	1	6	5	7	15	8	5	2	12	8	2	2	4	1	2	4	0	0	3	8	3	1	0	2	28	9									
		1.24%	1.59%	0.70%	1.67%	1.97%	1.02%	0.61%	0.71%	0.16%	1.01%	1.18%	1.16%	1.79%	1.23%	0.72%	0.31%	1.59%	1.33%	0.50%	0.85%	1.02%	0.38%	0.57%	1.98%	0.00%	0.00%	1.20%	2.48%	1.31%	0.27%	0.00%	1.27%	4.78%	5.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	433	11	16	24	35	8	18	30	23	14	8	17	32	22	19	24	13	10	10	7	7	5	7	4	2	8	4	17	17	5	5	3	5	3									
		2.77%	1.94%	2.81%	2.86%	4.59%	2.03%	2.76%	3.56%	3.76%	2.36%	1.90%	2.82%	3.83%	3.38%	2.75%	3.69%	1.72%	1.66%	2.50%	2.99%	1.78%	1.88%	2.01%	1.98%	1.10%	2.38%	1.60%	5.28%	7.42%	1.36%	2.75%	1.90%	0.85%	1.84%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	366	13	15	13	16	8	15	22	18	10	13	16	29	14	17	18	17	16	3	10	5	6	3	7	5	4	6	12	3	12	2	3	13	2									
		2.34%	2.30%	2.63%	1.55%	2.10%	2.03%	2.30%	2.61%	2.95%	1.69%	3.08%	2.66%	3.47%	2.15%	2.46%	2.76%	2.25%	2.65%	0.75%	4.27%	1.27%	2.26%	0.86%	3.47%	2.75%	1.19%	2.40%	3.73%	1.31%	3.26%	1.10%	1.90%	2.22%	1.23%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6633	251	238	297	272	182	259	339	270	274	156	269	341	254	281	259	294	245	194	113	179	159	183	98	86	165	146	107	67	181	78	90	237	69									
		42.36%	44.35%	41.75%	35.44%	35.65%	46.19%	39.78%	40.21%	44.19%	46.28%	36.97%	44.68%	40.79%	39.08%	40.61%	39.78%	38.84%	40.63%	48.50%	48.29%	45.55%	59.77%	52.59%	48.51%	47.25%	49.11%	58.40%	33.23%	29.26%	49.18%	42.86%	56.96%	40.44%	42.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	133	9	2	9	6	3	2	9	6	2	6	6	6	8	3	1	2	2	4	3	3	0	0	0	1	2	1	1	2	8	1	0	21	4									
		0.85%	1.59%	0.35%	1.07%	0.79%	0.76%	0.31%	1.07%	0.98%	0.34%	1.42%	0.99%	0.72%	1.23%	0.43%	0.15%	0.26%	0.33%	1.00%	1.28%	0.76%	0.00%	0.00%	0.00%	0.55%	0.60%	0.40%	0.31%	0.87%	2.17%	0.55%	0.00%	3.58%	2.45%									
24	"6. Политическая партия ""Гражданская Платформа"""	30	1	1	4	3	1	2	0	1	1	0	0	1	0	2	1	0	1	0	0	1	1	1	0	1	0	2	0	0	1	1	1	1	1									
		0.19%	0.18%	0.18%	0.48%	0.39%	0.25%	0.31%	0.00%	0.16%	0.17%	0.00%	0.00%	0.12%	0.00%	0.29%	0.15%	0.00%	0.17%	0.00%	0.00%	0.25%	0.38%	0.29%	0.00%	0.55%	0.00%	0.80%	0.00%	0.00%	0.27%	0.55%	0.63%	0.17%	0.61%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3027	140	131	145	148	85	123	205	137	130	93	110	157	106	148	108	127	134	87	42	61	43	74	30	25	63	42	57	54	87	46	30	43	16									
		19.33%	24.73%	22.98%	17.30%	19.40%	21.57%	18.89%	24.32%	22.42%	21.96%	22.04%	18.27%	18.78%	16.31%	21.39%	16.59%	16.78%	22.22%	21.75%	17.95%	15.52%	16.17%	21.26%	14.85%	13.74%	18.75%	16.80%	17.70%	23.58%	23.64%	25.27%	18.99%	7.34%	9.82%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	132	2	2	10	4	3	8	1	2	2	4	4	8	6	3	0	3	2	2	1	0	1	2	1	0	1	1	0	1	3	1	0	43	11									
		0.84%	0.35%	0.35%	1.19%	0.52%	0.76%	1.23%	0.12%	0.33%	0.34%	0.95%	0.66%	0.96%	0.92%	0.43%	0.00%	0.40%	0.33%	0.50%	0.43%	0.00%	0.38%	0.57%	0.50%	0.00%	0.30%	0.40%	0.00%	0.44%	0.82%	0.55%	0.00%	7.34%	6.75%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	94	2	2	4	4	3	1	4	6	1	2	1	2	7	8	5	1	6	2	0	0	0	2	0	0	2	1	0	1	1	1	0	20	5									
		0.60%	0.35%	0.35%	0.48%	0.52%	0.76%	0.15%	0.47%	0.98%	0.17%	0.47%	0.17%	0.24%	1.08%	1.16%	0.77%	0.13%	0.99%	0.50%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.60%	0.40%	0.00%	0.44%	0.27%	0.55%	0.00%	3.41%	3.07%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	0	0	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0									
		0.07%	0.00%	0.00%	0.48%	0.00%	0.00%	0.15%	0.12%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.44%	0.27%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	271	7	8	6	8	4	5	8	4	7	4	3	6	8	9	7	13	1	1	7	3	5	0	0	0	6	2	1	1	3	1	4	100	29									
		1.73%	1.24%	1.40%	0.72%	1.05%	1.02%	0.77%	0.95%	0.65%	1.18%	0.95%	0.50%	0.72%	1.23%	1.30%	1.08%	1.72%	0.17%	0.25%	2.99%	0.76%	1.88%	0.00%	0.00%	0.00%	1.79%	0.80%	0.31%	0.44%	0.82%	0.55%	2.53%	17.06%	17.79%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3017	93	111	204	160	64	164	151	94	102	82	94	171	155	123	138	166	128	81	33	108	38	55	45	52	73	20	96	64	44	32	20	46	10									
		19.27%	16.43%	19.47%	24.34%	20.97%	16.24%	25.19%	17.91%	15.38%	17.23%	19.43%	15.61%	20.45%	23.85%	17.77%	21.20%	21.93%	21.23%	20.25%	14.10%	27.48%	14.29%	15.80%	22.28%	28.57%	21.73%	8.00%	29.81%	27.95%	11.96%	17.58%	12.66%	7.85%	6.13%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	78	1	2	5	3	0	6	4	7	4	5	2	4	1	4	1	0	6	1	0	1	1	2	0	1	0	3	1	1	1	0	0	10	1									
		0.50%	0.18%	0.35%	0.60%	0.39%	0.00%	0.92%	0.47%	1.15%	0.68%	1.18%	0.33%	0.48%	0.15%	0.58%	0.15%	0.00%	0.99%	0.25%	0.00%	0.25%	0.38%	0.57%	0.00%	0.55%	0.00%	1.20%	0.31%	0.44%	0.27%	0.00%	0.00%	1.71%	0.61%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	979	21	26	85	73	23	28	46	34	32	33	57	54	51	56	79	94	32	9	15	14	6	7	11	9	5	11	15	9	16	12	2	12	2									
		6.25%	3.71%	4.56%	10.14%	9.57%	5.84%	4.30%	5.46%	5.56%	5.41%	7.82%	9.47%	6.46%	7.85%	8.09%	12.14%	12.42%	5.31%	2.25%	6.41%	3.56%	2.26%	2.01%	5.45%	4.95%	1.49%	4.40%	4.66%	3.93%	4.35%	6.59%	1.27%	2.05%	1.23%									
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
