Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																						
Дата голосования: 07.12.2003 0:00:00																																																						
																																																						
Наименование Избирательной комиссии:    Льговская																																																						
																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																						
																																																						
		Сумма	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724					
1	"Число избирателей, внесенных в списки"	14896	121	483	331	119	196	177	507	242	175	159	118	279	204	273	61	486	589	491	49	380	241	187	237	374	105	116	265	215	527	423	507	182	90	187	327	872	118	358	203	969	570	411	651	630	390	210	91					
2	"Число бюллетеней, полученных участковыми комиссиями"	14606	115	466	318	118	194	170	504	237	174	158	117	264	194	258	55	483	576	480	48	369	235	182	232	370	100	105	257	204	524	422	494	178	90	183	326	866	118	350	196	960	567	414	644	617	381	207	86					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8702	47	277	229	61	123	91	299	150	104	99	75	188	130	170	40	253	299	307	39	229	116	106	147	243	72	80	195	115	286	220	224	99	58	118	161	454	67	224	130	682	291	229	351	363	244	146	71					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1027	14	39	42	2	7	8	49	22	20	20	7	11	7	19	9	20	41	9	3	27	12	6	19	18	10	11	22	42	21	29	41	20	4	4	36	17	15	30	24	39	61	34	53	30	31	15	7					
6	Число погашенных бюллетеней	4877	54	150	47	55	64	71	156	65	50	39	35	65	57	69	6	210	236	164	6	113	107	70	66	109	18	14	40	47	217	173	229	59	28	61	129	395	36	96	42	239	215	151	240	224	106	46	8					
7	Число бюллетеней в переносных ящиках для голосования	1027	14	39	42	2	7	8	49	22	20	20	7	11	7	19	9	20	41	9	3	27	12	6	19	18	10	11	22	42	21	29	41	20	4	4	36	17	15	30	24	39	61	34	53	30	31	15	7					
8	Число бюллетеней в стационарных ящиках для голосования	8688	46	277	229	61	123	91	299	150	104	99	75	188	130	170	40	253	299	307	39	229	104	106	147	243	72	80	195	115	286	220	224	99	58	118	161	453	67	224	130	682	291	229	351	363	244	146	71					
9	Число недействительных бюллетеней	512	6	20	20	1	14	9	5	7	3	11	12	4	4	5	2	16	16	26	3	12	9	12	8	14	9	7	14	5	20	15	11	1	0	7	16	29	5	17	18	18	4	28	21	20	3	3	2					
10	Число действительных бюллетеней	9203	54	296	251	62	116	90	343	165	121	108	70	195	133	184	47	257	324	290	39	244	107	100	158	247	73	84	203	152	287	234	254	118	62	115	181	441	77	237	136	703	348	235	383	373	272	158	76					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	255	3	7	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	5	5	5	5	4	5	3	5	10	5	5	5	10	10	5	10	10	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	23	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	1	0	2	0	0	0	0	4	1	5	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	70	2	3	1	1	1	1	2	2	1	2	1	1	2	2	1	0	2	1	1	2	1	1	0	2	1	3	1	3	0	1	4	1	0	1	1	1	3	1	1	0	1	2	2	2	5	1	2					
14	Число погашенных открепительных удостоверений	232	3	7	5	5	5	5	5	4	5	5	5	4	5	5	5	5	3	5	3	5	5	5	5	4	5	4	5	5	5	3	4	4	5	2	5	8	5	5	5	10	6	4	5	10	4	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
