Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
Наименование Избирательной комиссии:    Александровская																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	91507	2445	861	969	1034	2709	850	1941	1790	2756	1424	2183	2422	1691	2443	1269	2496	1412	1485	2251	2453	1244	894	2280	2179	2794	1998	1422	2050	319	652	816	1081	367	832	368	386	199	203	382	455	165	528	305	475	863	526	415	614	464	219	809	1564	2316	1514	1483	2437	2359	2530	1621	2264	1627	2296	1641	2253	1031	1383									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	81820	2200	750	730	920	2450	750	1750	1600	2420	1270	1980	2170	1520	2200	1120	2240	1250	1300	2000	2200	1120	800	2050	1950	2500	1800	1280	1850	280	570	720	900	330	730	320	350	180	200	370	400	140	470	260	430	800	470	380	550	400	190	720	1400	2100	1360	1360	2130	2130	2260	1460	2070	1460	2070	1460	2050	930	1250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30039	758	258	239	376	682	234	486	522	910	485	784	786	522	967	411	752	480	528	765	790	364	377	774	552	1152	628	480	828	99	147	209	365	79	252	120	159	76	79	198	162	60	181	145	122	364	161	40	248	82	69	217	349	816	439	337	678	767	872	585	837	600	745	641	856	357	636									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2911	23	1	186	43	14	4	11	5	9	6	27	14	19	32	14	19	6	65	15	14	11	2	6	15	63	17	19	20	51	91	122	67	55	180	44	42	38	34	57	39	15	41	41	122	52	50	120	84	49	25	123	69	42	31	40	125	22	71	36	83	32	53	31	13	8	33									
6	Число погашенных избирательных бюллетеней	48870	1419	491	305	501	1754	512	1253	1073	1501	779	1169	1370	979	1201	695	1469	764	707	1220	1396	745	421	1270	1383	1285	1155	781	1002	130	332	389	468	196	298	156	149	66	87	115	199	65	248	74	186	384	259	220	218	269	96	380	982	1242	890	983	1327	1341	1317	839	1150	828	1272	788	1181	565	581									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2911	23	1	186	43	14	4	11	5	9	6	27	14	19	32	14	19	6	65	15	14	11	2	6	15	63	17	19	20	51	91	122	67	55	180	44	42	38	34	57	39	15	41	41	122	52	50	120	84	49	25	123	69	42	31	40	125	22	71	36	83	32	53	31	13	8	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29993	729	258	239	376	682	234	486	522	899	485	784	786	522	967	411	748	480	528	765	790	364	377	774	552	1151	628	480	828	99	147	209	365	79	252	120	159	76	79	198	162	60	181	145	122	364	161	40	248	82	68	217	349	816	439	337	678	767	872	585	837	600	745	641	856	357	636									
9	Число недействительных избирательных бюллетеней	895	14	8	9	8	21	8	13	10	19	9	23	23	21	8	14	21	11	9	12	13	14	6	12	9	18	18	11	12	3	7	8	16	5	4	4	6	0	3	7	7	0	4	5	0	18	1	2	5	2	2	6	5	93	11	9	22	30	65	10	28	34	26	45	11	8	9									
10	Число действительных избирательных бюллетеней	32009	738	251	416	411	675	230	484	517	889	482	788	777	520	991	411	746	475	584	768	791	361	373	768	558	1196	627	488	836	147	231	323	416	129	428	160	195	114	110	248	194	75	218	181	244	398	210	158	327	129	91	334	413	765	459	368	781	759	878	611	892	598	772	627	858	357	660									
