Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
"Наименование Избирательной комиссии:    Томск, Ленинская"																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	84540	2291	1796	2468	2429	1599	1575	2580	1839	2270	2274	1891	1500	1764	1860	2503	1786	1130	1815	1846	1268	1265	2478	2006	1349	2953	2634	1884	2447	2163	1869	1605	1667	2128	1710	1868	1608	1822	2139	2221	1304	2717	2438	1781									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	61200	1700	1300	1800	1700	1200	1200	1700	1300	1600	1600	1400	1100	1300	1400	1800	1300	800	1300	1300	900	900	1800	1500	1000	2100	1900	1300	1800	1600	1400	1200	1200	1500	1200	1400	1200	1300	1500	1600	1000	2000	1800	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22196	684	542	781	792	521	507	855	611	758	705	621	480	550	513	736	547	298	553	560	355	260	631	220	239	489	523	474	591	499	298	348	400	569	454	515	380	430	484	496	270	572	682	403									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	308	14	3	5	4	4	9	4	10	10	8	9	5	13	2	12	8	3	11	6	1	11	12	4	6	12	1	7	5	8	8	3	9	8	3	5	10	8	5	19	2	11	3	7									
6	Число погашенных избирательных бюллетеней	38696	1002	755	1014	904	675	684	841	679	832	887	770	615	737	885	1052	745	499	736	734	544	629	1157	1276	755	1599	1376	819	1204	1093	1094	849	791	923	743	880	810	862	1011	1085	728	1417	1115	890									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	308	14	3	5	4	4	9	4	10	10	8	9	5	13	2	12	8	3	11	6	1	11	12	4	6	12	1	7	5	8	8	3	9	8	3	5	10	8	5	19	2	11	3	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22175	684	542	780	786	521	507	855	611	758	704	615	480	550	513	736	547	296	553	560	353	260	631	220	239	488	523	474	591	499	298	347	400	569	454	515	380	430	484	495	270	572	682	403									
9	Число недействительных избирательных бюллетеней	742	22	20	57	19	12	15	15	13	22	27	17	16	25	16	22	31	4	16	13	9	9	34	4	9	14	30	10	24	15	12	10	5	22	11	17	16	16	15	20	6	20	19	13									
10	Число действительных избирательных бюллетеней	21741	676	525	728	771	513	501	844	608	746	685	607	469	538	499	726	524	295	548	553	345	262	609	220	236	486	494	471	572	492	294	340	404	555	446	503	374	422	474	494	266	563	666	397									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	860	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	10	20	20	20	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	285	8	7	6	15	5	9	11	7	10	15	10	2	10	7	14	8	2	8	8	11	1	5	2	1	7	6	4	10	3	4	8	4	6	7	6	1	4	3	9	5	6	5	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	202	3	1	8	2	2	6	7	8	10	26	3	4	7	4	6	3	9	7	2	4	4	0	2	0	4	2	3	3	4	4	6	5	3	1	4	5	2	3	3	3	1	12	6									
14	Число погашенных неиспользованных открепительных удостоверений	575	12	13	14	5	15	11	9	13	10	5	10	18	10	13	6	12	18	12	12	9	9	15	18	19	23	14	16	10	17	16	12	16	14	13	14	19	16	17	11	15	24	15	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	0	0	1	1	2	0	7	2	0	4	2	0	1	0	2	1	1	0	1	1	0	0	2	1	1	0	0	0	0	1	2	1	0	0	0	2	1	1	0	0	2	3	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
