Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Нурлатская 																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК  2367	УИК  2368	УИК  2369	УИК  2370	УИК  2371	УИК  2372	УИК  2373	УИК  2374	УИК  2375	УИК  2376	УИК  2377	УИК  2378	УИК  2379	УИК  2380	УИК  2381	УИК  2382	УИК  2383	УИК  2384	УИК  2385	УИК  2386	УИК  2387	УИК  2388	УИК  2389	УИК  2390	УИК  2391	УИК  2392	УИК  2393	УИК  2394	УИК  2395	УИК  2396	УИК  2397	УИК  2398	УИК  2399	УИК  2400	УИК  2401	УИК  2402	УИК  2403	УИК  2404	УИК  2405	УИК  2406	УИК  2407	УИК  2408	УИК  2409	УИК  2410					
1	"Число избирателей, внесенных в списки"	19179	945	180	211	248	357	128	326	179	328	516	477	219	375	294	336	663	271	695	306	172	445	380	610	537	546	395	1011	583	775	435	992	885	504	441	326	183	154	613	604	463	145	202	445	279					
2	"Число бюллетеней, полученных участковыми комиссиями"	19285	947	188	211	254	359	129	330	181	334	518	478	225	375	296	339	666	273	695	308	175	446	377	610	539	549	395	1029	591	775	434	992	885	512	442	328	183	159	614	604	465	145	202	447	281					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18158	937	177	198	224	330	126	287	164	315	495	477	208	349	291	322	663	271	679	255	165	407	304	594	517	523	358	971	542	643	423	913	786	463	429	321	172	154	597	599	463	142	199	434	271					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	555	8	3	6	24	10	0	29	15	13	18	0	11	26	3	14	0	0	13	43	0	28	7	10	5	21	29	40	41	24	11	0	10	41	10	5	8	0	11	5	0	1	0	6	6					
6	Число погашенных бюллетеней	572	2	8	7	6	19	3	14	2	6	5	1	6	0	2	3	3	2	3	10	10	11	66	6	17	5	8	18	8	108	0	79	89	8	3	2	3	5	6	0	2	2	3	7	4					
7	Число бюллетеней в переносных ящиках для голосования	555	8	3	6	24	10	0	29	15	13	18	0	11	26	3	14	0	0	13	43	0	28	7	10	5	21	29	40	41	24	11	0	10	41	10	5	8	0	11	5	0	1	0	6	6					
8	Число бюллетеней в стационарных ящиках для голосования	18158	937	177	198	224	330	126	287	164	315	495	477	208	349	291	322	663	271	679	255	165	407	304	594	517	523	358	971	542	643	423	913	786	463	429	321	172	154	597	599	463	142	199	434	271					
9	Число недействительных бюллетеней	344	0	0	0	3	0	2	2	0	0	0	0	0	0	1	24	10	0	0	0	2	6	7	22	29	73	15	5	0	0	23	2	3	29	0	3	0	0	53	4	21	0	0	5	0					
10	Число действительных бюллетеней	18369	945	180	204	245	340	124	314	179	328	513	477	219	375	293	312	653	271	692	298	163	429	304	582	493	471	372	1006	583	667	411	911	793	475	439	323	180	154	555	600	442	143	199	435	277					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	350	18	5	5	7	8	5	6	4	6	8	8	5	6	6	6	10	6	12	5	3	8	6	10	8	10	6	18	10	14	8	20	18	8	8	5	3	3	10	10	8	3	4	8	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	73	6	3	2	0	0	0	2	0	1	0	2	0	0	3	0	0	0	1	5	0	0	0	1	5	2	0	9	6	10	2	4	1	3	2	0	0	0	0	0	3	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	71	3	1	0	2	0	1	1	0	0	0	1	0	2	0	0	3	1	3	0	0	0	4	2	0	0	2	6	1	3	2	5	4	0	2	0	2	1	2	11	1	2	1	1	1					
14	Число погашенных открепительных удостоверений	277	12	2	3	7	8	5	4	4	5	8	6	5	6	3	6	10	6	11	0	3	8	6	9	3	8	6	9	4	4	6	16	17	5	6	5	3	3	10	10	5	3	4	8	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	"1. ""ЕДИНЕНИЕ"""	35	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	12	0	2	0	0	4	1	0	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0					
		0.18%	0.0%	0.0%	0.0%	0.80%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.22%	3.85%	0.0%	0.38%	0.0%	0.0%	0.39%	0.17%	0.0%	0.0%	0.98%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	11	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.05%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.17%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	28	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0	1	0	0	13	0	0	0	0	0	0	0	0	0	0	3	0	0					
		0.14%	0.0%	0.0%	0.49%	0.80%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	1.28%	0.0%	0.0%	0.0%	0.25%	0.0%	0.17%	0.0%	0.0%	1.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.50%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	16	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	1					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.25%	0.0%	0.34%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.36%					
22	"5. ""За Русь Святую"""	13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.96%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	44	0	1	0	1	2	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	19	4	2	0	2	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0					
		0.23%	0.0%	0.55%	0.0%	0.40%	0.58%	0.79%	0.31%	0.55%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.36%	0.0%	0.0%	0.0%	0.22%	6.10%	0.66%	0.38%	0.0%	0.51%	0.0%	0.34%	0.0%	0.0%	0.21%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
