Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																				
Дата голосования: 18.09.2016																				
																				
Наименование Избирательной комиссии:    Бронницкая городская																				
																				
Сводная таблица итогов голосования по федеральному избирательному округу																				
																				
		Сумма	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16316	1867	1547	1503	1231	2315	2264	2369	2173	1047									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11700	1300	1100	1100	900	1700	1600	1700	1500	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6231	682	533	623	507	822	864	893	801	506									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	337	93	46	61	9	18	40	18	52	0									
6	Число погашенных избирательных бюллетеней	5132	525	521	416	384	860	696	789	647	294									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	337	93	46	61	9	18	40	18	52	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6225	682	529	623	507	822	862	893	801	506									
9	Число недействительных избирательных бюллетеней	265	19	26	20	25	47	36	60	23	9									
10	Число действительных избирательных бюллетеней	6297	756	549	664	491	793	866	851	830	497									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	140	20	10	10	10	20	20	20	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	90	13	5	4	9	14	9	15	14	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	144	13	40	18	7	18	11	15	13	9									
14	Число погашенных неиспользованных открепительных удостоверений	50	7	5	6	1	6	11	5	6	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	65	5	3	4	5	4	5	5	28	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0									
																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	186	19	12	12	24	17	32	19	29	22									
		2.83%	2.45%	2.09%	1.75%	4.65%	2.02%	3.55%	2.09%	3.40%	4.35%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	173	16	18	27	12	16	24	22	17	21									
		2.64%	2.06%	3.13%	3.95%	2.33%	1.90%	2.66%	2.41%	1.99%	4.15%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	162	26	13	10	10	23	26	25	15	14									
		2.47%	3.35%	2.26%	1.46%	1.94%	2.74%	2.88%	2.74%	1.76%	2.77%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3084	367	275	331	229	404	415	438	408	217									
		46.99%	47.35%	47.83%	48.39%	44.38%	48.10%	46.01%	48.08%	47.83%	42.89%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	70	10	7	6	4	11	9	9	5	9									
		1.07%	1.29%	1.22%	0.88%	0.78%	1.31%	0.99%	0.99%	0.59%	1.78%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	1	0	1	0	4	0	3	2	1									
		0.18%	0.13%	0.00%	0.15%	0.00%	0.48%	0.00%	0.33%	0.23%	0.20%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	975	121	96	99	75	129	117	136	146	56									
		14.86%	15.61%	16.70%	14.47%	14.53%	15.36%	12.97%	14.93%	17.12%	11.07%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	75	4	7	9	8	10	13	4	19	1									
		1.14%	0.52%	1.22%	1.32%	1.55%	1.19%	1.44%	0.44%	2.23%	0.20%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	114	20	11	8	7	7	19	14	16	12									
		1.74%	2.58%	1.91%	1.17%	1.36%	0.83%	2.11%	1.54%	1.88%	2.37%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	2	1	0	0	2	0	0	0	0									
		0.08%	0.26%	0.17%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	125	18	8	15	14	11	19	14	18	8									
		1.90%	2.32%	1.39%	2.19%	2.71%	1.31%	2.11%	1.54%	2.11%	1.58%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1006	111	83	100	90	129	148	126	109	110									
		15.33%	14.32%	14.43%	14.62%	17.44%	15.36%	16.41%	13.83%	12.78%	21.74%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	43	5	3	6	1	3	9	6	4	6									
		0.66%	0.65%	0.52%	0.88%	0.19%	0.36%	0.99%	0.66%	0.47%	1.19%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	267	36	15	40	17	27	35	35	42	20									
		4.07%	4.65%	2.61%	5.85%	3.29%	3.21%	3.88%	3.84%	4.92%	3.95%									
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
