Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Олекминская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17023	27	558	211	61	249	295	744	484	74	417	270	252	391	232	590	269	744	227	315	446	211	175	434	111	493	158	221	126	278	399	1166	1169	1063	1029	518	863	966	224	371	192									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15919	31	545	219	63	266	301	774	520	82	440	288	269	419	257	596	288	777	237	308	431	222	178	390	112	514	170	230	130	320	408	913	967	879	837	414	693	792	192	298	149									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	351	0	66	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	22	4	0	10	0	0	0	0	0	74	0	0	155	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8172	23	359	177	47	170	187	366	275	42	158	193	132	220	145	322	170	391	138	127	244	125	159	243	99	342	93	117	84	117	181	425	352	393	367	164	255	378	141	143	108									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	987	0	46	10	1	20	12	32	29	22	100	29	28	37	12	27	14	62	13	13	17	17	0	55	0	20	7	6	3	26	36	45	64	38	60	13	30	16	5	3	19									
6	Число погашенных избирательных бюллетеней	6409	8	74	32	15	76	102	376	216	18	182	66	109	162	80	247	104	324	86	168	148	76	19	82	13	152	70	107	43	103	191	443	396	448	410	237	408	398	46	152	22									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1338	0	112	10	1	20	12	32	29	22	100	29	28	37	32	27	14	62	13	13	39	21	0	65	0	20	7	6	3	100	36	45	219	38	60	13	30	16	5	3	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8172	23	359	177	47	170	187	366	275	42	158	193	132	220	145	322	170	391	138	127	244	125	159	243	99	342	93	117	84	117	181	425	352	393	367	164	255	378	141	143	108									
9	Число недействительных избирательных бюллетеней	180	0	4	2	0	0	3	5	4	0	0	2	1	4	2	5	4	17	3	6	4	1	3	4	2	6	1	5	3	1	1	6	13	7	19	4	6	11	10	1	10									
10	Число действительных избирательных бюллетеней	9330	23	467	185	48	190	196	393	300	64	258	220	159	253	175	344	180	436	148	134	279	145	156	304	97	356	99	118	84	216	216	464	558	424	408	173	279	383	136	145	117									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	297	3	3	3	3	15	5	10	13	2	5	5	7	7	5	10	9	17	5	3	12	5	3	10	3	10	10	15	5	5	5	18	15	13	10	5	1	18	2	2	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	240	0	1	3	2	15	4	10	13	2	5	5	7	7	5	7	9	17	5	0	10	5	0	1	0	10	10	5	4	5	5	18	13	10	7	1	1	17	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	151	0	2	1	1	2	1	7	4	0	1	3	0	0	3	3	1	3	2	4	1	1	21	16	1	0	1	2	2	3	2	25	5	2	8	2	3	5	7	3	3									
14	Число погашенных неиспользованных открепительных удостоверений	57	3	2	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	3	2	0	3	9	3	0	0	10	1	0	0	0	2	3	3	4	0	1	2	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	98	0	0	0	0	1	6	11	2	0	10	5	5	3	7	5	4	2	2	1	4	0	0	0	0	2	0	1	0	2	0	1	6	5	3	3	1	5	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	183	1	5	3	0	0	10	6	3	1	1	1	3	1	0	5	3	12	1	2	6	2	3	6	2	3	0	1	0	2	6	13	15	13	15	9	6	12	7	1	3									
		1.92%	4.35%	1.06%	1.60%	0.00%	0.00%	5.03%	1.51%	0.99%	1.56%	0.39%	0.45%	1.88%	0.39%	0.00%	1.43%	1.63%	2.65%	0.66%	1.43%	2.12%	1.37%	1.89%	1.95%	2.02%	0.83%	0.00%	0.81%	0.00%	0.92%	2.76%	2.77%	2.63%	3.02%	3.51%	5.08%	2.11%	3.05%	4.79%	0.68%	2.36%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	332	1	10	1	1	8	6	26	9	1	8	12	8	12	6	15	7	15	4	4	10	0	2	4	2	12	12	5	3	10	5	17	23	15	13	2	8	12	7	13	3									
		3.49%	4.35%	2.12%	0.53%	2.08%	4.21%	3.02%	6.53%	2.96%	1.56%	3.10%	5.41%	5.00%	4.67%	3.39%	4.30%	3.80%	3.31%	2.65%	2.86%	3.53%	0.00%	1.26%	1.30%	2.02%	3.31%	12.00%	4.07%	3.45%	4.61%	2.30%	3.62%	4.03%	3.48%	3.04%	1.13%	2.81%	3.05%	4.79%	8.90%	2.36%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	215	1	13	3	0	3	4	6	6	0	3	3	0	6	0	5	1	4	3	4	9	5	7	13	0	14	2	2	0	9	4	12	9	11	21	2	9	14	4	2	1									
		2.26%	4.35%	2.76%	1.60%	0.00%	1.58%	2.01%	1.51%	1.97%	0.00%	1.16%	1.35%	0.00%	2.33%	0.00%	1.43%	0.54%	0.88%	1.99%	2.86%	3.18%	3.42%	4.40%	4.22%	0.00%	3.87%	2.00%	1.63%	0.00%	4.15%	1.84%	2.55%	1.58%	2.55%	4.92%	1.13%	3.16%	3.55%	2.74%	1.37%	0.79%									
