Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
Наименование Избирательной комиссии:    Краснокамская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443					
1	"Число избирателей, внесенных в списки избирателей"	20224	751	212	500	157	652	230	827	302	127	148	638	239	403	263	467	202	235	293	606	402	1359	1249	519	311	220	211	494	901	392	228	261	599	203	303	119	262	1523	1507	1909					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20215	737	214	556	165	652	204	813	306	125	148	835	228	385	254	451	196	223	291	638	411	1321	1188	507	311	223	217	509	930	398	229	256	593	196	312	121	266	1532	1475	1799					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17196	651	155	407	115	455	189	595	287	116	125	601	203	312	210	426	151	201	268	473	383	1284	1153	457	275	182	189	444	842	365	196	230	543	183	264	111	222	1168	1259	1506					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1443	83	54	74	39	73	15	217	9	9	20	37	20	31	34	25	32	18	20	21	4	26	35	50	30	36	19	43	39	23	26	19	33	12	37	8	34	54	51	33					
6	Число погашенных избирательных бюллетеней	1576	3	5	75	11	124	0	1	10	0	3	197	5	42	10	0	13	4	3	144	24	11	0	0	6	5	9	22	49	10	7	7	17	1	11	2	10	310	165	260					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1443	83	54	74	39	73	15	217	9	9	20	37	20	31	34	25	32	18	20	21	4	26	35	50	30	36	19	43	39	23	26	19	33	12	37	8	34	54	51	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17196	651	155	407	115	455	189	595	287	116	125	601	203	312	210	426	151	201	268	473	383	1284	1153	457	275	182	189	444	842	365	196	230	543	183	264	111	222	1168	1259	1506					
9	Число недействительных избирательных бюллетеней	370	5	1	7	0	12	5	3	2	4	4	8	6	0	4	5	9	0	2	7	6	32	7	89	15	0	0	6	25	6	0	3	56	6	0	1	0	10	12	12					
10	Число действительных избирательных бюллетеней	18269	729	208	474	154	516	199	809	294	121	141	630	217	343	240	446	174	219	286	487	381	1278	1181	418	290	218	208	481	856	382	222	246	520	189	301	118	256	1212	1298	1527					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	587	39	11	43	20	20	9	27	5	0	0	8	5	3	4	4	3	3	1	30	15	29	34	10	10	16	8	8	34	9	0	3	32	3	11	11	12	28	38	41					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	539	36	7	43	14	13	5	27	5	0	0	8	3	3	4	4	3	3	1	26	15	29	34	10	10	15	5	8	34	8	0	3	28	3	11	9	12	24	35	41					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	359	17	5	4	8	4	8	8	2	5	4	10	4	8	7	4	5	15	5	5	7	24	31	19	6	7	7	4	12	4	2	5	12	8	4	4	6	9	31	29					
14	Число погашенных неиспользованных открепительных удостоверений	48	3	4	0	6	7	4	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	1	3	0	0	1	0	0	4	0	0	2	0	4	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	1.Политическая партия «Аграрная партия России»	230	0	8	9	1	11	2	0	6	1	1	15	10	6	2	12	1	1	5	11	11	10	15	0	1	0	5	11	0	6	7	4	0	0	2	1	2	25	25	3					
		1.23%	0.00%	3.83%	1.87%	0.65%	2.08%	0.98%	0.00%	2.03%	0.80%	0.69%	2.35%	4.48%	1.75%	0.82%	2.66%	0.55%	0.46%	1.74%	2.23%	2.84%	0.76%	1.26%	0.00%	0.33%	0.00%	2.40%	2.26%	0.00%	1.55%	3.15%	1.61%	0.00%	0.00%	0.66%	0.84%	0.78%	2.05%	1.91%	0.19%					
