Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва															
Дата голосования: 18.09.2016															
															
Наименование Избирательной комиссии:    Солнечногорская 1															
															
Сводная таблица итогов голосования по федеральному избирательному округу															
															
		Сумма	УИК №3015	УИК №3016	УИК №3017	УИК №3018									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4770	1140	1571	768	1291									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3500	1000	1100	800	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1810	455	611	416	328									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	65	5	21	10	29									
6	Число погашенных избирательных бюллетеней	1625	540	468	374	243									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	65	5	21	10	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1805	450	611	416	328									
9	Число недействительных избирательных бюллетеней	64	20	24	14	6									
10	Число действительных избирательных бюллетеней	1806	435	608	412	351									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	65	19	20	15	11									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	49	15	16	7	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	11	29	6	17									
14	Число погашенных неиспользованных открепительных удостоверений	16	4	4	8	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	3	3	6	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0									
															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	11	10	3	7									
		1.66%	2.42%	1.58%	0.70%	1.96%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	45	15	19	6	5									
		2.41%	3.30%	3.01%	1.41%	1.40%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	61	21	21	8	11									
		3.26%	4.62%	3.32%	1.88%	3.08%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	980	244	337	251	148									
		52.41%	53.63%	53.32%	58.92%	41.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	20	4	7	4	5									
		1.07%	0.88%	1.11%	0.94%	1.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	1	2	0									
		0.16%	0.00%	0.16%	0.47%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	307	51	106	86	64									
		16.42%	11.21%	16.77%	20.19%	17.93%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	21	1	6	3	11									
		1.12%	0.22%	0.95%	0.70%	3.08%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	23	5	6	4	8									
		1.23%	1.10%	0.95%	0.94%	2.24%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	1	2	2	0									
		0.27%	0.22%	0.32%	0.47%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	42	9	8	5	20									
		2.25%	1.98%	1.27%	1.17%	5.60%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	213	59	70	29	55									
		11.39%	12.97%	11.08%	6.81%	15.41%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	3	4	2	2									
		0.59%	0.66%	0.63%	0.47%	0.56%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	44	11	11	7	15									
		2.35%	2.42%	1.74%	1.64%	4.20%									
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
