Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Клинцовская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581	УИК  582	УИК  583	УИК  584	УИК  585					
1	"Число избирателей, внесенных в список"	17049	831	808	298	145	374	429	190	373	930	911	465	743	118	532	673	694	828	171	488	139	700	206	224	307	74	525	156	733	956	845	271	191	313	420	102	886					
2	Число полученных избирательных бюллетеней	16980	830	800	300	140	370	420	190	370	930	900	480	740	120	530	660	690	820	170	480	140	710	210	230	300	80	530	150	730	950	830	270	190	300	420	110	890					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10557	475	390	202	87	292	364	139	265	626	603	278	419	80	269	488	481	454	121	339	95	486	135	148	193	52	293	118	360	520	426	207	163	242	260	79	408					
5	"Число избирательных бюллетеней, выданных вне помещения"	1489	107	151	46	24	19	13	21	20	9	9	0	136	19	118	34	55	77	5	18	10	10	16	0	63	13	67	14	60	33	98	9	0	0	72	6	137					
6	Число погашенных избирательных бюллетеней	4934	248	259	52	29	59	43	30	85	295	288	202	185	21	143	138	154	289	44	123	35	214	59	82	44	15	170	18	310	397	306	54	27	58	88	25	345					
7	Число избирательных бюллетеней в переносных ящиках	1489	107	151	46	24	19	13	21	20	9	9	0	136	19	118	34	55	77	5	18	10	10	16	0	63	13	67	14	60	33	98	9	0	0	72	6	137					
8	Число бюллетеней в стационарных ящиках для голосования	10557	475	390	202	87	292	364	139	265	626	603	278	419	80	269	488	481	454	121	339	95	486	135	148	193	52	293	118	360	520	426	207	163	242	260	79	408					
9	Число недействительных избирательных бюллетеней	123	3	5	3	0	4	3	4	3	2	11	1	4	0	3	9	7	1	0	3	0	3	5	0	2	2	9	6	9	6	8	4	1	0	2	0	0					
10	Число действительных избирательных бюллетеней	11923	579	536	245	111	307	374	156	282	633	601	277	551	99	384	513	529	530	126	354	105	493	146	148	254	63	351	126	411	547	516	212	162	242	330	85	545					
11	Число полученных открепительных  удостоверений	277	10	10	7	5	5	10	5	5	10	10	5	10	5	10	10	10	10	5	10	5	10	5	5	5	5	10	5	10	10	10	5	5	10	10	5	10					
12	Число выданных открепительных удостоверений	65	2	5	7	0	1	0	1	5	2	0	2	10	0	2	1	1	1	0	0	0	0	1	1	0	0	4	0	3	8	0	0	1	2	3	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	65	1	3	0	3	2	1	1	2	0	2	0	2	0	2	3	1	3	0	2	1	3	1	3	1	0	1	2	2	2	4	1	0	16	0	0	0					
14	Число неиспользованных открепительных удостоверений	212	8	5	0	5	4	10	4	0	8	10	3	0	5	8	9	9	9	5	10	5	10	4	4	5	5	6	5	7	2	10	5	4	8	7	4	9					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	1	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	268	14	35	2	3	4	10	0	5	14	4	3	13	0	9	8	6	11	3	7	0	16	2	5	3	0	12	5	11	13	14	4	2	15	6	0	9					
		2.22%	2.41%	6.47%	0.81%	2.70%	1.29%	2.65%	0.00%	1.75%	2.20%	0.65%	1.08%	2.34%	0.00%	2.33%	1.53%	1.12%	2.07%	2.38%	1.96%	0.00%	3.23%	1.32%	3.38%	1.17%	0.00%	3.33%	3.79%	2.62%	2.35%	2.67%	1.85%	1.23%	6.20%	1.81%	0.00%	1.65%					
19	. Малышкин Олег Александрович	233	8	8	0	3	10	5	4	2	15	10	7	6	0	10	10	6	12	1	8	0	5	2	5	9	1	4	4	5	21	14	9	0	4	9	1	15					
		1.93%	1.37%	1.48%	0.00%	2.70%	3.22%	1.33%	2.50%	0.70%	2.36%	1.63%	2.52%	1.08%	0.00%	2.58%	1.92%	1.12%	2.26%	0.79%	2.24%	0.00%	1.01%	1.32%	3.38%	3.52%	1.54%	1.11%	3.03%	1.19%	3.80%	2.67%	4.17%	0.00%	1.65%	2.71%	1.18%	2.75%					
20	. Миронов Сергей Михайлович	114	1	4	5	2	1	5	2	2	1	3	2	11	2	0	4	3	2	0	0	0	5	2	0	2	0	10	1	8	4	7	7	0	3	6	4	5					
		0.95%	0.17%	0.74%	2.02%	1.80%	0.32%	1.33%	1.25%	0.70%	0.16%	0.49%	0.72%	1.98%	2.02%	0.00%	0.77%	0.56%	0.38%	0.00%	0.00%	0.00%	1.01%	1.32%	0.00%	0.78%	0.00%	2.78%	0.76%	1.90%	0.72%	1.34%	3.24%	0.00%	1.24%	1.81%	4.71%	0.92%					
21	. Путин Владимир Владимирович	7931	360	308	106	86	172	224	111	178	466	448	203	366	76	274	379	401	394	109	210	75	372	111	98	153	60	195	65	298	320	328	159	128	170	187	61	280					
		65.84%	61.86%	56.93%	42.74%	77.48%	55.31%	59.42%	69.38%	62.46%	73.39%	73.20%	73.02%	65.95%	76.77%	70.80%	72.61%	74.81%	74.20%	86.51%	58.82%	71.43%	75.00%	73.51%	66.22%	59.77%	92.31%	54.17%	49.24%	70.95%	57.87%	62.60%	73.61%	78.53%	70.25%	56.33%	71.76%	51.38%					
22	. Хакамада Ирина Муцуовна	170	11	9	3	3	1	4	0	7	6	9	8	14	1	6	5	9	10	1	3	4	5	1	0	4	0	8	6	4	9	6	2	1	2	1	0	7					
		1.41%	1.89%	1.66%	1.21%	2.70%	0.32%	1.06%	0.00%	2.46%	0.94%	1.47%	2.88%	2.52%	1.01%	1.55%	0.96%	1.68%	1.88%	0.79%	0.84%	3.81%	1.01%	0.66%	0.00%	1.56%	0.00%	2.22%	4.55%	0.95%	1.63%	1.15%	0.93%	0.61%	0.83%	0.30%	0.00%	1.28%					
23	. Харитонов Николай Михайлович	2981	179	166	126	14	115	122	39	82	124	119	46	129	20	81	103	94	94	11	115	25	76	27	39	76	2	116	44	79	150	123	24	30	43	113	18	217					
		24.75%	30.76%	30.68%	50.81%	12.61%	36.98%	32.36%	24.38%	28.77%	19.53%	19.44%	16.55%	23.24%	20.20%	20.93%	19.73%	17.54%	17.70%	8.73%	32.21%	23.81%	15.32%	17.88%	26.35%	29.69%	3.08%	32.22%	33.33%	18.81%	27.12%	23.47%	11.11%	18.40%	17.77%	34.04%	21.18%	39.82%					
																																											
24	Против всех	226	6	6	3	0	4	4	0	6	7	8	8	12	0	4	4	10	7	1	11	1	14	1	1	7	0	6	1	6	30	24	7	1	5	8	1	12					
		1.88%	1.03%	1.11%	1.21%	0.00%	1.29%	1.06%	0.00%	2.11%	1.10%	1.31%	2.88%	2.16%	0.00%	1.03%	0.77%	1.87%	1.32%	0.79%	3.08%	0.95%	2.82%	0.66%	0.68%	2.73%	0.00%	1.67%	0.76%	1.43%	5.42%	4.58%	3.24%	0.61%	2.07%	2.41%	1.18%	2.20%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
