Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва													
Дата голосования: 18.09.2016													
													
Наименование Избирательной комиссии:    Быстринская													
													
Сводная таблица итогов голосования по федеральному избирательному округу													
													
		Сумма	УИК №144	УИК №145									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	1935	1614	321									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2000	1550	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	292	292	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	957	742	215									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	79	70	9									
6	Число погашенных избирательных бюллетеней	672	446	226									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	371	362	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	957	742	215									
9	Число недействительных избирательных бюллетеней	41	39	2									
10	Число действительных избирательных бюллетеней	1287	1065	222									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	43	30	13									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	29	25	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	14	14	0									
14	Число погашенных неиспользованных открепительных удостоверений	14	5	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	7	0									
16	Число утраченных открепительных удостоверений	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0									
													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	15	14	1									
		1.13%	1.27%	0.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	23	16	7									
		1.73%	1.45%	3.13%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	41	37	4									
		3.09%	3.35%	1.79%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	691	566	125									
		52.03%	51.27%	55.80%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	12	12	0									
		0.90%	1.09%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	0	0	0									
		0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	281	228	53									
		21.16%	20.65%	23.66%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	0	0	0									
		0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	12	11	1									
		0.90%	0.99%	0.45%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0									
		0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	11	10	1									
		0.83%	0.91%	0.45%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	131	113	18									
		9.86%	10.24%	8.04%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	15	14	1									
		1.13%	1.27%	0.45%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	55	44	11									
		4.14%	3.99%	4.91%									
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
