Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																															
Дата голосования: 18.09.2016																																																																															
																																																																															
"Наименование Избирательной комиссии:    Уфа, Советская"																																																																															
																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																															
																																																																															
		Сумма	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	127705	2020	1753	1708	1670	1889	2357	1342	1559	1425	2537	2359	2024	1584	2351	2048	1922	1993	1699	2042	2528	2142	2027	2449	1951	1773	1537	1720	1885	1537	1579	2477	1430	2593	2569	2338	1647	1646	2117	1661	1115	978	1507	1962	2734	2483	2512	1625	2194	2560	1739	2474	2559	2299	1750	2432	2599	2236	1525	1236	1887	2245	2536	1767	2256	120	164	278	45									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	110250	1740	1490	1490	1490	1640	2090	1190	1390	1240	2040	1940	1790	1390	2040	1790	1690	1690	1490	1790	2190	1790	1740	2090	1490	1440	1340	1490	1640	1340	1290	2140	1240	2240	2240	1990	1440	1440	1740	1490	990	850	1340	1690	2240	2190	2190	1340	1940	2240	1440	2140	2290	2040	1440	2040	2240	1940	1240	1090	1640	1940	2040	1540	1990	220	220	320	220									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	81097	1305	941	1224	448	1182	1498	896	472	419	1609	701	465	1075	1675	1301	1337	1395	1144	1474	1579	1743	1248	1405	1258	1293	785	1203	1151	952	1067	1560	909	1679	1875	1435	1231	1142	1307	1242	278	753	1008	1373	1702	1599	1549	545	1350	2044	1153	1869	2065	599	1240	1725	2084	1672	1220	753	1164	1731	1623	1119	1696	103	132	278	45									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	807	8	13	13	44	26	4	0	1	25	9	12	29	8	23	12	9	10	11	7	16	24	70	10	0	2	13	9	18	10	3	18	21	16	8	11	6	8	8	3	5	0	10	9	10	15	8	9	11	6	2	11	7	18	0	7	7	11	0	14	0	15	2	33	10	17	32	0	0									
6	Число погашенных избирательных бюллетеней	28346	427	536	253	998	432	588	294	917	796	422	1227	1296	307	342	477	344	285	335	309	595	23	422	675	232	145	542	278	471	378	220	562	310	545	357	544	203	290	425	245	707	97	322	308	528	576	633	786	579	190	285	260	218	1423	200	308	149	257	20	323	476	194	415	388	284	100	56	42	175									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	797	8	13	13	34	26	4	0	1	25	9	12	29	8	23	12	9	10	11	7	16	24	70	10	0	2	13	9	18	10	3	18	21	16	8	11	6	8	8	3	5	0	10	9	10	15	8	9	11	6	2	11	7	18	0	7	7	11	0	14	0	15	2	33	10	17	32	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	81084	1305	928	1224	448	1182	1498	896	472	419	1609	701	465	1075	1675	1301	1337	1395	1144	1474	1579	1743	1248	1405	1258	1293	785	1203	1151	952	1067	1560	909	1679	1875	1435	1231	1142	1307	1242	278	753	1008	1373	1702	1599	1549	545	1350	2044	1153	1869	2065	599	1240	1725	2084	1672	1220	753	1164	1731	1623	1119	1696	103	132	278	45									
9	Число недействительных избирательных бюллетеней	628	0	3	4	15	19	17	8	18	23	17	28	6	0	4	38	0	5	0	9	0	0	0	27	0	0	27	0	0	3	5	21	30	0	76	0	1	6	0	0	11	9	0	11	4	2	0	14	0	0	0	9	0	26	0	9	0	15	0	0	0	33	40	17	0	4	2	12	0									
10	Число действительных избирательных бюллетеней	81253	1313	938	1233	467	1189	1485	888	455	421	1601	685	488	1083	1694	1275	1346	1400	1155	1472	1595	1767	1318	1388	1258	1295	771	1212	1169	959	1065	1557	900	1695	1807	1446	1236	1144	1315	1245	272	744	1018	1371	1708	1612	1557	540	1361	2050	1155	1871	2072	591	1240	1723	2091	1668	1220	767	1164	1713	1585	1135	1706	116	162	266	45									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1894	30	35	30	28	30	40	30	20	20	30	22	40	30	40	20	30	20	20	30	30	40	30	30	30	20	30	30	20	25	30	30	20	26	40	25	30	40	40	26	20	20	20	20	30	40	35	30	35	52	20	40	45	30	25	30	40	50	20	20	20	30	20	20	45	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1687	28	26	27	28	27	39	21	20	9	26	21	37	26	34	18	28	20	20	30	30	31	29	29	23	17	30	23	17	24	28	28	17	26	35	25	23	31	40	26	12	14	10	16	26	40	35	27	35	51	20	32	45	27	25	23	34	50	6	20	20	30	10	20	42	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1417	9	32	8	9	7	30	5	9	15	165	12	8	16	19	11	5	25	15	16	15	10	14	63	16	5	31	3	13	13	52	5	13	6	17	4	30	14	5	0	6	24	3	8	20	8	48	44	16	7	13	19	0	11	0	45	15	10	0	38	13	9	15	4	14	11	53	173	45									
14	Число погашенных неиспользованных открепительных удостоверений	207	2	9	3	0	3	1	9	0	11	4	1	3	4	6	2	2	0	0	0	0	9	1	1	7	3	0	7	3	1	2	2	3	0	5	0	7	9	0	0	8	6	10	4	4	0	0	3	0	1	0	8	0	3	0	7	6	0	14	0	0	0	10	0	3	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	96	1	0	1	2	3	2	3	0	0	1	3	2	0	4	0	4	3	1	1	1	0	1	0	2	0	0	0	1	1	1	0	3	1	4	0	2	0	3	0	2	0	1	1	3	0	0	0	2	0	2	1	7	2	3	3	3	2	0	1	3	5	0	0	4	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	764	6	8	11	7	9	18	8	15	17	14	21	8	11	16	6	1	24	38	4	14	4	2	3	9	13	16	25	12	0	14	17	10	2	17	7	12	5	0	8	11	24	8	5	7	5	5	15	12	0	6	10	29	2	11	45	17	16	5	1	11	19	38	11	13	1	2	1	2									
		0.93%	0.46%	0.85%	0.89%	1.45%	0.75%	1.20%	0.89%	3.17%	3.83%	0.87%	2.95%	1.62%	1.02%	0.94%	0.46%	0.07%	1.71%	3.29%	0.27%	0.88%	0.23%	0.15%	0.21%	0.72%	1.00%	2.01%	2.06%	1.03%	0.00%	1.31%	1.08%	1.08%	0.12%	0.90%	0.48%	0.97%	0.43%	0.00%	0.64%	3.89%	3.19%	0.79%	0.36%	0.41%	0.31%	0.32%	2.71%	0.88%	0.00%	0.52%	0.53%	1.40%	0.32%	0.89%	2.60%	0.81%	0.95%	0.41%	0.13%	0.95%	1.09%	2.34%	0.95%	0.76%	0.83%	1.22%	0.36%	4.44%									
