Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
"Наименование Избирательной комиссии:    Красноярск, Октябрьская"																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №2296	УИК №2297					
1	"Число избирателей, внесенных в список избирателей"	115549	773	2908	2519	2375	2457	2922	2584	2978	1819	2511	2343	2741	2559	2659	2264	1067	1317	2703	2773	2628	1781	2383	2605	2841	2820	2275	2765	2472	2441	2830	2413	2453	2255	2133	1718	2193	2217	2752	2830	790	1714	702	925	2449	2356	2843	2600	2520	2111	775	1929	758					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	110476	698	2375	2282	2481	2226	2082	2376	2716	1708	2470	2382	2696	2393	2490	2218	2114	1272	2612	2719	2478	1643	2260	2541	2682	2293	2204	2605	2381	2350	2667	2387	2406	2239	2108	1706	2157	2166	2623	2416	707	1641	605	859	2432	2301	2869	2521	2517	2046	1000	1692	664					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	54493	273	1274	1109	1333	995	1416	1220	1344	829	1190	1115	1356	1228	995	967	1024	651	1410	1565	1311	683	1057	1061	1361	1059	1047	1189	1150	1048	1392	1135	1267	1061	1025	876	1094	1447	1286	1505	297	685	263	222	1113	1196	1588	1247	1191	1014	225	732	372					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2683	24	16	5	65	66	1	48	20	8	52	16	30	19	14	17	43	13	63	12	31	40	95	26	27	301	48	13	19	23	64	72	46	43	32	42	35	55	25	153	14	5	6	8	25	25	17	21	30	17	545	239	9					
6	Число погашенных избирательных бюллетеней	53300	401	1085	1168	1083	1165	665	1108	1352	871	1228	1251	1310	1146	1481	1234	1047	608	1139	1142	1136	920	1108	1454	1294	933	1109	1403	1212	1279	1211	1180	1093	1135	1051	788	1028	664	1312	758	396	951	336	629	1294	1080	1264	1253	1296	1015	230	721	283					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2681	24	16	5	65	66	1	48	20	8	52	16	30	19	14	17	43	13	63	12	31	40	95	26	27	299	48	13	19	23	64	72	46	43	32	42	35	55	25	153	14	5	6	8	25	25	17	21	30	17	545	239	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	54251	273	1258	1109	1333	995	1412	1213	1341	825	1190	1115	1353	1200	995	966	1024	651	1408	1557	1297	683	1057	1057	1361	1056	979	1189	1149	1048	1363	1135	1267	1061	1025	876	1086	1447	1280	1499	297	685	263	222	1110	1188	1588	1242	1184	1010	225	732	372					
9	Число недействительных избирательных бюллетеней	971	2	18	18	12	19	28	27	22	9	19	21	18	18	20	24	14	9	33	31	27	4	13	23	28	17	18	20	21	13	23	17	23	30	24	17	20	22	30	14	1	11	3	3	22	23	10	30	15	20	49	13	5					
10	Число действительных избирательных бюллетеней	55961	295	1256	1096	1386	1042	1385	1234	1339	824	1223	1110	1365	1201	989	959	1053	655	1438	1538	1301	719	1139	1060	1360	1338	1009	1182	1147	1058	1404	1190	1290	1074	1033	901	1101	1480	1275	1638	310	679	266	227	1113	1190	1595	1233	1199	1007	721	958	376					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1851	10	47	30	90	40	100	60	28	24	30	30	50	30	30	32	31	20	40	30	30	20	40	40	50	30	25	40	50	30	30	30	20	23	27	40	40	30	30	30	10	20	20	10	30	30	209	30	30	20	0	20	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1410	7	44	30	90	19	20	27	20	24	26	25	28	24	29	19	18	8	35	15	17	13	26	35	26	19	17	40	35	29	30	24	12	23	21	21	32	30	30	23	6	20	7	9	24	30	209	21	24	18	0	18	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	952	6	30	43	26	22	67	22	13	17	6	14	11	20	30	9	15	17	11	9	20	22	20	24	14	12	27	9	22	12	20	16	9	8	12	13	9	12	75	28	9	6	13	5	7	15	9	12	14	12	63	7	8					
14	Число погашенных неиспользованных открепительных удостоверений	441	3	3	0	0	21	80	33	8	0	4	5	22	6	1	13	13	12	5	15	13	7	14	5	24	11	8	0	15	1	0	6	8	0	6	19	8	0	0	7	4	0	13	1	6	0	0	9	6	2	0	2	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	4	2	2	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	1	3	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11343	41	245	236	159	155	271	258	266	190	261	276	318	263	197	238	238	150	331	349	316	124	248	231	316	226	225	244	129	223	336	238	290	229	201	168	220	242	235	278	63	106	56	35	258	243	284	270	246	223	128	210	60					
		19.92%	13.80%	19.23%	21.18%	11.37%	14.61%	19.18%	20.46%	19.54%	22.81%	21.01%	24.40%	22.99%	21.58%	19.52%	24.21%	22.31%	22.59%	22.50%	22.24%	23.80%	17.15%	21.53%	21.33%	22.77%	16.68%	21.91%	20.30%	11.04%	20.82%	23.55%	19.72%	22.09%	20.74%	19.02%	18.30%	19.63%	16.11%	18.01%	16.83%	20.26%	15.36%	20.82%	15.22%	22.73%	20.03%	17.69%	21.38%	20.26%	21.71%	16.62%	21.63%	15.75%					
