Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Чебоксарская																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146					
1	"Число избирателей, внесенных в списки"	43225	1002	425	563	721	525	175	440	766	580	869	427	513	457	219	543	207	2665	366	514	464	213	2341	2188	1789	1989	768	433	1023	711	1441	476	626	261	494	544	976	757	549	283	220	578	1277	333	1903	589	914	508	1080	372	266	1382	263	1030	883	908	416					
2	"Число бюллетеней, полученных участковыми комиссиями"	41030	900	400	530	660	480	140	400	660	520	800	400	450	400	200	500	180	2600	330	500	450	200	2300	2100	1750	1950	750	400	950	700	1350	440	600	250	470	530	950	700	530	270	210	550	1250	320	1850	560	850	480	1000	370	250	1300	250	1000	850	850	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20555	451	165	225	346	307	118	257	441	190	403	210	292	224	95	271	111	1232	147	164	198	126	1153	1001	998	953	331	164	568	313	567	218	372	155	237	292	498	311	223	126	138	271	513	140	912	234	474	265	428	183	152	671	132	582	416	380	211					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1752	6	61	50	2	3	1	22	58	111	65	46	30	69	18	41	36	10	24	44	60	13	16	33	13	50	42	38	37	37	86	38	5	12	27	33	22	61	42	25	8	7	36	19	9	10	6	0	15	16	15	24	15	3	51	97	34					
6	Число погашенных бюллетеней	18723	443	174	255	312	170	21	121	161	219	332	144	128	107	87	188	33	1358	159	292	192	61	1131	1066	739	947	377	198	345	350	697	184	223	83	206	205	430	328	265	119	64	272	701	161	929	316	370	215	557	171	83	605	103	415	383	373	155					
7	Число бюллетеней в переносных ящиках для голосования	1752	6	61	50	2	3	1	22	58	111	65	46	30	69	18	41	36	10	24	44	60	13	16	33	13	50	42	38	37	37	86	38	5	12	27	33	22	61	42	25	8	7	36	19	9	10	6	0	15	16	15	24	15	3	51	97	34					
8	Число бюллетеней в стационарных ящиках для голосования	20555	451	165	225	346	307	118	257	441	190	403	210	292	224	95	271	111	1232	147	164	198	126	1153	1001	998	953	331	164	568	313	567	218	372	155	237	292	498	311	223	126	138	271	513	140	912	234	474	265	428	183	152	671	132	582	416	380	211					
9	Число недействительных бюллетеней	764	15	7	7	15	13	3	7	22	17	8	5	20	17	10	12	5	22	10	15	24	3	29	24	9	23	13	14	16	14	30	13	18	11	14	16	21	18	12	14	13	15	20	12	15	18	7	3	9	16	1	4	0	5	27	18	15					
10	Число действительных бюллетеней	21543	442	219	268	333	297	116	272	477	284	460	251	302	276	103	300	142	1220	161	193	234	136	1140	1010	1002	980	360	188	589	336	623	243	359	156	250	309	499	354	253	137	133	263	529	147	906	226	473	262	434	183	166	691	147	580	440	459	230					
