Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Новохоперская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30032	1355	1071	1288	1145	252	1799	1620	1568	1188	384	635	510	521	214	115	463	436	486	703	1715	573	329	158	412	550	764	374	820	2060	468	100	289	277	332	301	351	865	1972	591	978									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31030	1350	1110	1320	1170	260	1850	1670	1610	1230	390	660	540	550	220	120	480	450	510	720	1740	580	360	170	430	580	790	390	840	2200	490	100	310	290	370	330	380	860	2030	610	970									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19846	1134	866	703	483	207	1066	1465	378	676	274	523	350	417	144	100	382	356	316	513	1147	378	193	87	382	423	628	267	503	1139	221	53	201	202	222	215	233	522	1471	430	576									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5335	140	147	257	90	32	196	78	119	329	91	107	135	86	54	7	48	66	137	146	289	104	132	67	26	116	120	100	180	512	176	44	43	60	96	73	108	192	310	117	205									
6	Число погашенных избирательных бюллетеней	5849	76	97	360	597	21	588	127	1113	225	25	30	55	47	22	13	50	28	57	61	304	98	35	16	22	41	42	23	157	549	93	3	66	28	52	42	39	146	249	63	189									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5335	140	147	257	90	32	196	78	119	329	91	107	135	86	54	7	48	66	137	146	289	104	132	67	26	116	120	100	180	512	176	44	43	60	96	73	108	192	310	117	205									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19846	1134	866	703	483	207	1066	1465	378	676	274	523	350	417	144	100	382	356	316	513	1147	378	193	87	382	423	628	267	503	1139	221	53	201	202	222	215	233	522	1471	430	576									
9	Число недействительных избирательных бюллетеней	80	10	0	7	9	0	9	0	3	0	0	0	0	0	0	0	0	0	0	6	13	4	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	5									
10	Число действительных избирательных бюллетеней	25101	1264	1013	953	564	239	1253	1543	494	1005	365	630	485	503	198	107	430	422	453	653	1423	478	325	154	403	539	746	367	683	1651	397	97	244	262	318	288	341	714	1774	547	776									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	657	25	25	25	20	8	30	30	30	30	5	20	20	20	5	3	3	15	15	10	30	5	15	3	5	15	15	5	10	40	10	2	10	5	15	15	13	20	40	25	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	657	25	25	25	20	8	30	30	30	30	5	20	20	20	5	3	3	15	15	10	30	5	15	3	5	15	15	5	10	40	10	2	10	5	15	15	13	20	40	25	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	44	1	5	1	3	0	1	0	4	0	2	0	0	0	2	0	0	3	0	1	2	1	0	0	0	0	0	0	0	4	0	5	0	3	0	0	0	0	4	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	1	3	0	0	1	4	1	0	0	0	2	3	0	0	0	0	0	0	0	1	0	1	0	3	0	1	1	0	3	1	0	2	0	4	0	8	0	0	2	1									
