Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Гусь-Хрустальная																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35416	760	186	462	737	641	302	479	555	579	733	471	547	501	227	537	197	1748	774	300	1647	1465	437	190	1230	1098	389	691	409	1588	337	1891	546	260	2041	1775	1765	1537	698	1585	1888	370	464	379									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32886	700	190	400	650	550	300	450	500	550	650	400	500	450	200	500	200	1600	700	300	1550	1300	400	196	1200	1000	350	650	400	1500	300	1800	500	200	1900	1700	1650	1400	650	1500	1800	350	450	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10860	211	69	92	180	211	92	117	152	216	242	169	216	94	75	188	44	723	246	91	651	602	125	70	354	276	114	191	131	400	81	499	172	82	686	530	527	442	270	316	560	77	163	113									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2826	9	26	14	7	80	28	104	70	26	67	67	69	77	53	62	69	195	68	21	100	104	71	31	90	125	51	108	73	28	33	87	99	45	19	22	22	89	96	101	71	69	110	70									
6	Число погашенных избирательных бюллетеней	19200	480	95	294	463	259	180	229	278	308	341	164	215	279	72	250	87	682	386	188	799	594	204	95	756	599	185	351	196	1072	186	1214	229	73	1195	1148	1101	869	284	1083	1169	204	177	167									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2826	9	26	14	7	80	28	104	70	26	67	67	69	77	53	62	69	195	68	21	100	104	71	31	90	125	51	108	73	28	33	87	99	45	19	22	22	89	96	101	71	69	110	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10857	211	69	92	180	211	92	117	152	216	242	169	216	94	75	188	44	721	246	91	651	602	125	70	354	276	114	191	131	400	81	499	172	82	686	530	527	442	269	316	560	77	163	113									
9	Число недействительных избирательных бюллетеней	174	3	3	1	1	6	5	0	1	6	3	1	3	2	0	3	0	7	2	0	7	10	0	0	6	9	3	3	2	7	0	5	6	4	12	9	12	6	5	8	10	2	0	1									
10	Число действительных избирательных бюллетеней	13509	217	92	105	186	285	115	221	221	236	306	235	282	169	128	247	113	909	312	112	744	696	196	101	438	392	162	296	202	421	114	581	265	123	693	543	537	525	360	409	621	144	273	182									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	455	7	5	5	9	7	5	7	5	8	5	5	5	5	5	7	5	20	7	7	20	20	7	5	20	20	5	10	10	20	10	20	5	5	25	25	25	10	10	15	15	8	8	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	332	7	0	2	8	7	0	7	2	5	5	0	5	0	0	2	5	20	5	7	2	20	2	0	20	20	5	10	10	20	3	10	5	5	21	25	6	10	10	15	5	8	8	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	132	2	0	6	6	6	3	5	2	2	3	3	1	1	1	6	2	1	1	3	2	9	2	0	6	0	1	1	2	2	2	2	2	9	6	3	3	11	2	6	5	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	123	0	5	3	1	0	5	0	3	3	0	5	0	5	5	5	0	0	2	0	18	0	5	5	0	0	0	0	0	0	7	10	0	0	4	0	19	0	0	0	10	0	0	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	3	0	1	1	1	7	0	1	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	3	1	1	4	1	1	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	218	6	0	1	0	7	2	3	3	4	7	1	5	2	1	2	0	20	3	5	22	8	4	1	7	9	2	8	4	4	2	7	1	3	11	12	6	10	6	4	10	2	2	1									
		1.59%	2.73%	0.00%	0.94%	0.00%	2.41%	1.67%	1.36%	1.35%	1.65%	2.27%	0.42%	1.75%	1.17%	0.78%	0.80%	0.00%	2.18%	0.96%	4.46%	2.93%	1.13%	2.04%	0.99%	1.58%	2.24%	1.21%	2.68%	1.96%	0.93%	1.75%	1.19%	0.37%	2.36%	1.56%	2.17%	1.09%	1.88%	1.64%	0.96%	1.58%	1.37%	0.73%	0.55%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	556	14	0	5	4	17	4	4	11	11	11	6	10	6	2	21	4	28	7	3	22	25	3	2	14	17	14	14	6	14	7	33	4	6	38	39	16	36	12	12	24	5	12	13									
		4.06%	6.36%	0.00%	4.72%	2.14%	5.84%	3.33%	1.81%	4.95%	4.55%	3.56%	2.54%	3.51%	3.51%	1.56%	8.40%	3.54%	3.06%	2.23%	2.68%	2.93%	3.54%	1.53%	1.98%	3.15%	4.24%	8.48%	4.68%	2.94%	3.27%	6.14%	5.63%	1.48%	4.72%	5.39%	7.07%	2.91%	6.78%	3.29%	2.88%	3.80%	3.42%	4.40%	7.10%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	424	3	2	2	10	11	0	9	4	9	2	5	11	1	4	13	4	35	19	4	27	14	2	3	19	17	4	7	4	10	3	17	7	4	24	19	15	23	10	14	12	6	7	8									
		3.10%	1.36%	2.11%	1.89%	5.35%	3.78%	0.00%	4.07%	1.80%	3.72%	0.65%	2.12%	3.86%	0.58%	3.13%	5.20%	3.54%	3.82%	6.05%	3.57%	3.60%	1.98%	1.02%	2.97%	4.28%	4.24%	2.42%	2.34%	1.96%	2.34%	2.63%	2.90%	2.58%	3.15%	3.40%	3.44%	2.73%	4.33%	2.74%	3.36%	1.90%	4.11%	2.56%	4.37%									
