Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Абатская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15437	2154	2030	1445	1003	133	146	97	172	526	81	128	418	97	89	532	139	124	92	102	634	86	73	713	105	217	202	102	603	609	82	106	134	101	293	104	404	130	154	259	455	70	99	194									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15593	2155	2042	1452	1014	132	146	98	174	530	84	132	425	99	90	535	143	125	95	100	645	87	77	732	106	223	212	103	611	613	84	109	134	103	297	104	407	130	155	259	463	71	101	196									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14226	2039	1960	1387	951	129	146	96	166	477	77	105	369	74	73	486	128	123	89	87	586	82	41	623	92	208	180	66	551	387	72	100	118	91	254	102	384	130	153	259	431	66	94	194									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	711	26	68	21	27	0	0	0	0	41	3	13	36	21	5	44	9	0	3	10	34	2	32	87	8	0	10	32	38	31	7	6	8	7	34	0	20	0	0	0	24	2	2	0									
6	Число погашенных избирательных бюллетеней	656	90	14	44	36	3	0	2	8	12	4	14	20	4	12	5	6	2	3	3	25	3	4	22	6	15	22	5	22	195	5	3	8	5	9	2	3	0	2	0	8	3	5	2									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	711	26	68	21	27	0	0	0	0	41	3	13	36	21	5	44	9	0	3	10	34	2	32	87	8	0	10	32	38	31	7	6	8	7	34	0	20	0	0	0	24	2	2	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14226	2039	1960	1387	951	129	146	96	166	477	77	105	369	74	73	486	128	123	89	87	586	82	41	623	92	208	180	66	551	387	72	100	118	91	254	102	384	130	153	259	431	66	94	194									
9	Число недействительных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	14934	2065	2028	1408	978	129	146	96	166	516	80	118	405	95	78	530	137	123	92	97	620	84	73	710	100	207	190	98	589	418	79	106	126	98	288	102	404	130	153	259	455	68	96	194									
