Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Петровск-Забайкальская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13387	632	415	362	336	1437	1020	540	592	773	776	793	727	986	255	586	860	505	740	458	594									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13550	650	422	362	339	1445	1045	598	535	780	793	800	740	960	258	595	874	516	760	465	613									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3922	179	110	93	55	406	227	182	231	220	289	320	246	217	119	141	331	125	145	107	179									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	617	26	8	16	22	27	80	20	17	41	21	32	19	91	26	7	42	27	60	22	13									
6	Число погашенных избирательных бюллетеней	9011	445	304	253	262	1012	738	396	287	519	483	448	475	652	113	447	501	364	555	336	421									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	617	26	8	16	22	27	80	20	17	41	21	32	19	91	26	7	42	27	60	22	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3922	179	110	93	55	406	227	182	231	220	289	320	246	217	119	141	331	125	145	107	179									
9	Число недействительных избирательных бюллетеней	94	5	4	6	0	10	2	4	0	6	6	7	6	13	6	3	1	2	5	6	2									
10	Число действительных избирательных бюллетеней	4445	200	114	103	77	423	305	198	248	255	304	345	259	295	139	145	372	150	200	123	190									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	330	15	15	15	15	15	20	20	20	20	15	15	15	15	20	20	15	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	47	3	3	1	0	1	5	2	2	3	3	2	3	2	1	3	4	1	2	5	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	32	0	1	0	2	0	1	0	1	6	2	4	2	2	1	0	6	2	1	0	1									
