Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																									
Дата голосования: 18.09.2016																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Орехово-Зуевская																																																																																									
																																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																									
																																																																																									
		Сумма	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	93092	2243	2195	2321	2195	2048	2273	942	2076	2222	1031	1173	1056	937	2154	2222	2282	2403	2434	2265	2244	1232	1264	2541	2634	2558	1319	278	217	1006	803	155	1715	487	214	294	824	833	396	436	407	515	1213	948	2301	2391	1986	1902	626	2305	2436	337	415	1794	1891	585	346	236	329	187	140	416	258	302	608	191	528	196	1516	2038	1836	431	393	523	651	581	414	643	355									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	87650	2000	2000	2000	2000	2000	2000	1000	2000	2000	1000	1100	1000	980	2000	2000	2000	2000	2000	2000	2000	1200	1200	2500	2500	2500	1100	250	200	1000	700	150	1700	500	200	250	800	800	400	420	400	500	1200	900	2000	2000	2000	2000	650	2300	2400	300	400	1900	2000	500	300	240	330	180	140	400	250	300	600	200	500	200	1500	2000	1900	400	350	500	600	500	400	600	360									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29942	670	671	591	707	605	753	329	664	795	328	354	243	354	643	746	688	826	794	736	730	342	424	838	776	1059	490	77	56	342	326	77	543	161	57	136	324	264	108	126	111	180	388	327	659	655	572	600	166	821	991	147	168	574	594	136	96	80	112	56	33	135	99	68	159	25	128	75	542	701	601	111	113	206	173	134	135	225	93									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2436	27	21	22	22	57	23	19	52	17	50	39	40	92	39	27	15	19	21	8	13	8	17	20	19	19	32	42	39	36	12	1	31	15	0	18	9	18	37	17	27	33	29	16	27	33	9	9	51	16	33	31	17	16	25	74	23	28	54	50	34	42	32	38	60	26	51	31	35	90	65	41	50	48	33	60	16	31	39									
6	Число погашенных избирательных бюллетеней	55272	1303	1308	1387	1271	1338	1224	652	1284	1188	622	707	717	534	1318	1227	1297	1155	1185	1256	1257	850	759	1642	1705	1422	578	131	105	622	362	72	1126	324	143	96	467	518	255	277	262	287	783	557	1314	1312	1419	1391	433	1463	1376	122	215	1310	1381	290	181	132	164	74	73	223	119	194	381	149	321	94	923	1209	1234	248	187	246	394	306	249	344	228									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2436	27	21	22	22	57	23	19	52	17	50	39	40	92	39	27	15	19	21	8	13	8	17	20	19	19	32	42	39	36	12	1	31	15	0	18	9	18	37	17	27	33	29	16	27	33	9	9	51	16	33	31	17	16	25	74	23	28	54	50	34	42	32	38	60	26	51	31	35	90	65	41	50	48	33	60	16	31	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29929	670	671	591	707	604	753	329	664	795	328	354	243	354	643	746	688	822	793	736	730	342	424	838	775	1055	490	77	56	342	326	76	543	160	57	136	324	264	108	126	111	180	388	327	659	655	572	600	166	821	991	147	168	574	594	136	96	80	112	56	33	135	99	68	159	25	128	75	542	701	601	111	113	206	173	134	135	225	93									
9	Число недействительных избирательных бюллетеней	1510	22	55	32	35	18	38	19	27	43	15	14	9	67	19	42	51	41	49	43	40	19	23	40	33	57	12	1	2	20	17	4	26	3	3	6	17	13	6	6	4	8	16	15	30	19	24	22	8	36	46	13	6	19	12	59	2	6	5	1	1	9	4	3	10	1	5	1	21	31	32	4	3	9	16	7	1	9	5									
10	Число действительных избирательных бюллетеней	30855	675	637	581	694	643	738	329	689	769	363	379	274	379	663	731	652	800	765	701	703	331	418	818	761	1017	510	118	93	358	321	73	548	172	54	148	316	269	139	137	134	205	401	328	656	669	557	587	209	801	978	165	179	571	607	151	117	102	161	105	66	168	127	103	209	50	174	105	556	760	634	148	160	245	190	187	150	247	127									
