Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																	
Дата голосования: 02.12.2007																																																	
																																																	
Наименование Избирательной комиссии:    Баганская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42					
1	"Число избирателей, внесенных в списки избирателей"	13124	477	165	86	52	321	490	554	1541	1183	871	132	153	138	200	375	88	104	462	176	193	430	268	90	160	55	121	132	509	613	222	200	579	112	152	97	138	461	727	103	28	88	78					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11525	450	171	87	57	300	350	410	1070	830	630	130	160	139	203	375	92	105	470	173	194	430	250	92	166	56	122	131	450	550	211	201	550	116	160	102	151	440	650	101	30	89	81					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9186	390	143	72	40	254	259	316	840	616	522	117	114	103	141	298	87	98	363	151	168	353	208	69	117	55	107	100	368	474	165	161	480	93	141	80	115	328	432	91	22	79	56					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	555	0	0	6	0	0	20	54	86	57	65	3	15	5	8	18	0	0	0	0	0	8	13	4	11	0	0	0	21	29	15	0	16	0	1	0	0	42	43	1	0	2	12					
6	Число погашенных избирательных бюллетеней	1784	60	28	9	17	46	71	40	144	157	43	10	31	31	54	59	5	7	107	22	26	69	29	19	38	1	15	31	61	47	31	40	54	23	18	22	36	70	175	9	8	8	13					
7	Число избирательных бюллетеней в переносных ящиках для голосования	555	0	0	6	0	0	20	54	86	57	65	3	15	5	8	18	0	0	0	0	0	8	13	4	11	0	0	0	21	29	15	0	16	0	1	0	0	42	43	1	0	2	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9186	390	143	72	40	254	259	316	840	616	522	117	114	103	141	298	87	98	363	151	168	353	208	69	117	55	107	100	368	474	165	161	480	93	141	80	115	328	432	91	22	79	56					
9	Число недействительных избирательных бюллетеней	95	7	0	3	0	0	5	1	10	5	2	0	0	0	5	3	1	0	7	4	0	5	0	2	0	0	0	0	2	4	0	0	3	0	5	0	2	10	6	0	0	2	1					
10	Число действительных избирательных бюллетеней	9646	383	143	75	40	254	274	369	916	668	585	120	129	108	144	313	86	98	356	147	168	356	221	71	128	55	107	100	387	499	180	161	493	93	137	80	113	360	469	92	22	79	67					
