Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Сафакулевская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №840	УИК №841	УИК №843	УИК №845	УИК №846	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №863	УИК №864									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10463	194	308	370	423	260	477	311	170	577	126	92	499	101	203	126	125	369	159	447	222	85	279	456	301	345	167	1846	1425									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10100	200	300	400	400	250	550	300	150	600	130	90	500	100	200	130	130	360	170	450	220	90	250	500	300	350	180	1500	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5580	113	202	244	278	147	388	170	114	328	89	60	211	47	85	47	60	251	106	200	78	47	140	303	174	254	128	763	553									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	638	14	8	25	18	24	22	28	36	93	13	10	40	11	12	5	8	16	3	33	12	5	15	20	12	23	12	61	59									
6	Число погашенных избирательных бюллетеней	3882	73	90	131	104	79	140	102	0	179	28	20	249	42	103	78	62	93	61	217	130	38	95	177	114	73	40	676	688									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	638	14	8	25	18	24	22	28	36	93	13	10	40	11	12	5	8	16	3	33	12	5	15	20	12	23	12	61	59									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5580	113	202	244	278	147	388	170	114	328	89	60	211	47	85	47	60	251	106	200	78	47	140	303	174	254	128	763	553									
9	Число недействительных избирательных бюллетеней	121	7	5	1	4	4	2	3	2	5	1	0	5	3	8	2	3	8	1	4	3	0	3	5	7	6	0	21	8									
10	Число действительных избирательных бюллетеней	6097	120	205	268	292	167	408	195	148	416	101	70	246	55	89	50	65	259	108	229	87	52	152	318	179	271	140	803	604									
