Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Дорогобужская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23738	499	163	272	354	230	386	324	292	164	258	300	347	202	143	743	816	1268	1068	750	1574	1505	2163	913	2463	1556	1700	806	2479									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23363	500	162	275	346	228	382	324	283	162	256	295	344	190	141	740	794	1247	1074	740	1550	1470	2130	900	2410	1520	1730	770	2400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8682	181	67	118	143	105	154	91	121	92	71	109	143	105	54	223	273	383	319	280	552	588	875	325	992	526	635	298	859									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	673	47	23	19	72	25	18	18	73	27	33	39	28	20	15	83	14	16	6	16	10	7	7	5	3	8	4	9	28									
6	Число погашенных избирательных бюллетеней	14008	272	72	138	131	98	210	215	89	43	152	147	173	65	72	434	507	848	749	444	988	875	1248	570	1415	986	1091	463	1513									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	673	47	23	19	72	25	18	18	73	27	33	39	28	20	15	83	14	16	6	16	10	7	7	5	3	8	4	9	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8681	181	67	118	143	105	154	91	121	92	71	109	143	105	54	223	273	383	319	280	552	588	875	325	992	525	635	298	859									
9	Число недействительных избирательных бюллетеней	186	5	1	1	1	0	1	3	2	0	2	1	11	1	0	4	3	6	13	3	14	8	23	5	28	7	17	8	18									
10	Число действительных избирательных бюллетеней	9168	223	89	136	214	130	171	106	192	119	102	147	160	124	69	302	284	393	312	293	548	587	859	325	967	526	622	299	869									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	15	8	8	8	8	8	8	8	8	8	8	10	8	8	15	15	20	17	17	20	20	25	20	25	20	20	20	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	123	3	2	4	1	8	1	4	0	2	1	2	3	1	2	1	7	4	6	3	8	3	12	3	11	8	8	3	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	66	2	2	1	1	3	1	0	2	2	1	5	1	1	1	0	1	4	6	3	1	2	3	2	9	4	1	2	5									
14	Число погашенных неиспользованных открепительных удостоверений	277	12	6	4	7	0	7	4	8	6	7	6	7	7	6	14	8	16	11	14	12	17	13	17	14	12	12	17	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	4	6	1	5	1	2	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	172	3	0	1	1	2	2	2	3	0	2	2	4	1	1	6	11	8	7	3	9	12	16	6	22	5	14	8	21									
