Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    Благовещенская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118					
1	"Число избирателей, внесенных в список избирателей"	12644	1392	293	469	1172	383	397	176	93	758	141	97	137	572	714	1023	493	268	1127	153	759	570	204	142	115	243	753					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10325	1120	240	360	960	375	320	140	80	620	110	80	110	430	680	870	400	220	900	130	610	460	170	110	90	190	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6281	581	105	232	563	298	217	96	56	403	78	48	68	325	427	459	267	110	519	62	339	290	105	63	52	148	370					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	521	32	11	7	33	51	14	10	12	44	7	3	4	21	16	24	26	10	53	9	49	42	20	5	6	9	3					
6	Число погашенных избирательных бюллетеней	3523	507	124	121	364	26	89	34	12	173	25	29	38	84	237	387	107	100	328	59	222	128	45	42	32	33	177					
7	Число избирательных бюллетеней в переносных ящиках для голосования	521	32	11	7	33	51	14	10	12	44	7	3	4	21	16	24	26	10	53	9	49	42	20	5	6	9	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6279	581	105	232	563	298	217	96	56	402	78	48	68	325	426	459	267	110	519	62	339	290	105	63	52	148	370					
9	Число недействительных избирательных бюллетеней	180	3	2	4	9	91	1	2	1	3	0	0	2	7	11	10	3	1	14	0	6	3	1	1	1	2	2					
10	Число действительных избирательных бюллетеней	6620	610	114	235	587	258	230	104	67	443	85	51	70	339	431	473	290	119	558	71	382	329	124	67	57	155	371					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	254	18	5	8	20	0	7	2	10	8	5	3	7	11	8	56	6	5	20	2	7	8	5	3	4	6	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	213	14	5	7	19	0	3	1	6	8	0	0	5	10	2	56	6	5	19	2	7	8	5	0	0	6	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	264	15	3	13	13	4	3	6	4	8	0	1	7	25	43	15	3	3	17	0	7	3	4	4	2	9	52					
14	Число погашенных неиспользованных открепительных удостоверений	41	4	0	1	1	0	4	1	4	0	5	3	2	1	6	0	0	0	1	0	0	0	0	3	4	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	2	0	2	15	1	0	0	0	0	0	0	0	0	10	3	1	0	2	3	3	0	1	0	1	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
