Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
"Наименование Избирательной комиссии:    Челябинск, Центральная"																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №2251	УИК №2258	УИК №2401									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	73703	1615	2054	1715	1509	1518	1767	1885	1549	2120	1054	2645	1882	1152	1581	1192	833	1224	769	1263	1299	1185	1940	1597	1602	2754	1277	1691	1643	2213	991	1962	1435	881	2217	2551	1618	1075	2050	1776	1401	2141	2055	202	350	180	159	2815	1316									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52350	1150	1450	1250	1100	1000	1250	1350	1100	1500	700	1900	1350	800	1150	850	700	850	700	850	950	800	1350	1150	1100	1850	900	1000	1150	1550	700	1350	1000	600	1600	1800	1150	750	1450	1250	1000	1500	1450	250	350	200	200	2000	950									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29090	610	803	590	473	460	609	795	639	1032	395	981	774	518	522	499	558	397	467	528	548	524	709	700	670	805	523	844	637	956	393	788	717	355	849	1017	576	288	819	663	717	823	715	35	325	0	151	894	399									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1558	15	26	33	17	128	27	30	22	28	40	28	43	25	22	23	55	6	5	21	28	23	11	16	25	136	8	32	20	20	20	25	7	20	41	50	23	8	33	7	12	5	1	167	25	180	8	9	4									
6	Число погашенных избирательных бюллетеней	21702	525	621	627	610	412	614	525	439	440	265	891	533	257	606	328	87	447	228	301	374	253	630	434	405	909	369	124	493	574	287	537	276	225	710	733	551	454	598	580	271	672	734	48	0	20	41	1097	547									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1558	15	26	33	17	128	27	30	22	28	40	28	43	25	22	23	55	6	5	21	28	23	11	16	25	136	8	32	20	20	20	25	7	20	41	50	23	8	33	7	12	5	1	167	25	180	8	9	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29061	610	800	590	472	460	609	794	638	1030	395	980	774	518	522	499	558	397	467	526	548	524	709	684	670	805	523	844	637	956	393	788	717	355	849	1017	576	288	819	663	716	822	715	35	325	0	151	894	399									
9	Число недействительных избирательных бюллетеней	576	8	15	12	4	12	11	12	6	16	6	21	31	5	8	6	16	8	19	6	23	6	6	17	6	21	12	18	10	10	11	14	18	14	15	15	12	8	17	17	27	9	12	2	2	1	1	25	5									
10	Число действительных избирательных бюллетеней	30043	617	811	611	485	576	625	812	654	1042	429	987	786	538	536	516	597	395	453	541	553	541	714	683	689	920	519	858	647	966	402	799	706	361	875	1052	587	288	835	653	701	818	704	200	348	179	158	878	398									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1660	30	50	30	30	30	30	30	30	50	30	70	30	30	45	30	25	30	25	30	30	30	30	40	30	70	30	30	45	50	25	40	30	25	50	70	30	30	50	40	30	50	50	0	0	0	0	70	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1004	26	31	25	29	17	15	26	16	36	20	34	21	15	32	16	4	12	6	23	23	19	23	31	15	55	16	25	30	29	6	31	25	7	32	33	12	8	29	30	7	26	23	0	0	0	0	38	27									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	952	12	14	8	9	6	13	10	14	44	43	15	27	52	4	8	10	11	17	16	6	38	31	21	30	56	21	15	21	30	13	23	8	38	14	29	27	7	11	10	10	47	8	16	41	6	14	21	7									
14	Число погашенных неиспользованных открепительных удостоверений	656	4	19	5	1	13	15	4	14	14	10	36	9	15	13	14	21	18	19	7	7	11	7	9	15	15	14	5	15	21	19	9	5	18	18	37	18	22	21	10	23	24	27	0	0	0	0	32	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	148	2	4	3	4	1	7	5	3	3	2	10	2	2	5	5	2	0	1	7	4	1	2	1	3	15	1	0	3	5	1	2	1	1	4	3	1	2	4	3	1	3	5	0	0	0	0	8	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	812	9	17	15	24	15	14	25	18	29	10	39	20	13	13	13	20	11	20	21	22	13	16	23	15	22	12	21	12	32	11	18	16	7	26	30	6	11	26	17	6	25	29	1	4	3	6	30	6									
		2.65%	1.44%	2.06%	2.41%	4.91%	2.55%	2.20%	3.03%	2.73%	2.74%	2.30%	3.87%	2.45%	2.39%	2.39%	2.49%	3.26%	2.73%	4.24%	3.84%	3.82%	2.38%	2.22%	3.29%	2.16%	2.34%	2.26%	2.40%	1.83%	3.28%	2.66%	2.21%	2.21%	1.87%	2.92%	2.81%	1.00%	3.72%	3.05%	2.54%	0.82%	3.02%	4.05%	0.50%	1.14%	1.67%	3.77%	3.32%	1.49%									
