Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																			
Дата голосования: 18.09.2016																			
																			
Наименование Избирательной комиссии:    Пионерская 																			
																			
Сводная таблица итогов голосования по федеральному избирательному округу																			
																			
		Сумма	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10555	2973	1371	1388	1367	1258	1339	503	356									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9600	2800	1200	1200	1200	1200	1200	500	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5245	1522	622	715	682	622	669	199	214									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	156	21	9	14	11	29	26	13	33									
6	Число погашенных избирательных бюллетеней	4199	1257	569	471	507	549	505	288	53									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	156	21	9	14	11	29	26	13	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5244	1521	622	715	682	622	669	199	214									
9	Число недействительных избирательных бюллетеней	173	50	22	14	26	29	25	3	4									
10	Число действительных избирательных бюллетеней	5227	1492	609	715	667	622	670	209	243									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	93	20	10	10	13	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	57	14	8	6	11	6	9	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	189	51	22	34	49	14	3	4	12									
14	Число погашенных неиспользованных открепительных удостоверений	36	6	2	4	2	4	1	10	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	20	0	3	7	2	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0									
																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	117	36	18	15	10	15	10	9	4									
		2.17%	2.33%	2.85%	2.06%	1.44%	2.30%	1.44%	4.25%	1.62%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	163	50	20	17	21	20	20	10	5									
		3.02%	3.24%	3.17%	2.33%	3.03%	3.07%	2.88%	4.72%	2.02%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	123	38	17	16	22	5	16	3	6									
		2.28%	2.46%	2.69%	2.19%	3.17%	0.77%	2.30%	1.42%	2.43%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2416	685	238	335	307	287	305	106	153									
		44.74%	44.42%	37.72%	45.95%	44.30%	44.09%	43.88%	50.00%	61.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	45	15	6	5	8	8	2	0	1									
		0.83%	0.97%	0.95%	0.69%	1.15%	1.23%	0.29%	0.00%	0.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	6	3	2	0	0	4	0	0									
		0.28%	0.39%	0.48%	0.27%	0.00%	0.00%	0.58%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	825	247	99	111	112	94	101	28	33									
		15.28%	16.02%	15.69%	15.23%	16.16%	14.44%	14.53%	13.21%	13.36%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	39	10	4	8	7	4	5	1	0									
		0.72%	0.65%	0.63%	1.10%	1.01%	0.61%	0.72%	0.47%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	72	21	23	11	5	6	4	2	0									
		1.33%	1.36%	3.65%	1.51%	0.72%	0.92%	0.58%	0.94%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	8	0	1	0	0	0	0	1									
		0.19%	0.52%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.40%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	125	19	17	24	18	12	28	7	0									
		2.31%	1.23%	2.69%	3.29%	2.60%	1.84%	4.03%	3.30%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	887	237	109	124	112	109	123	37	36									
		16.43%	15.37%	17.27%	17.01%	16.16%	16.74%	17.70%	17.45%	14.57%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	194	63	26	21	18	33	27	4	2									
		3.59%	4.09%	4.12%	2.88%	2.60%	5.07%	3.88%	1.89%	0.81%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	196	57	29	25	27	29	25	2	2									
		3.63%	3.70%	4.60%	3.43%	3.90%	4.45%	3.60%	0.94%	0.81%									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
