Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Сызранская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК №3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19483	1104	1036	1060	475	90	199	273	547	499	504	495	157	148	119	78	628	1186	1216	322	126	969	186	390	504	165	400	763	1248	145	309	769	707	527	234	794	1111									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19801	1116	1044	1079	486	134	207	280	567	517	526	500	172	153	110	80	659	1164	1200	302	127	981	200	404	508	172	410	783	1255	152	315	776	727	529	246	805	1115									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9821	549	474	459	177	43	80	120	341	284	262	207	77	77	78	49	309	637	570	185	71	489	93	253	330	111	221	476	719	51	83	429	330	183	100	368	536									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2354	45	62	232	131	38	31	45	49	104	102	88	23	26	6	6	65	39	56	12	9	162	55	62	35	10	47	82	192	84	150	48	105	47	22	30	54									
6	Число погашенных избирательных бюллетеней	7626	522	508	388	178	53	96	115	177	129	162	205	72	50	26	25	285	488	574	105	47	330	52	89	143	51	142	225	344	17	82	299	292	299	124	407	525									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2354	45	62	232	131	38	31	45	49	104	102	88	23	26	6	6	65	39	56	12	9	162	55	62	35	10	47	82	192	84	150	48	105	47	22	30	54									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9818	549	474	459	177	43	80	120	341	284	262	207	77	77	78	49	309	637	570	185	71	489	93	253	330	111	221	476	719	51	83	429	330	183	97	368	536									
9	Число недействительных избирательных бюллетеней	322	15	10	0	0	0	4	2	13	10	2	11	5	2	4	0	14	23	22	7	0	9	5	4	8	3	12	19	0	1	2	23	19	17	1	14	41									
10	Число действительных избирательных бюллетеней	11850	579	526	691	308	81	107	163	377	378	362	284	95	101	80	55	360	653	604	190	80	642	143	311	357	118	256	539	911	134	231	454	416	213	118	384	549									
