Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
Наименование Избирательной комиссии:    Северская																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №4101	УИК №4102	УИК №4103	УИК №4104	УИК №4105	УИК №4106	УИК №4107	УИК №4108	УИК №4109	УИК №4110	УИК №4111	УИК №4112	УИК №4113	УИК №4114	УИК №4115	УИК №4116	УИК №4117	УИК №4118	УИК №4119	УИК №4120	УИК №4121	УИК №4122	УИК №4123	УИК №4124	УИК №4125	УИК №4126	УИК №4127	УИК №4128	УИК №4129	УИК №4130	УИК №4131	УИК №4132	УИК №4133	УИК №4134	УИК №4135	УИК №4136	УИК №4137	УИК №4138	УИК №4139	УИК №4140	УИК №4141	УИК №4142	УИК №4143	УИК №4144	УИК №4145	УИК №4146	УИК №4147	УИК №4148	УИК №4149	УИК №4150	УИК №4151	УИК №4152	УИК №4153	УИК №4154	УИК №4155	УИК №4156	УИК №4157	УИК №4158	УИК №4159	УИК №4160	УИК №4161	УИК №4162	УИК №4163	УИК №4164					
1	"Число избирателей, внесенных в списки избирателей"	85123	1505	1871	1978	1848	1934	1957	505	1116	1984	773	1961	869	355	1048	645	1618	2502	2293	2516	1445	2128	2260	1902	431	457	1426	1145	811	618	507	159	654	306	1224	212	2361	1848	175	2314	2015	2088	1784	1850	1497	1487	1177	1731	2333	703	229	2515	2234	1171	593	119	1571	1533	1468	1113	1665	1519	575	273	219					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	83468	1422	1840	1930	1806	1893	1805	480	1100	1950	760	1894	1050	348	1038	630	1550	2470	2170	2550	1420	2020	2190	1845	415	450	1420	1140	790	620	515	155	660	307	1305	260	2270	1805	170	2270	1940	2065	1760	1790	1465	1535	1090	1720	2300	694	235	2440	2140	1135	580	119	1550	1550	1455	1050	1560	1512	540	288	242					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	46602	800	974	1029	864	1286	1090	375	574	1007	429	1281	519	225	698	468	764	1216	1061	1201	819	947	1113	944	164	194	758	562	404	320	295	106	353	128	818	182	1109	953	101	1953	1631	1068	1294	949	819	1140	669	952	1199	323	102	1187	1184	416	347	73	880	786	717	473	883	822	249	187	168					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	7063	100	89	226	104	35	154	27	109	99	61	74	72	60	60	57	147	224	134	177	60	241	117	171	77	46	190	105	62	91	27	27	55	51	159	30	207	193	36	63	123	155	126	167	65	91	129	148	181	150	91	294	204	289	72	18	59	98	75	138	135	81	110	24	23					
6	Число погашенных избирательных бюллетеней	29803	522	777	675	838	572	561	78	417	844	270	539	459	63	280	105	639	1030	975	1172	541	832	960	730	174	210	472	473	324	209	193	22	252	128	328	48	954	659	33	254	186	842	340	674	581	304	292	620	920	221	42	959	752	430	161	28	611	666	663	439	542	609	181	77	51					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7063	100	89	226	104	35	154	27	109	99	61	74	72	60	60	57	147	224	134	177	60	241	117	171	77	46	190	105	62	91	27	27	55	51	159	30	207	193	36	63	123	155	126	167	65	91	129	148	181	150	91	294	204	289	72	18	59	98	75	138	135	81	110	24	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46588	800	974	1029	864	1286	1090	375	572	1007	428	1281	519	225	698	468	763	1216	1056	1201	819	947	1113	944	164	194	758	562	404	320	295	106	353	128	817	182	1109	953	101	1953	1631	1068	1294	946	819	1140	669	952	1199	323	102	1187	1184	416	347	73	880	786	717	473	883	822	249	187	167					
9	Число недействительных избирательных бюллетеней	799	22	12	20	15	38	11	5	8	9	2	29	14	5	11	8	17	7	19	13	6	17	17	0	0	6	16	14	4	6	0	0	19	0	25	12	29	36	0	18	16	20	19	17	8	7	10	17	22	4	0	48	18	10	7	0	19	7	15	7	13	10	6	4	5					
10	Число действительных избирательных бюллетеней	52852	878	1051	1235	953	1283	1233	397	673	1097	487	1326	577	280	747	517	893	1433	1171	1365	873	1171	1213	1115	241	234	932	653	462	405	322	133	389	179	951	200	1287	1110	137	1998	1738	1203	1401	1096	876	1224	788	1083	1358	469	193	1433	1370	695	412	91	920	877	777	604	1005	893	353	207	185					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	983	15	15	15	15	20	20	5	10	20	10	20	10	19	10	10	10	20	20	20	10	20	20	15	5	5	20	25	20	15	5	5	10	5	70	10	20	10	5	20	15	25	15	25	15	15	15	20	25	15	10	20	20	10	10	5	15	15	15	10	15	15	14	10	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	553	10	14	11	15	14	15	1	2	9	9	14	2	19	9	1	10	11	6	10	7	6	11	0	2	2	10	6	1	10	5	5	1	0	70	10	20	7	0	6	7	12	7	12	6	15	8	7	6	4	3	10	2	3	1	0	15	10	11	4	4	6	14	10	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	336	9	4	5	4	29	14	2	2	4	3	3	9	18	4	11	3	2	8	5	7	7	1	2	0	2	20	3	2	1	3	10	1	0	6	0	4	1	4	2	8	3	1	17	3	1	12	2	3	5	1	17	9	0	9	0	3	3	1	3	5	5	1	6	3					
14	Число погашенных неиспользованных открепительных удостоверений	430	5	1	4	0	6	5	4	8	11	1	6	8	0	1	9	0	9	14	10	3	14	9	15	3	3	10	19	19	5	0	0	9	5	0	0	0	3	5	14	8	13	8	13	9	0	7	13	19	11	7	10	18	7	9	5	0	5	4	6	11	9	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																							
18	1.Политическая партия «Аграрная партия России»	800	11	16	19	16	24	23	11	15	15	9	32	16	1	14	6	20	13	13	21	13	20	15	18	5	2	10	18	4	8	3	3	6	3	18	5	21	8	1	23	22	16	12	17	18	12	13	12	11	5	6	13	31	8	3	1	21	10	14	7	22	23	2	2	0					
		1.49%	1.22%	1.51%	1.51%	1.65%	1.82%	1.85%	2.74%	2.20%	1.36%	1.84%	2.36%	2.71%	0.35%	1.85%	1.14%	2.20%	0.90%	1.09%	1.52%	1.48%	1.68%	1.22%	1.61%	2.07%	0.83%	1.05%	2.70%	0.86%	1.95%	0.93%	2.26%	1.47%	1.68%	1.84%	2.36%	1.60%	0.70%	0.73%	1.14%	1.25%	1.31%	0.85%	1.53%	2.04%	0.97%	1.63%	1.09%	0.80%	1.06%	3.11%	0.88%	2.23%	1.13%	0.72%	1.10%	2.24%	1.13%	1.77%	1.15%	2.16%	2.55%	0.56%	0.95%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	334	4	8	14	6	19	9	1	2	13	3	1	1	3	4	2	5	3	12	9	3	11	7	4	4	2	8	0	4	0	2	0	0	0	5	1	7	9	0	12	6	6	7	8	6	6	6	5	11	3	0	9	5	1	1	0	8	7	9	12	10	2	5	1	2					
		0.62%	0.44%	0.75%	1.12%	0.62%	1.44%	0.72%	0.25%	0.29%	1.18%	0.61%	0.07%	0.17%	1.05%	0.53%	0.38%	0.55%	0.21%	1.01%	0.65%	0.34%	0.93%	0.57%	0.36%	1.66%	0.83%	0.84%	0.00%	0.86%	0.00%	0.62%	0.00%	0.00%	0.00%	0.51%	0.47%	0.53%	0.79%	0.00%	0.60%	0.34%	0.49%	0.49%	0.72%	0.68%	0.49%	0.75%	0.45%	0.80%	0.63%	0.00%	0.61%	0.36%	0.14%	0.24%	0.00%	0.85%	0.79%	1.14%	1.96%	0.98%	0.22%	1.39%	0.47%	1.05%					
20	3.Политическая партия «Демократическая партия России»	81	3	1	2	2	0	1	4	2	2	0	2	1	0	1	0	6	3	2	0	3	7	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	4	5	3	0	0	1	2	6	0	0	0	2	0	1	0	0	2	2	1	0	2	0	0	1	0					
		0.15%	0.33%	0.09%	0.16%	0.21%	0.00%	0.08%	0.99%	0.29%	0.18%	0.00%	0.15%	0.17%	0.00%	0.13%	0.00%	0.66%	0.21%	0.17%	0.00%	0.34%	0.59%	0.08%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.47%	0.00%	0.00%	0.00%	0.15%	0.23%	0.41%	0.21%	0.00%	0.00%	0.08%	0.25%	0.55%	0.00%	0.00%	0.00%	0.14%	0.00%	0.14%	0.00%	0.00%	0.21%	0.23%	0.13%	0.00%	0.20%	0.00%	0.00%	0.47%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	8492	143	160	163	146	226	248	30	126	230	86	214	87	28	100	65	148	251	200	283	149	206	243	200	26	17	90	114	105	41	59	14	40	11	118	17	268	187	16	235	187	211	198	191	146	139	144	173	257	78	14	156	178	101	40	18	176	205	191	87	253	148	45	35	31					
		15.83%	15.89%	15.05%	12.99%	15.08%	17.11%	19.94%	7.46%	18.50%	20.80%	17.59%	15.79%	14.72%	9.82%	13.19%	12.38%	16.26%	17.43%	16.81%	20.54%	16.95%	17.34%	19.76%	17.94%	10.79%	7.08%	9.49%	17.09%	22.53%	9.98%	18.32%	10.53%	9.80%	6.15%	12.09%	8.02%	20.36%	16.32%	11.68%	11.66%	10.66%	17.25%	13.94%	17.16%	16.52%	11.29%	18.05%	15.73%	18.62%	16.49%	7.25%	10.53%	12.82%	14.33%	9.55%	19.78%	18.74%	23.19%	24.12%	14.24%	24.85%	16.39%	12.53%	16.59%	16.32%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	201	4	4	11	2	1	3	1	2	5	1	7	2	0	2	1	5	3	3	7	6	11	2	3	0	1	1	6	0	2	0	0	0	0	8	1	3	1	0	4	13	3	6	0	5	9	4	7	2	1	1	2	8	7	0	0	0	2	7	0	4	3	4	0	0					
		0.37%	0.44%	0.38%	0.88%	0.21%	0.08%	0.24%	0.25%	0.29%	0.45%	0.20%	0.52%	0.34%	0.00%	0.26%	0.19%	0.55%	0.21%	0.25%	0.51%	0.68%	0.93%	0.16%	0.27%	0.00%	0.42%	0.11%	0.90%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.82%	0.47%	0.23%	0.09%	0.00%	0.20%	0.74%	0.25%	0.42%	0.00%	0.57%	0.73%	0.50%	0.64%	0.14%	0.21%	0.52%	0.14%	0.58%	0.99%	0.00%	0.00%	0.00%	0.23%	0.88%	0.00%	0.39%	0.33%	1.11%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	70	3	1	3	1	3	0	0	0	0	3	2	1	0	1	0	1	1	3	2	0	2	1	5	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	8	4	0	0	4	1	2	2	1	0	0	1	1	0	0	0	1	2	0	2	1	1	1	0	0					
		0.13%	0.33%	0.09%	0.24%	0.10%	0.23%	0.00%	0.00%	0.00%	0.00%	0.61%	0.15%	0.17%	0.00%	0.13%	0.00%	0.11%	0.07%	0.25%	0.15%	0.00%	0.17%	0.08%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.47%	0.15%	0.00%	0.00%	0.05%	0.46%	0.33%	0.00%	0.00%	0.45%	0.08%	0.25%	0.18%	0.07%	0.00%	0.00%	0.07%	0.07%	0.00%	0.00%	0.00%	0.11%	0.23%	0.00%	0.33%	0.10%	0.11%	0.28%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	3901	52	78	120	70	104	84	25	50	63	33	108	32	12	75	38	80	97	74	76	79	86	103	106	17	24	58	54	24	43	9	9	28	14	37	9	111	100	5	94	140	87	104	85	64	78	53	131	100	24	15	140	123	64	28	3	75	54	52	42	40	60	30	14	14					
		7.27%	5.78%	7.34%	9.56%	7.23%	7.87%	6.75%	6.22%	7.34%	5.70%	6.75%	7.97%	5.41%	4.21%	9.89%	7.24%	8.79%	6.74%	6.22%	5.52%	8.99%	7.24%	8.37%	9.51%	7.05%	10.00%	6.12%	8.10%	5.15%	10.46%	2.80%	6.77%	6.86%	7.82%	3.79%	4.25%	8.43%	8.73%	3.65%	4.66%	7.98%	7.11%	7.32%	7.64%	7.24%	6.34%	6.64%	11.91%	7.25%	5.07%	7.77%	9.45%	8.86%	9.08%	6.68%	3.30%	7.99%	6.11%	6.57%	6.87%	3.93%	6.64%	8.36%	6.64%	7.37%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	4819	104	146	150	101	144	154	33	62	113	53	82	33	14	52	53	86	143	159	164	76	106	107	76	22	10	53	54	31	37	40	20	37	16	121	17	120	80	6	87	139	120	137	107	103	65	69	49	104	28	10	170	136	59	48	5	114	70	78	62	67	40	38	29	10					
		8.98%	11.56%	13.73%	11.95%	10.43%	10.90%	12.38%	8.21%	9.10%	10.22%	10.84%	6.05%	5.58%	4.91%	6.86%	10.10%	9.45%	9.93%	13.36%	11.90%	8.65%	8.92%	8.70%	6.82%	9.13%	4.17%	5.59%	8.10%	6.65%	9.00%	12.42%	15.04%	9.07%	8.94%	12.40%	8.02%	9.12%	6.98%	4.38%	4.32%	7.92%	9.81%	9.65%	9.61%	11.65%	5.28%	8.65%	4.45%	7.54%	5.92%	5.18%	11.48%	9.80%	8.37%	11.46%	5.49%	12.14%	7.92%	9.85%	10.15%	6.58%	4.43%	10.58%	13.74%	5.26%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	365	7	11	9	10	10	12	1	4	6	4	12	3	3	9	7	5	4	10	5	4	1	5	10	1	2	4	1	2	1	2	1	4	0	2	4	13	16	0	15	19	5	4	10	6	4	5	3	7	2	3	10	12	9	3	2	7	4	5	11	6	5	0	1	2					
		0.68%	0.78%	1.03%	0.72%	1.03%	0.76%	0.96%	0.25%	0.59%	0.54%	0.82%	0.89%	0.51%	1.05%	1.19%	1.33%	0.55%	0.28%	0.84%	0.36%	0.46%	0.08%	0.41%	0.90%	0.41%	0.83%	0.42%	0.15%	0.43%	0.24%	0.62%	0.75%	0.98%	0.00%	0.20%	1.89%	0.99%	1.40%	0.00%	0.74%	1.08%	0.41%	0.28%	0.90%	0.68%	0.32%	0.63%	0.27%	0.51%	0.42%	1.55%	0.68%	0.86%	1.28%	0.72%	2.20%	0.75%	0.45%	0.63%	1.80%	0.59%	0.55%	0.00%	0.47%	1.05%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	33379	535	616	726	596	735	690	291	405	640	292	851	397	219	484	344	535	915	678	789	529	716	719	682	166	174	699	403	286	273	205	86	272	134	641	143	734	701	106	1508	1184	732	918	660	513	897	476	692	859	327	138	920	873	438	288	62	510	511	412	376	598	608	224	124	124					
		62.22%	59.44%	57.95%	57.85%	61.57%	55.64%	55.47%	72.39%	59.47%	57.87%	59.71%	62.80%	67.17%	76.84%	63.85%	65.52%	58.79%	63.54%	56.97%	57.26%	60.18%	60.27%	58.46%	61.17%	68.88%	72.50%	73.73%	60.42%	61.37%	66.42%	63.66%	64.66%	66.67%	74.86%	65.68%	67.45%	55.78%	61.17%	77.37%	74.80%	67.50%	59.85%	64.65%	59.30%	58.03%	72.87%	59.65%	62.91%	62.25%	69.13%	71.50%	62.12%	62.90%	62.13%	68.74%	68.13%	54.31%	57.81%	52.02%	61.54%	58.74%	67.33%	62.40%	58.77%	65.26%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	410	12	10	18	3	17	9	0	5	10	3	15	4	0	5	1	2	0	17	9	11	5	10	10	0	2	9	3	6	0	2	0	1	1	0	1	8	8	3	16	16	14	12	18	11	12	14	3	6	1	6	10	3	7	1	0	6	10	8	5	2	3	4	0	2					
		0.76%	1.33%	0.94%	1.43%	0.31%	1.29%	0.72%	0.00%	0.73%	0.90%	0.61%	1.11%	0.68%	0.00%	0.66%	0.19%	0.22%	0.00%	1.43%	0.65%	1.25%	0.42%	0.81%	0.90%	0.00%	0.83%	0.95%	0.45%	1.29%	0.00%	0.62%	0.00%	0.25%	0.56%	0.00%	0.47%	0.61%	0.70%	2.19%	0.79%	0.91%	1.14%	0.85%	1.62%	1.24%	0.97%	1.75%	0.27%	0.43%	0.21%	3.11%	0.68%	0.22%	0.99%	0.24%	0.00%	0.64%	1.13%	1.01%	0.82%	0.20%	0.33%	1.11%	0.00%	1.05%					
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
