Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																												
Дата голосования: 04.12.2011																																												
																																												
Наименование Избирательной комиссии:    Красночикойская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205					
1	"Число избирателей, внесенных в список избирателей"	15529	126	532	182	189	493	140	591	137	284	102	105	398	100	429	741	2734	2676	507	117	66	245	283	263	215	71	373	137	559	281	136	83	173	461	62	244	1164	130					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15750	127	551	184	193	508	145	588	138	289	103	106	409	105	428	762	2768	2691	516	118	68	248	286	271	218	70	377	147	563	287	137	85	174	456	64	245	1192	133					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	11	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8371	81	304	99	124	278	105	354	81	184	80	84	191	78	226	371	1217	1224	323	93	46	157	184	170	136	55	235	91	314	194	89	60	110	281	32	158	476	86					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	994	4	32	24	20	38	10	22	11	38	1	5	20	17	34	77	35	111	37	10	5	34	20	7	9	6	41	12	40	20	13	7	13	34	4	9	165	9					
6	Число погашенных избирательных бюллетеней	6374	42	204	61	49	192	30	212	46	67	22	17	198	10	168	314	1516	1356	156	15	17	57	82	94	73	9	101	44	209	73	35	18	51	141	28	78	551	38					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1005	4	43	24	20	38	10	22	11	38	1	5	20	17	34	77	35	111	37	10	5	34	20	7	9	6	41	12	40	20	13	7	13	34	4	9	165	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8371	81	304	99	124	278	105	354	81	184	80	84	191	78	226	371	1217	1224	323	93	46	157	184	170	136	55	235	91	314	194	89	60	110	281	32	158	476	86					
9	Число недействительных избирательных бюллетеней	154	5	6	1	3	7	1	7	1	6	6	0	3	0	8	6	19	24	0	0	0	1	2	0	6	1	5	0	7	4	1	0	2	5	2	3	12	0					
10	Число действительных избирательных бюллетеней	9222	80	341	122	141	309	114	369	91	216	75	89	208	95	252	442	1233	1311	360	103	51	190	202	177	139	60	271	103	347	210	101	67	121	310	34	164	629	95					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	360	4	13	4	4	12	4	13	4	7	4	4	9	4	10	17	50	50	12	4	4	6	7	6	5	4	9	4	13	7	4	4	4	11	4	6	29	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	95	2	12	0	0	0	0	5	0	1	0	0	6	4	0	5	25	23	0	0	0	0	0	2	0	0	0	0	3	2	0	0	0	0	0	0	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	74	2	3	2	2	2	1	1	2	1	3	2	1	1	5	2	7	9	3	1	0	0	1	0	2	3	1	1	2	2	1	0	1	5	0	1	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	265	2	1	4	4	12	4	8	4	6	4	4	3	0	10	12	25	27	12	4	4	6	7	4	5	4	9	4	10	5	4	4	4	11	4	6	25	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
