Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Уваровская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8463	526	564	450	427	402	426	461	352	206	262	427	367	446	631	350	214	313	157	370	243	452	417									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8670	550	570	470	460	410	430	450	370	210	270	450	370	460	630	370	210	320	160	370	240	470	430									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4595	194	224	262	260	269	273	338	269	139	197	305	136	125	226	149	81	128	77	245	168	260	270									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1461	68	57	99	76	55	74	38	40	53	36	80	68	104	132	84	36	96	40	70	39	56	60									
6	Число погашенных избирательных бюллетеней	2614	288	289	109	124	86	83	74	61	18	37	65	166	231	272	137	93	96	43	55	33	154	100									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1461	68	57	99	76	55	74	38	40	53	36	80	68	104	132	84	36	96	40	70	39	56	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4595	194	224	262	260	269	273	338	269	139	197	305	136	125	226	149	81	128	77	245	168	260	270									
9	Число недействительных избирательных бюллетеней	57	13	8	4	0	1	2	5	2	0	1	0	4	1	9	0	4	0	1	0	0	2	0									
10	Число действительных избирательных бюллетеней	5999	249	273	357	336	323	345	371	307	192	232	385	200	228	349	233	113	224	116	315	207	314	330									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	119	6	6	10	6	6	6	6	5	3	3	6	5	6	8	7	3	4	3	4	4	6	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	40	0	2	10	1	3	0	0	0	1	0	2	1	3	6	5	0	1	1	0	0	3	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	3	3	0	2	0	3	1	1	2	0	0	0	1	2	0	2	4	1	0	0	4	1									
14	Число погашенных неиспользованных открепительных удостоверений	79	6	4	0	5	3	6	6	5	2	3	4	4	3	2	2	3	3	2	4	4	3	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	3	0	0	1	1	5	1	0	2	0	0	1	0	0	0	0	1	0	0	0	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	106	15	7	4	1	6	0	1	2	0	1	1	5	24	16	5	6	3	1	1	0	3	4									
		1.75%	5.73%	2.49%	1.11%	0.30%	1.85%	0.00%	0.27%	0.65%	0.00%	0.43%	0.26%	2.45%	10.48%	4.47%	2.15%	5.13%	1.34%	0.85%	0.32%	0.00%	0.95%	1.21%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	103	5	15	4	0	8	3	3	3	7	2	4	1	7	7	3	3	4	2	9	4	5	4									
		1.70%	1.91%	5.34%	1.11%	0.00%	2.47%	0.86%	0.80%	0.97%	3.65%	0.86%	1.04%	0.49%	3.06%	1.96%	1.29%	2.56%	1.79%	1.71%	2.86%	1.93%	1.58%	1.21%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	55	1	6	1	2	6	4	0	0	0	0	0	2	3	6	0	1	1	0	11	4	3	4									
		0.91%	0.38%	2.14%	0.28%	0.60%	1.85%	1.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	1.31%	1.68%	0.00%	0.85%	0.45%	0.00%	3.49%	1.93%	0.95%	1.21%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4554	140	143	271	281	253	278	309	285	181	213	325	146	143	196	152	65	158	95	257	176	245	242									
		75.20%	53.44%	50.89%	75.07%	83.63%	78.09%	80.12%	82.18%	92.23%	94.27%	91.42%	84.42%	71.57%	62.45%	54.75%	65.24%	55.56%	70.54%	81.20%	81.59%	85.02%	77.53%	73.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	4	1	1	2	0	3	0	0	0	0	0	2	0	3	2	0	0	0	0	1	2	0									
		0.35%	1.53%	0.36%	0.28%	0.60%	0.00%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	0.84%	0.86%	0.00%	0.00%	0.00%	0.00%	0.48%	0.63%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	483	38	36	34	19	19	27	21	7	2	6	17	11	25	38	20	20	29	3	18	14	36	43									
		7.98%	14.50%	12.81%	9.42%	5.65%	5.86%	7.78%	5.59%	2.27%	1.04%	2.58%	4.42%	5.39%	10.92%	10.61%	8.58%	17.09%	12.95%	2.56%	5.71%	6.76%	11.39%	13.03%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	2	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	0	0									
		0.15%	0.76%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.71%	0.00%	0.48%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	1	1	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1									
		0.15%	0.38%	0.36%	0.55%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.30%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0									
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.85%	0.32%	0.48%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	13	2	1	4	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0									
		0.21%	0.76%	0.36%	1.11%	0.30%	0.31%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.48%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	523	30	53	31	25	22	24	29	7	0	7	36	31	17	60	43	15	27	8	16	0	17	25									
		8.64%	11.45%	18.86%	8.59%	7.44%	6.79%	6.92%	7.71%	2.27%	0.00%	3.00%	9.35%	15.20%	7.42%	16.76%	18.45%	12.82%	12.05%	6.84%	5.08%	0.00%	5.38%	7.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	4	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0									
