Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Юргинская городская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	62927	1827	1200	1025	1604	991	990	1401	1274	1473	1160	1506	1512	1275	1268	1443	1489	2772	2860	1261	1575	1458	1414	1446	1371	1609	1489	1414	1384	1387	1383	1478	1688	1615	1805	1416	1612	1446	1577	2243	2109	1677									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	60850	1750	1150	1000	1550	950	850	1350	1200	1400	1150	1450	1450	1150	1200	1400	1450	2950	2950	1200	1500	1400	1350	1400	1300	1550	1450	1350	1300	1300	1300	1400	1650	1550	1750	1350	1550	1400	1500	2250	2050	1650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	55363	1615	1001	898	1428	761	759	1281	1152	1251	1016	1330	1329	1113	1095	1309	1316	2436	2697	1104	1374	1283	1250	1266	1205	1402	1303	1172	1257	1228	1205	1318	1506	1500	1439	1257	1405	1353	1396	1982	1873	1498									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1711	30	77	22	16	180	91	23	20	92	26	38	31	29	44	19	21	53	54	29	38	26	20	32	27	43	35	98	32	19	42	22	15	20	204	17	42	21	20	14	21	8									
6	Число погашенных избирательных бюллетеней	3776	105	72	80	106	9	0	46	28	57	108	82	90	8	61	72	113	461	199	67	88	91	80	102	68	105	112	80	11	53	53	60	129	30	107	76	103	26	84	254	156	144									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1711	30	77	22	16	180	91	23	20	92	26	38	31	29	44	19	21	53	54	29	38	26	20	32	27	43	35	98	32	19	42	22	15	20	204	17	42	21	20	14	21	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	55335	1615	1001	898	1428	761	759	1281	1152	1251	1016	1330	1329	1113	1095	1309	1316	2436	2697	1104	1373	1283	1250	1266	1205	1402	1303	1172	1257	1228	1205	1296	1506	1500	1439	1257	1405	1353	1391	1982	1873	1498									
9	Число недействительных избирательных бюллетеней	370	5	6	0	5	2	0	14	5	12	1	5	1	5	5	10	18	35	11	0	79	7	3	2	1	10	17	10	5	10	21	0	6	5	16	3	4	3	6	13	9	0									
10	Число действительных избирательных бюллетеней	56676	1640	1072	920	1439	939	850	1290	1167	1331	1041	1363	1359	1137	1134	1318	1319	2454	2740	1133	1332	1302	1267	1296	1231	1435	1321	1260	1284	1237	1226	1318	1515	1515	1627	1271	1443	1371	1405	1983	1885	1506									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	660	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	30	30	15	15	15	15	15	15	15	20	20	15	15	15	15	15	15	15	15	15	15	15	20	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	369	5	4	4	3	3	1	15	3	8	4	7	5	8	3	10	6	30	20	15	7	15	5	4	6	7	20	18	10	15	5	9	8	5	5	6	11	15	2	16	15	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	83	5	3	6	1	1	2	5	3	3	4	5	1	5	7	0	0	1	5	0	2	0	1	3	0	0	0	1	3	2	0	0	0	0	0	2	0	0	2	2	5	3									
14	Число погашенных неиспользованных открепительных удостоверений	291	10	11	11	12	12	14	0	12	7	11	8	10	7	12	5	9	0	10	0	8	0	10	11	9	8	0	2	5	0	10	6	7	10	10	9	4	0	13	4	0	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	61	1	0	1	0	1	1	4	1	0	1	0	0	1	0	2	1	16	9	2	1	1	1	0	2	2	1	1	2	3	0	1	0	1	0	0	0	3	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	35	1	1	2	1	1	0	0	1	2	0	1	1	1	1	0	2	1	4	0	1	1	1	1	1	0	1	0	1	0	0	0	1	0	1	2	0	1	0	1	2	0									
		0.06%	0.06%	0.09%	0.22%	0.07%	0.11%	0.00%	0.00%	0.09%	0.15%	0.00%	0.07%	0.07%	0.09%	0.09%	0.00%	0.15%	0.04%	0.15%	0.00%	0.07%	0.08%	0.08%	0.08%	0.08%	0.00%	0.07%	0.00%	0.08%	0.00%	0.00%	0.00%	0.07%	0.00%	0.06%	0.16%	0.00%	0.07%	0.00%	0.05%	0.11%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	54	3	1	2	1	1	0	0	1	0	1	1	1	1	0	6	3	2	3	2	1	1	1	2	1	0	1	1	1	0	0	5	1	0	2	1	1	1	1	1	1	2									
		0.09%	0.18%	0.09%	0.22%	0.07%	0.11%	0.00%	0.00%	0.09%	0.00%	0.10%	0.07%	0.07%	0.09%	0.00%	0.45%	0.22%	0.08%	0.11%	0.18%	0.07%	0.08%	0.08%	0.15%	0.08%	0.00%	0.07%	0.08%	0.08%	0.00%	0.00%	0.38%	0.07%	0.00%	0.12%	0.08%	0.07%	0.07%	0.07%	0.05%	0.05%	0.13%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	57	2	1	2	1	1	0	0	2	1	0	1	1	1	1	0	2	2	2	1	1	1	3	4	1	1	1	0	1	1	1	4	2	0	2	2	2	0	5	1	2	1									
		0.10%	0.12%	0.09%	0.22%	0.07%	0.11%	0.00%	0.00%	0.17%	0.07%	0.00%	0.07%	0.07%	0.09%	0.09%	0.00%	0.15%	0.08%	0.07%	0.09%	0.07%	0.08%	0.24%	0.31%	0.08%	0.07%	0.07%	0.00%	0.08%	0.08%	0.08%	0.30%	0.13%	0.00%	0.12%	0.16%	0.14%	0.00%	0.35%	0.05%	0.11%	0.07%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	46363	1337	875	746	1176	768	701	1060	952	1090	846	1111	1113	928	922	1078	1076	2025	2234	921	1106	1063	1032	1054	1007	1168	1087	1036	1061	1005	1014	1070	1236	1248	1334	1039	1183	1124	1147	1616	1539	1235									
		81.27%	81.28%	81.17%	81.09%	81.44%	81.62%	82.47%	81.29%	81.23%	81.16%	81.19%	81.21%	81.84%	81.26%	80.95%	81.17%	80.48%	81.36%	81.21%	81.29%	78.38%	81.21%	81.26%	81.20%	81.74%	80.83%	81.24%	81.57%	82.31%	80.59%	81.32%	81.18%	81.26%	82.11%	81.19%	81.55%	81.76%	81.80%	81.29%	80.96%	81.26%	82.01%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	29	1	3	1	1	1	0	0	1	2	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1									
		0.05%	0.06%	0.28%	0.11%	0.07%	0.11%	0.00%	0.00%	0.09%	0.15%	0.10%	0.07%	0.07%	0.09%	0.09%	0.00%	0.00%	0.04%	0.04%	0.09%	0.07%	0.08%	0.08%	0.00%	0.08%	0.00%	0.07%	0.00%	0.08%	0.00%	0.00%	0.00%	0.07%	0.00%	0.06%	0.08%	0.00%	0.00%	0.00%	0.00%	0.05%	0.07%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	1	1	1	1	1	0	0	0	0	1	2	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	2	1	1	1									
		0.04%	0.06%	0.09%	0.11%	0.07%	0.11%	0.00%	0.00%	0.00%	0.00%	0.10%	0.15%	0.07%	0.09%	0.00%	0.00%	0.00%	0.04%	0.04%	0.00%	0.00%	0.08%	0.08%	0.00%	0.08%	0.00%	0.07%	0.00%	0.08%	0.00%	0.00%	0.00%	0.07%	0.00%	0.06%	0.00%	0.00%	0.00%	0.14%	0.05%	0.05%	0.07%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2510	72	47	40	64	41	37	57	52	59	51	60	59	50	50	58	58	119	121	50	54	57	56	57	54	61	64	55	54	55	54	58	67	67	72	56	63	61	62	89	83	66									
		4.40%	4.38%	4.36%	4.35%	4.43%	4.36%	4.35%	4.37%	4.44%	4.39%	4.89%	4.39%	4.34%	4.38%	4.39%	4.37%	4.34%	4.78%	4.40%	4.41%	3.83%	4.35%	4.41%	4.39%	4.38%	4.22%	4.78%	4.33%	4.19%	4.41%	4.33%	4.40%	4.40%	4.41%	4.38%	4.40%	4.35%	4.44%	4.39%	4.46%	4.38%	4.38%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	23	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	2	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	1	1									
		0.04%	0.06%	0.00%	0.11%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.09%	0.09%	0.00%	0.15%	0.04%	0.04%	0.00%	0.07%	0.08%	0.08%	0.08%	0.08%	0.00%	0.07%	0.00%	0.00%	0.00%	0.08%	0.00%	0.07%	0.00%	0.06%	0.00%	0.00%	0.07%	0.07%	0.00%	0.05%	0.07%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	25	1	1	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	2	1	2	0									
		0.04%	0.06%	0.09%	0.11%	0.07%	0.00%	0.00%	0.00%	0.09%	0.07%	0.00%	0.07%	0.07%	0.09%	0.09%	0.00%	0.00%	0.04%	0.04%	0.00%	0.07%	0.08%	0.08%	0.00%	0.00%	0.00%	0.07%	0.08%	0.08%	0.00%	0.00%	0.00%	0.07%	0.00%	0.06%	0.00%	0.00%	0.00%	0.14%	0.05%	0.11%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	27	1	0	2	1	1	0	0	0	0	0	2	1	1	0	0	1	1	2	2	0	1	1	0	1	0	1	0	1	0	0	0	1	0	3	0	0	0	0	0	3	0									
		0.05%	0.06%	0.00%	0.22%	0.07%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.07%	0.09%	0.00%	0.00%	0.07%	0.04%	0.07%	0.18%	0.00%	0.08%	0.08%	0.00%	0.08%	0.00%	0.07%	0.00%	0.08%	0.00%	0.00%	0.00%	0.07%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	66	3	1	1	2	0	1	1	1	2	1	2	1	1	1	2	0	1	5	7	1	1	2	2	1	1	1	1	1	1	1	4	2	2	2	1	2	1	1	2	2	1									
		0.12%	0.18%	0.09%	0.11%	0.14%	0.00%	0.12%	0.08%	0.09%	0.15%	0.10%	0.15%	0.07%	0.09%	0.09%	0.15%	0.00%	0.04%	0.18%	0.62%	0.07%	0.08%	0.16%	0.15%	0.08%	0.07%	0.07%	0.08%	0.08%	0.08%	0.08%	0.30%	0.13%	0.13%	0.12%	0.08%	0.14%	0.07%	0.07%	0.10%	0.11%	0.07%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4441	129	84	72	112	74	66	102	92	104	85	108	107	90	96	104	104	172	216	89	100	103	100	103	97	128	92	99	94	107	89	104	120	118	121	101	114	109	110	159	148	119									
		7.78%	7.84%	7.79%	7.83%	7.76%	7.86%	7.76%	7.82%	7.85%	7.74%	8.16%	7.89%	7.87%	7.88%	8.43%	7.83%	7.78%	6.91%	7.85%	7.86%	7.09%	7.87%	7.87%	7.94%	7.87%	8.86%	6.88%	7.80%	7.29%	8.58%	7.14%	7.89%	7.89%	7.76%	7.36%	7.93%	7.88%	7.93%	7.80%	7.97%	7.81%	7.90%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	60	2	1	1	2	1	1	1	3	1	1	1	1	1	1	1	2	1	6	1	1	1	1	2	1	1	1	1	1	1	1	4	2	1	3	1	1	1	1	2	2	1									
		0.11%	0.12%	0.09%	0.11%	0.14%	0.11%	0.12%	0.08%	0.26%	0.07%	0.10%	0.07%	0.07%	0.09%	0.09%	0.08%	0.15%	0.04%	0.22%	0.09%	0.07%	0.08%	0.08%	0.15%	0.08%	0.07%	0.07%	0.08%	0.08%	0.08%	0.08%	0.30%	0.13%	0.07%	0.18%	0.08%	0.07%	0.07%	0.07%	0.10%	0.11%	0.07%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2962	86	56	48	75	49	44	69	61	69	54	72	70	59	59	69	69	126	143	59	64	69	66	70	64	75	68	66	66	67	65	69	79	79	83	67	77	72	73	110	98	78									
		5.19%	5.23%	5.19%	5.22%	5.19%	5.21%	5.18%	5.29%	5.20%	5.14%	5.18%	5.26%	5.15%	5.17%	5.18%	5.20%	5.16%	5.06%	5.20%	5.21%	4.54%	5.27%	5.20%	5.39%	5.19%	5.19%	5.08%	5.20%	5.12%	5.37%	5.21%	5.24%	5.19%	5.20%	5.05%	5.26%	5.32%	5.24%	5.17%	5.51%	5.17%	5.18%									
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
