Выборы Президента Российской Федерации																																																							
																																																							
"Наименование Избирательной комиссии:    Казань, Кировская"																																																							
																																																							
Итоги голосования 																																																							
																																																							
		Сумма	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161					
1	"Число избирателей, внесенных в список"	79024	2412	2079	2405	2684	1462	1732	2488	2015	1501	1015	2152	2315	2162	1800	1721	1164	1599	1825	1609	2495	2168	2052	412	988	2041	1819	1877	1170	589	986	1593	1068	2621	2358	2104	2632	2483	2100	1766	366	1456	2315	2538	297	171	64	43	312					
2	Число полученных избирательных бюллетеней	75516	2300	2000	2300	2600	1400	1700	2400	2000	1500	1000	2000	2200	2000	1700	1600	1000	1500	1700	1500	2400	2000	2000	350	900	2000	1700	1800	1100	540	950	1500	1000	2500	2300	2000	2500	2500	2000	1700	320	1400	2300	2400	280	200	66	60	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	65068	1989	1895	1965	2137	1106	1320	1964	1563	1226	913	1773	1811	1650	1378	1252	913	1227	1516	1324	1805	1751	1756	275	857	1776	1416	1538	988	472	826	1356	816	2157	2022	1784	2286	2430	1854	1341	251	1313	2010	2204	272	171	64	43	312					
5	"Число избирательных бюллетеней, выданных вне помещения"	3165	88	62	106	108	82	82	79	108	63	6	58	91	76	64	134	44	53	42	55	63	53	38	54	16	71	54	55	28	5	56	100	73	97	98	50	73	53	119	267	69	78	106	83	5	0	0	0	0					
6	Число погашенных избирательных бюллетеней	7283	223	43	229	355	212	298	357	329	211	81	169	298	274	258	214	43	220	142	121	532	196	206	21	27	153	230	207	84	63	68	44	111	246	180	166	141	17	27	92	0	9	184	113	3	29	2	17	38					
7	Число избирательных бюллетеней в переносных ящиках	3165	88	62	106	108	82	82	79	108	63	6	58	91	76	64	134	44	53	42	55	63	53	38	54	16	71	54	55	28	5	56	100	73	97	98	50	73	53	119	267	69	78	106	83	5	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	65056	1989	1895	1965	2137	1106	1320	1955	1563	1226	913	1773	1811	1650	1377	1252	913	1227	1516	1324	1805	1751	1756	275	857	1776	1416	1538	988	472	826	1356	816	2157	2022	1784	2286	2430	1854	1341	250	1312	2010	2204	272	171	64	43	312					
9	Число недействительных избирательных бюллетеней	814	12	57	15	21	11	37	18	21	53	4	11	11	4	28	7	7	23	22	16	60	9	26	4	2	8	19	16	17	1	38	16	16	18	6	27	50	29	0	13	4	26	20	5	3	3	0	0	0					
10	Число действительных избирательных бюллетеней	67407	2065	1900	2056	2224	1177	1365	2016	1650	1236	915	1820	1891	1722	1413	1379	950	1257	1536	1363	1808	1795	1768	325	871	1839	1451	1577	999	476	844	1440	873	2236	2114	1807	2309	2454	1973	1595	315	1364	2096	2282	274	168	64	43	312					
