Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Ботлихская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28063	27	919	227	1770	677	62	10	543	1068	870	62	20	216	140	1700	1319	1746	340	40	1451	176	194	1778	32	25	43	468	142	243	189	15	1152	1680	391	394	21	985	1311	260	73	404	204	398	1472	654	368	368	304	31	156	634	53	238									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27430	30	900	340	1700	670	60	10	530	990	850	60	20	210	190	1690	1300	1500	340	35	1440	170	190	1760	30	24	43	460	140	220	186	15	1100	1700	391	387	21	985	1300	250	73	390	202	398	1400	616	368	348	297	30	150	632	53	236									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23565	25	830	227	1554	647	52	9	530	898	790	58	20	190	140	1149	1177	1027	235	32	1140	145	179	1497	30	24	43	388	139	215	171	15	940	1596	321	316	18	878	1187	236	62	257	202	346	1310	570	240	348	271	30	150	422	53	236									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	516	0	20	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	8	0	0	25	0	0	60	0	10	52	31	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	3349	5	50	113	30	23	8	1	0	92	60	2	0	20	50	541	123	473	105	3	300	25	11	69	0	0	0	72	1	5	15	0	160	104	70	63	3	107	88	14	11	73	0	42	38	15	128	0	26	0	0	210	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	516	0	20	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	8	0	0	25	0	0	60	0	10	52	31	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23565	25	830	227	1554	647	52	9	530	898	790	58	20	190	140	1149	1177	1027	235	32	1140	145	179	1497	30	24	43	388	139	215	171	15	940	1596	321	316	18	878	1187	236	62	257	202	346	1310	570	240	348	271	30	150	422	53	236									
9	Число недействительных избирательных бюллетеней	294	0	2	0	0	0	0	0	0	3	0	0	0	4	0	187	73	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	7	0	8									
10	Число действительных избирательных бюллетеней	23787	25	848	227	1670	647	52	9	530	895	790	58	20	186	140	962	1104	1027	235	32	1140	145	179	1691	30	24	43	387	139	215	170	15	940	1596	320	324	18	878	1208	236	62	314	202	356	1362	601	240	348	271	30	150	415	53	228									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	190	3	5	4	5	5	3	1	4	4	5	3	1	4	4	6	6	6	3	1	4	1	3	5	3	3	3	5	3	3	3	1	5	5	3	3	3	4	5	3	2	3	3	3	5	4	4	4	3	1	3	5	3	6									
