Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																
Дата голосования: 18.09.2016																
																
Наименование Избирательной комиссии:    Заозерская																
																
Сводная таблица итогов голосования по федеральному избирательному округу																
																
		Сумма	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6876	1319	1454	1275	1427	1401									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4580	950	1000	700	980	950									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	250	0	15	235	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2522	542	621	352	523	484									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	37	2	0	34	0	1									
6	Число погашенных избирательных бюллетеней	1771	406	364	79	457	465									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	286	2	15	268	0	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2520	540	621	352	523	484									
9	Число недействительных избирательных бюллетеней	101	18	23	34	12	14									
10	Число действительных избирательных бюллетеней	2705	524	613	586	511	471									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	50	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	32	8	10	7	3	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	53	5	19	20	6	3									
14	Число погашенных неиспользованных открепительных удостоверений	18	2	0	3	7	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	166	42	36	19	35	34									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0									
																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	44	8	16	7	5	8									
		1.57%	1.48%	2.52%	1.13%	0.96%	1.65%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	62	8	6	17	13	18									
		2.21%	1.48%	0.94%	2.74%	2.49%	3.71%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	72	13	14	8	17	20									
		2.57%	2.40%	2.20%	1.29%	3.25%	4.12%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1310	253	312	304	236	205									
		46.69%	46.68%	49.06%	49.03%	45.12%	42.27%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	28	4	4	5	8	7									
		0.99%	0.74%	0.63%	0.81%	1.53%	1.44%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	1	5	1	1	0									
		0.29%	0.18%	0.79%	0.16%	0.19%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	733	146	148	155	148	136									
		26.12%	26.94%	23.27%	25.00%	28.30%	28.04%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	3	5	3	3	1									
		0.53%	0.55%	0.79%	0.48%	0.57%	0.21%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	4	6	2	5	4									
		0.75%	0.74%	0.94%	0.32%	0.96%	0.82%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	1	1	0	2									
		0.14%	0.00%	0.16%	0.16%	0.00%	0.41%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	16	1	3	4	3	5									
		0.57%	0.18%	0.47%	0.65%	0.57%	1.03%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	254	54	59	52	49	40									
		9.05%	9.96%	9.28%	8.39%	9.37%	8.25%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	3	2	2	2	1									
		0.36%	0.55%	0.31%	0.32%	0.38%	0.21%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	128	26	32	25	21	24									
		4.56%	4.80%	5.03%	4.03%	4.02%	4.95%									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
