Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва								
Дата голосования: 02.12.2007								
								
Наименование Избирательной комиссии:    Уральская поселковая								
								
Сводная таблица результатов выборов								
								
		Сумма	УИК №2604					
1	"Число избирателей, внесенных в списки избирателей"	2000	2000					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	1850	1850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1453	1453					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	15	15					
6	Число погашенных избирательных бюллетеней	382	382					
7	Число избирательных бюллетеней в переносных ящиках для голосования	15	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1453	1453					
9	Число недействительных избирательных бюллетеней	3	3					
10	Число действительных избирательных бюллетеней	1465	1465					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	44	44					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	42	42					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	8	8					
14	Число погашенных неиспользованных открепительных удостоверений	2	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	6					
16	Число утраченных избирательных бюллетеней	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0					
17а	Число утраченных открепительных удостоверений	0	0					
17б	Число не учтенных открепительных удостоверений	0	0					
								
18	1.Политическая партия «Аграрная партия России»	12	12					
		0.82%	0.82%					
19	2.Всероссийская политическая партия «Гражданская Сила»	25	25					
		1.70%	1.70%					
20	3.Политическая партия «Демократическая партия России»	0	0					
		0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	51	51					
		3.47%	3.47%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	4	4					
		0.27%	0.27%					
23	6.Политическая партия «Партия социальной справедливости»	4	4					
		0.27%	0.27%					
24	7.Политическая партия «Либерально-демократическая партия России»	189	189					
		12.87%	12.87%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	57	57					
		3.88%	3.88%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	8	8					
		0.54%	0.54%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1104	1104					
		75.20%	75.20%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	11	11					
		0.75%	0.75%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
