Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №8																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	86837	1133	865	1947	1489	581	1770	1879	223	2729	2086	2818	2890	2464	1995	1880	2360	2263	1857	590	2664	2414	2600	2418	2042	2183	3605	2992	1824	326	2545	728	2992	1481	1204	1583	1624	2089	1715	1202	1575	1382	2708	1590	1523	1448	1625	936									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	76856	900	800	1500	1100	500	1500	1500	250	2500	2000	2500	2500	2500	1500	1500	2000	2000	1500	600	2500	2000	2500	2000	2000	2000	3500	2500	1500	600	2500	700	2500	1100	1000	1500	1500	2000	1506	1000	1500	1000	2500	1500	1500	1100	1500	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34713	358	291	739	475	196	619	708	144	931	865	1098	1010	1393	764	809	920	899	778	379	1067	873	1001	994	700	788	2237	1205	543	305	1031	223	1029	527	427	557	680	745	631	492	548	513	1004	631	1134	529	585	338									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	932	74	12	10	20	14	20	42	79	12	19	33	33	16	21	18	21	25	19	54	13	24	20	19	14	22	5	14	10	21	24	6	33	8	10	17	8	13	21	8	12	17	14	4	10	7	5	11									
6	Число погашенных избирательных бюллетеней	41211	468	497	751	605	290	861	750	27	1557	1116	1369	1457	1091	715	673	1059	1076	703	167	1420	1103	1479	987	1286	1190	1258	1281	947	274	1445	471	1438	565	563	926	812	1242	854	500	940	470	1482	865	356	564	910	351									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	925	74	12	10	20	14	19	42	79	12	19	33	33	16	21	18	21	25	19	54	13	24	20	19	14	22	5	14	10	21	24	6	33	8	10	17	8	13	21	8	12	17	14	3	5	7	5	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33990	358	291	739	474	196	619	705	144	911	846	1098	1010	1392	761	804	917	893	777	379	1062	871	994	989	686	783	2237	1197	542	305	1031	222	1025	525	424	548	679	744	614	492	548	505	1004	630	567	529	585	338									
9	Число недействительных избирательных бюллетеней	1279	21	4	28	13	6	16	56	29	45	19	50	51	41	38	22	32	36	33	57	31	28	31	30	28	23	57	47	12	12	38	7	33	11	15	13	17	29	24	26	15	16	48	12	19	27	23	10									
10	Число действительных избирательных бюллетеней	33636	411	299	721	481	204	622	691	194	878	846	1081	992	1367	744	800	906	882	763	376	1044	867	983	978	672	782	2185	1164	540	314	1017	221	1025	522	419	552	670	728	611	474	545	506	970	621	553	509	567	339									
