Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Кизеловская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21356	2216	1871	1102	1307	1360	1752	1660	1484	1209	1148	1483	1309	915	1160	1173	207									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16400	1600	1400	800	1000	1000	1300	1200	1100	1000	900	1100	1000	700	900	900	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5910	510	617	355	423	375	561	497	417	345	134	314	364	169	315	307	207									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	237	10	15	9	12	15	15	49	10	9	14	7	22	13	16	21	0									
6	Число погашенных избирательных бюллетеней	10251	1080	768	436	565	610	724	654	671	646	752	779	614	518	569	572	293									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	237	10	15	9	12	15	15	49	10	9	14	7	22	13	16	21	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5902	510	617	355	423	374	561	497	417	345	134	307	364	169	315	307	207									
9	Число недействительных избирательных бюллетеней	292	18	32	12	20	10	20	37	21	8	8	15	16	9	33	33	0									
10	Число действительных избирательных бюллетеней	5847	502	600	352	415	379	556	509	406	346	140	299	370	173	298	295	207									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	600	50	50	40	50	50	50	50	40	40	30	30	30	30	30	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	114	16	8	3	9	5	9	13	8	8	6	8	9	5	1	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	190	6	4	13	2	3	1	1	3	2	0	5	0	3	1	1	145									
14	Число погашенных неиспользованных открепительных удостоверений	486	34	42	37	41	45	41	37	32	32	24	22	21	25	29	24	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	36	2	4	2	2	2	6	3	2	1	5	3	1	0	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	55	3	2	5	5	5	6	3	2	1	3	4	5	4	4	1	2									
		0.90%	0.58%	0.32%	1.37%	1.15%	1.29%	1.04%	0.55%	0.47%	0.28%	2.03%	1.27%	1.30%	2.20%	1.21%	0.30%	0.97%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	264	19	22	10	21	15	30	36	19	18	7	7	21	4	6	26	3									
		4.30%	3.65%	3.48%	2.75%	4.83%	3.86%	5.21%	6.59%	4.45%	5.08%	4.73%	2.23%	5.44%	2.20%	1.81%	7.93%	1.45%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	155	13	21	7	14	8	17	19	14	8	3	5	5	5	10	6	0									
		2.52%	2.50%	3.32%	1.92%	3.22%	2.06%	2.95%	3.48%	3.28%	2.26%	2.03%	1.59%	1.30%	2.75%	3.02%	1.83%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2224	155	199	128	132	140	188	166	135	152	51	115	177	69	151	128	138									
		36.23%	29.81%	31.49%	35.16%	30.34%	35.99%	32.64%	30.40%	31.62%	42.94%	34.46%	36.62%	45.85%	37.91%	45.62%	39.02%	66.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	2	2	4	0	0	0	2	3	3	0	0	1	2	2	0	0									
		0.34%	0.38%	0.32%	1.10%	0.00%	0.00%	0.00%	0.37%	0.70%	0.85%	0.00%	0.00%	0.26%	1.10%	0.60%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	0	2	1	0	0	0	0	0	0	1	2	2	1	0	1	1									
		0.18%	0.00%	0.32%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.64%	0.52%	0.55%	0.00%	0.30%	0.48%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1531	158	170	103	106	100	165	136	103	76	41	92	90	42	41	60	48									
		24.94%	30.38%	26.90%	28.30%	24.37%	25.71%	28.65%	24.91%	24.12%	21.47%	27.70%	29.30%	23.32%	23.08%	12.39%	18.29%	23.19%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	39	5	4	1	1	4	1	4	5	2	1	0	2	5	0	0	4									
		0.64%	0.96%	0.63%	0.27%	0.23%	1.03%	0.17%	0.73%	1.17%	0.56%	0.68%	0.00%	0.52%	2.75%	0.00%	0.00%	1.93%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	46	5	5	5	1	8	7	1	3	0	0	4	5	0	1	0	1									
		0.75%	0.96%	0.79%	1.37%	0.23%	2.06%	1.22%	0.18%	0.70%	0.00%	0.00%	1.27%	1.30%	0.00%	0.30%	0.00%	0.48%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	1	2	0	0	0	0	0	4	0	0	2	0	0	1	0	0									
		0.16%	0.19%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.64%	0.00%	0.00%	0.30%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	46	7	9	5	1	6	0	2	4	2	0	1	3	2	1	2	1									
		0.75%	1.35%	1.42%	1.37%	0.23%	1.54%	0.00%	0.37%	0.94%	0.56%	0.00%	0.32%	0.78%	1.10%	0.30%	0.61%	0.48%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	901	77	99	47	85	66	82	78	68	49	21	48	44	21	67	47	2									
		14.68%	14.81%	15.66%	12.91%	19.54%	16.97%	14.24%	14.29%	15.93%	13.84%	14.19%	15.29%	11.40%	11.54%	20.24%	14.33%	0.97%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	1	2	0	1	0	0	1	2	1	0	1	0	0	0	0	1									
		0.16%	0.19%	0.32%	0.00%	0.23%	0.00%	0.00%	0.18%	0.47%	0.28%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.48%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	534	56	61	36	48	27	60	61	44	34	12	18	15	18	14	24	6									
		8.70%	10.77%	9.65%	9.89%	11.03%	6.94%	10.42%	11.17%	10.30%	9.60%	8.11%	5.73%	3.89%	9.89%	4.23%	7.32%	2.90%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
