Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																			
Дата голосования: 04.12.2011																																																			
																																																			
Наименование Избирательной комиссии:    Северская городская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248					
1	"Число избирателей, внесенных в список избирателей"	95414	387	2978	2031	2189	2407	2360	2428	2478	2306	2094	2116	376	519	2117	2636	534	2743	2612	337	2580	2655	2554	2856	2557	2825	2344	2580	2214	2573	2732	2308	2570	2558	2045	2140	2603	1948	2712	2750	1093	1927	2716	2753	1173					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	93370	370	2500	2000	2200	2400	2400	2400	2500	2300	2100	2100	400	500	2000	2700	500	2700	2500	400	2300	2600	2500	2800	2500	2800	2300	2500	2200	2600	2700	2300	2500	2500	2000	2100	2600	1900	2700	2700	1000	1900	2600	2700	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	55404	221	2152	1078	1207	1337	1410	1491	1477	1274	1215	1213	0	252	827	1217	229	1704	1498	282	1748	1590	1575	1736	1626	1803	1535	1674	1489	1615	1500	1396	1405	1438	1223	1143	1435	1157	1432	1519	588	1055	1480	1521	637					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1508	1	57	35	20	22	22	36	20	17	74	33	273	18	63	70	34	26	28	0	43	39	27	35	14	19	9	25	28	33	37	31	32	15	11	26	14	15	48	27	8	41	42	34	6					
6	Число погашенных избирательных бюллетеней	36458	148	291	887	973	1041	968	873	1003	1009	811	854	127	230	1110	1413	237	970	974	118	509	971	898	1029	860	978	756	801	683	952	1163	873	1063	1047	766	931	1151	728	1220	1154	404	804	1078	1145	457					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1506	1	57	34	20	22	22	36	20	17	74	33	272	18	63	70	34	26	28	0	43	39	27	35	14	19	9	25	28	33	37	31	32	15	11	26	14	15	48	27	8	41	42	34	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	55301	221	2149	1076	1198	1335	1407	1490	1472	1271	1214	1212	0	252	827	1217	229	1701	1490	282	1746	1588	1573	1732	1626	1799	1533	1673	1486	1582	1499	1395	1405	1438	1223	1143	1434	1157	1433	1519	588	1051	1478	1520	637					
9	Число недействительных избирательных бюллетеней	1120	1	20	25	21	23	31	33	26	22	26	29	11	6	22	19	1	20	21	6	26	24	19	33	19	30	23	30	23	33	26	163	23	25	31	18	29	17	35	39	6	26	27	26	6					
10	Число действительных избирательных бюллетеней	55687	221	2186	1085	1197	1334	1398	1493	1466	1266	1262	1216	261	264	868	1268	262	1707	1497	276	1763	1603	1581	1734	1621	1788	1519	1668	1491	1582	1510	1263	1414	1428	1203	1151	1419	1155	1446	1507	590	1066	1493	1528	637					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1005	10	80	20	20	35	30	30	30	10	20	20	0	10	10	20	20	30	20	0	20	20	30	20	20	35	30	20	30	30	30	25	10	35	20	10	30	20	25	30	10	20	30	30	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	734	6	71	11	14	15	23	20	29	5	13	17	0	0	5	19	11	22	15	0	17	18	21	19	12	21	22	15	26	23	26	20	7	17	19	9	26	10	17	16	9	19	19	22	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	264	3	13	2	2	3	1	2	7	2	8	2	6	1	7	9	3	8	43	10	13	32	24	8	6	2	4	5	1	2	7	1	0	2	0	1	6	3	0	2	2	2	1	7	1					
14	Число погашенных неиспользованных открепительных удостоверений	271	4	9	9	6	20	7	10	1	5	7	3	0	10	5	1	9	8	5	0	3	2	9	1	8	14	8	5	4	7	4	5	3	18	1	1	4	10	8	14	1	1	11	8	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
