Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Ловозерская																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314					
1	"Число избирателей, внесенных в списки"	10881	2361	384	79	52	1287	2751	2754	239	120	854					
2	"Число бюллетеней, полученных участковыми комиссиями"	10243	2160	380	74	65	1210	2540	2540	310	114	850					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	50	42	0	0	8	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6711	1486	248	54	37	714	1546	1507	223	114	782					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	175	47	7	5	0	37	46	33	0	0	0					
6	Число погашенных бюллетеней	3307	585	125	15	20	459	948	1000	87	0	68					
7	Число бюллетеней в переносных ящиках для голосования	225	89	7	5	8	37	46	33	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	6705	1486	248	54	37	714	1544	1503	223	114	782					
9	Число недействительных бюллетеней	62	24	3	1	0	9	9	12	0	0	4					
10	Число действительных бюллетеней	6868	1551	252	58	45	742	1581	1524	223	114	778					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	283	70	11	5	5	39	52	52	20	10	19					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	69	10	4	0	5	5	6	12	13	1	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	6	1	0	0	2	3	5	3	1	1					
14	Число погашенных открепительных удостоверений	214	60	7	5	0	34	46	40	7	9	6					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	88	28	2	1	0	11	15	11	2	2	16					
		1.26%	1.77%	0.78%	1.69%	0.0%	1.46%	0.94%	0.71%	0.89%	1.75%	2.04%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	128	16	3	0	1	17	28	41	2	3	17					
		1.84%	1.01%	1.17%	0.0%	2.22%	2.26%	1.76%	2.66%	0.89%	2.63%	2.17%					
