Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    Среднеахтубинская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518					
1	"Число избирателей, внесенных в списки избирателей"	40294	1202	1396	1749	1786	945	1243	1143	1186	438	350	1181	1117	1418	1347	1639	1290	1554	1196	1008	97	274	1262	172	732	403	538	364	239	243	191	1600	456	290	499	257	284	258	686	225	1644	552	195	1740	908	145	909	775	788	256	124					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	39900	1100	1300	1700	1700	900	1200	1100	1000	420	350	1100	1100	1400	1300	1500	1200	1500	1100	1000	140	270	1200	180	750	400	530	360	220	310	208	1500	520	380	552	270	290	280	810	230	1700	580	230	1850	930	160	1000	800	830	310	140					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18646	506	529	692	675	384	404	546	484	192	173	586	518	644	738	756	541	773	571	388	67	108	637	91	371	181	250	167	115	146	104	712	185	159	302	123	139	117	418	169	801	294	85	930	400	81	487	298	389	151	69					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1423	31	39	34	41	29	37	20	30	37	9	37	18	23	27	65	24	71	30	55	18	29	31	5	30	33	16	6	20	11	15	31	14	26	15	13	20	63	29	2	69	27	35	43	38	9	39	23	41	9	6					
6	Число погашенных избирательных бюллетеней	19831	563	732	974	984	487	759	534	486	191	168	477	564	733	535	679	635	656	499	557	55	133	532	84	349	186	264	187	85	153	89	757	321	195	235	134	131	100	363	59	830	259	110	877	492	70	474	479	400	150	65					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1423	31	39	34	41	29	37	20	30	37	9	37	18	23	27	65	24	71	30	55	18	29	31	5	30	33	16	6	20	11	15	31	14	26	15	13	20	63	29	2	69	27	35	43	38	9	39	23	41	9	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18642	506	529	692	675	383	404	546	484	192	173	586	518	644	736	756	540	773	571	388	67	108	637	91	371	181	250	167	115	146	104	712	185	159	302	123	139	117	418	169	801	294	85	930	400	81	487	298	389	151	69					
9	Число недействительных избирательных бюллетеней	142	6	2	5	6	2	5	2	5	3	2	7	0	3	5	8	8	9	2	5	0	1	3	0	1	0	5	2	0	0	0	8	2	1	0	1	0	1	2	0	9	2	0	4	4	2	3	4	1	1	0					
10	Число действительных избирательных бюллетеней	19923	531	566	721	710	410	436	564	509	226	180	616	536	664	758	813	556	835	599	438	85	136	665	96	400	214	261	171	135	157	119	735	197	184	317	135	159	179	445	171	861	319	120	969	434	88	523	317	429	159	75					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	315	5	10	10	10	5	5	5	5	5	5	5	10	5	10	5	5	10	5	5	5	5	20	5	5	5	5	5	5	5	5	5	5	5	10	5	5	5	5	5	5	5	5	15	10	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	177	2	10	10	7	3	3	5	3	2	1	3	5	3	5	4	4	6	3	2	0	2	12	0	5	0	4	5	1	3	0	5	0	0	6	1	0	2	0	2	3	2	0	15	6	3	5	3	5	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	179	4	7	3	12	7	0	4	3	4	1	1	0	2	4	8	3	5	3	1	3	2	6	4	0	1	7	2	5	0	2	6	0	1	10	3	2	0	2	3	10	4	4	3	5	8	3	1	6	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	138	3	0	0	3	2	2	0	2	3	4	2	5	2	5	1	1	4	2	3	5	3	8	5	0	5	1	0	4	2	5	0	5	5	4	4	5	3	5	3	2	3	5	0	4	2	0	2	0	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	1.Политическая партия «Аграрная партия России»	576	19	12	14	13	7	7	21	5	4	3	17	12	10	31	16	13	25	8	7	1	7	28	4	9	5	10	8	6	0	1	24	9	5	10	3	1	5	34	2	26	13	3	52	27	4	15	10	9	1	0					
		2.87%	3.54%	2.11%	1.93%	1.82%	1.70%	1.59%	3.71%	0.97%	1.75%	1.65%	2.73%	2.24%	1.50%	4.06%	1.95%	2.30%	2.96%	1.33%	1.58%	1.18%	5.11%	4.19%	4.17%	2.24%	2.34%	3.76%	4.62%	4.44%	0.00%	0.84%	3.23%	4.52%	2.70%	3.15%	2.21%	0.63%	2.78%	7.61%	1.17%	2.99%	4.05%	2.50%	5.34%	6.16%	4.44%	2.85%	3.12%	2.09%	0.63%	0.00%					
