Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																				
Дата голосования: 18.09.2016																				
																				
Наименование Избирательной комиссии:    Таборинская																				
																				
Сводная таблица итогов голосования по федеральному избирательному округу																				
																				
		Сумма	УИК №879	УИК №880	УИК №881	УИК №883	УИК №884	УИК №886	УИК №887	УИК №888	УИК №889									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3055	1093	174	139	563	426	215	314	69	62									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3000	1000	175	140	580	440	220	310	75	60									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	71	3	9	0	7	3	23	26	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1359	539	69	81	223	167	83	136	31	30									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	116	36	4	4	15	23	4	23	4	3									
6	Число погашенных избирательных бюллетеней	1454	422	93	55	335	247	110	125	40	27									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	187	39	13	4	22	26	27	49	4	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1359	539	69	81	223	167	83	136	31	30									
9	Число недействительных избирательных бюллетеней	44	18	1	1	9	8	2	3	2	0									
10	Число действительных избирательных бюллетеней	1502	560	81	84	236	185	108	182	33	33									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	110	20	10	10	20	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	31	14	1	3	1	3	1	7	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	26	3	2	4	7	1	2	4	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	79	6	9	7	19	7	9	3	9	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	12	3	1	3	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0									
																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	11	3	1	0	2	1	0	4	0	0									
		0.71%	0.52%	1.22%	0.00%	0.82%	0.52%	0.00%	2.16%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	28	9	0	1	4	7	1	4	2	0									
		1.81%	1.56%	0.00%	1.18%	1.63%	3.63%	0.91%	2.16%	5.71%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	36	15	1	0	4	4	1	8	2	1									
		2.33%	2.60%	1.22%	0.00%	1.63%	2.07%	0.91%	4.32%	5.71%	3.03%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	862	301	55	60	126	109	70	100	20	21									
		55.76%	52.08%	67.07%	70.59%	51.43%	56.48%	63.64%	54.05%	57.14%	63.64%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	11	4	0	0	2	3	0	1	0	1									
		0.71%	0.69%	0.00%	0.00%	0.82%	1.55%	0.00%	0.54%	0.00%	3.03%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	3	0	0	1	0	0	1	0	0									
		0.32%	0.52%	0.00%	0.00%	0.41%	0.00%	0.00%	0.54%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	346	136	14	14	67	31	25	44	7	8									
		22.38%	23.53%	17.07%	16.47%	27.35%	16.06%	22.73%	23.78%	20.00%	24.24%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	5	1	1	0	1	1	0	1	0	0									
		0.32%	0.17%	1.22%	0.00%	0.41%	0.52%	0.00%	0.54%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	7	2	1	0	1	2	0	1	0	0									
		0.45%	0.35%	1.22%	0.00%	0.41%	1.04%	0.00%	0.54%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	0	0	1	0	2	0	1									
		0.26%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	1.08%	0.00%	3.03%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	6	0	1	0	1	1	0	3	0	0									
		0.39%	0.00%	1.22%	0.00%	0.41%	0.52%	0.00%	1.62%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	113	48	6	9	17	15	8	7	2	1									
		7.31%	8.30%	7.32%	10.59%	6.94%	7.77%	7.27%	3.78%	5.71%	3.03%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	2	0	0	0	2	1	2	0	0									
		0.45%	0.35%	0.00%	0.00%	0.00%	1.04%	0.91%	1.08%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	61	36	1	0	10	8	2	4	0	0									
		3.95%	6.23%	1.22%	0.00%	4.08%	4.15%	1.82%	2.16%	0.00%	0.00%									
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
