Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																						
Дата голосования: 02.12.2007																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Воронеж, Левобережная"																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179					
1	"Число избирателей, внесенных в списки избирателей"	161761	2212	2076	1162	2049	2090	2011	2017	2188	2622	2185	2021	1990	1996	2212	2209	2666	2312	2020	1166	2873	2037	1215	2166	2362	2076	1350	1474	2131	1802	2215	1423	2371	2605	2074	2428	2140	1568	1409	2361	1761	2271	1964	2018	1288	2167	2063	2098	2269	2627	3142	2110	2068	1627	2198	2386	2567	2190	2098	2277	2122	2461	2113	1389	2376	2274	2507	2606	2497	1511	2123	1560	2469	2368	694	569	658	2140	2454	2397					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	157400	2100	2000	1100	2000	2000	2000	2000	2100	2200	2000	2000	2000	2000	2100	2200	2600	2300	2000	1150	2800	2000	1200	2100	2000	2000	1300	1400	2100	1800	2200	1400	2300	2500	2000	2400	2100	1600	1350	2300	1700	2200	2000	2000	1300	2200	2000	2100	2200	2600	2800	2000	2000	1600	2100	2400	2500	2200	2100	2200	2100	2400	2000	1400	2300	2200	2500	2600	2400	1500	2100	1600	2400	2300	650	550	600	2100	2400	2400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	88899	1214	1112	625	1226	1112	1039	982	1243	1656	1210	1125	1201	1193	1288	1250	1399	1158	1077	624	1645	1056	586	1205	1189	1122	673	698	1268	1080	1271	768	1347	1512	1277	1372	1154	938	787	1287	915	1313	1082	1047	682	1294	1205	1330	1406	1447	2107	1232	980	864	1226	1315	1317	1113	1161	1286	1191	1413	1086	688	1371	1102	1240	1562	1406	744	1056	721	1219	1138	340	311	318	1159	1142	1401					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3315	52	40	35	59	36	30	74	28	10	150	32	26	22	169	48	47	35	20	31	32	106	37	42	71	63	24	15	24	22	33	37	28	49	32	37	43	15	20	31	39	19	39	56	31	54	34	25	24	90	41	40	86	20	35	16	70	15	16	28	22	25	96	20	13	24	17	33	28	17	43	85	60	96	52	26	39	47	72	17					
6	Число погашенных избирательных бюллетеней	65186	834	848	440	715	852	931	944	829	534	640	843	773	785	643	902	1154	1107	903	495	1123	838	577	853	740	815	603	687	808	698	896	595	925	939	691	991	903	647	543	982	746	868	879	897	587	852	761	745	770	1063	652	728	934	716	839	1069	1113	1072	923	886	887	962	818	692	916	1074	1243	1005	966	739	1001	794	1121	1066	258	213	243	894	1186	982					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3315	52	40	35	59	36	30	74	28	10	150	32	26	22	169	48	47	35	20	31	32	106	37	42	71	63	24	15	24	22	33	37	28	49	32	37	43	15	20	31	39	19	39	56	31	54	34	25	24	90	41	40	86	20	35	16	70	15	16	28	22	25	96	20	13	24	17	33	28	17	43	85	60	96	52	26	39	47	72	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	88867	1214	1112	625	1226	1112	1034	982	1238	1656	1210	1125	1200	1193	1288	1250	1399	1158	1077	624	1645	1056	586	1205	1186	1122	673	698	1262	1080	1271	767	1347	1512	1277	1370	1154	938	787	1287	915	1313	1082	1047	682	1294	1205	1330	1406	1446	2107	1232	980	864	1226	1313	1317	1113	1161	1286	1191	1413	1086	688	1371	1102	1240	1562	1406	744	1056	721	1217	1138	336	311	318	1159	1142	1401					
9	Число недействительных избирательных бюллетеней	1088	12	17	9	7	13	17	18	13	17	20	19	6	12	20	25	15	18	8	3	13	14	7	9	7	18	13	10	12	17	4	17	20	22	20	16	31	6	7	11	13	18	8	17	16	20	16	18	27	10	38	6	14	0	7	16	14	14	17	23	14	16	9	3	18	8	20	15	22	11	13	15	14	11	0	3	8	12	7	14					
10	Число действительных избирательных бюллетеней	91094	1254	1135	651	1278	1135	1047	1038	1253	1649	1340	1138	1220	1203	1437	1273	1431	1175	1089	652	1664	1148	616	1238	1250	1167	684	703	1274	1085	1300	787	1355	1539	1289	1391	1166	947	800	1307	941	1314	1113	1086	697	1328	1223	1337	1403	1526	2110	1266	1052	884	1254	1313	1373	1114	1160	1291	1199	1422	1173	705	1366	1118	1237	1580	1412	750	1086	791	1263	1223	388	334	349	1194	1207	1404					
