Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Магарамкентская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	40000	220	70	1100	700	700	400	1400	1600	1500	1600	1500	250	1600	1060	1200	1200	1700	1600	1200	1000	1000	2250	350	250	600	1000	300	1000	1300	1500	700	850	1000	1000	1100	1000	1500	1400	300									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40000	220	70	1100	700	700	400	1400	1600	1500	1600	1500	250	1600	1060	1200	1200	1700	1600	1200	1000	1000	2250	350	250	600	1000	300	1000	1300	1500	700	850	1000	1000	1100	1000	1500	1400	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	38289	211	68	1090	632	640	376	1359	1560	1469	1545	1489	230	1539	1047	1156	1163	1658	1522	1166	939	946	2062	302	220	571	979	279	956	1249	1458	664	800	953	957	1064	947	1429	1315	279									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	1711	9	2	10	68	60	24	41	40	31	55	11	20	61	13	44	37	42	78	34	61	54	188	48	30	29	21	21	44	51	42	36	50	47	43	36	53	71	85	21									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	38289	211	68	1090	632	640	376	1359	1560	1469	1545	1489	230	1539	1047	1156	1163	1658	1522	1166	939	946	2062	302	220	571	979	279	956	1249	1458	664	800	953	957	1064	947	1429	1315	279									
9	Число недействительных избирательных бюллетеней	11	1	0	0	0	3	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	38278	210	68	1090	632	637	376	1359	1560	1467	1542	1487	230	1539	1047	1156	1163	1658	1522	1166	939	946	2062	302	220	571	979	279	956	1249	1458	664	800	953	957	1064	947	1429	1315	279									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	172	3	3	4	5	5	4	5	5	5	5	6	3	5	5	5	5	5	5	6	5	5	5	3	2	4	4	3	5	4	4	3	5	5	5	3	5	4	4	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	16	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	2	0	1	2	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	156	3	3	4	5	5	4	3	5	5	5	5	3	4	5	5	5	3	5	5	3	5	4	2	2	3	4	3	4	4	4	3	5	5	5	3	4	4	3	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	1	0	1	0	0	0	0	2	0	0	0	1	1	1	2	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	27	0	2	0	0	0	3	1	2	1	0	0	1	2	0	2	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	2	0	1	0	0									
		0.07%	0.00%	2.94%	0.00%	0.00%	0.00%	0.80%	0.07%	0.13%	0.07%	0.00%	0.00%	0.43%	0.13%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.11%	0.11%	0.00%	0.00%	0.00%	0.00%	0.10%	0.36%	0.10%	0.08%	0.07%	0.15%	0.13%	0.10%	0.00%	0.19%	0.00%	0.07%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	1	0	0	0	0	1	0	0	0	1	1	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	1.23%	0.10%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.09%	0.11%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	1	0	0	0	0	1	0	0	1									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.23%	0.00%	0.00%	0.00%	0.08%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	36912	179	50	1072	620	615	361	1348	1546	1444	1072	1465	208	1507	848	1130	1148	1646	1504	1152	920	931	2052	290	206	534	937	265	939	1224	1435	646	777	932	940	1047	931	1417	1305	269									
		96.40%	84.83%	73.53%	98.35%	98.10%	96.09%	96.01%	99.19%	99.10%	98.30%	69.39%	98.39%	90.43%	97.92%	80.99%	97.75%	98.71%	99.28%	98.82%	98.80%	97.98%	98.41%	99.52%	96.03%	93.64%	93.52%	95.71%	94.98%	98.22%	97.99%	98.42%	97.29%	97.13%	97.80%	98.22%	98.40%	98.31%	99.16%	99.24%	96.42%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.01%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.02%	2.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	31	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	5	5	0	0	0	0	0	0									
		0.08%	0.00%	0.00%	0.55%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.27%	0.00%	0.63%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	939	5	2	12	12	17	11	10	12	22	290	21	20	30	78	24	15	12	18	14	18	13	10	12	14	23	40	13	16	15	18	15	17	15	17	14	14	11	10	9									
