Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Погарская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24563	1720	1807	1535	817	805	404	783	745	244	100	666	349	138	191	247	111	120	577	526	329	730	348	248	305	576	418	475	231	63	133	407	257	85	397	185	592	507	402	130	296	430	273	137	329	604	120	735	530	227	301	433	525	525	293	102									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24750	1700	1700	1500	800	800	400	800	700	250	100	600	350	150	200	250	125	125	600	550	400	750	350	300	300	600	400	500	250	75	150	400	300	100	400	200	600	500	400	150	300	450	300	150	350	600	125	700	500	225	300	450	525	550	300	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16428	772	803	707	416	420	223	323	620	216	78	514	281	100	126	167	54	85	437	408	260	582	277	195	236	478	279	334	183	51	103	312	190	56	335	150	514	433	322	101	260	365	179	106	275	378	60	624	382	178	235	225	412	362	192	54									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2691	42	146	76	45	54	37	114	40	21	16	39	44	25	18	52	40	19	105	72	56	90	44	45	40	61	76	118	32	11	23	65	50	19	32	27	55	24	45	23	17	26	22	19	30	122	24	30	49	30	36	69	71	105	57	43									
6	Число погашенных избирательных бюллетеней	5631	886	751	717	339	326	140	363	40	13	6	47	25	25	56	31	31	21	58	70	84	78	29	60	24	61	45	48	35	13	24	23	60	25	33	23	31	43	33	26	23	59	99	25	45	100	41	46	69	17	29	156	42	83	51	3									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2691	42	146	76	45	54	37	114	40	21	16	39	44	25	18	52	40	19	105	72	56	90	44	45	40	61	76	118	32	11	23	65	50	19	32	27	55	24	45	23	17	26	22	19	30	122	24	30	49	30	36	69	71	105	57	43									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16428	772	803	707	416	420	223	323	620	216	78	514	281	100	126	167	54	85	437	408	260	582	277	195	236	478	279	334	183	51	103	312	190	56	335	150	514	433	322	101	260	365	179	106	275	378	60	624	382	178	235	225	412	362	192	54									
9	Число недействительных избирательных бюллетеней	225	20	12	21	9	21	7	7	15	2	0	3	1	2	13	0	0	0	4	0	3	0	0	0	2	1	0	14	1	0	1	0	0	0	0	2	36	0	5	0	0	4	3	0	0	1	0	0	0	0	6	0	0	2	7	0									
10	Число действительных избирательных бюллетеней	18894	794	937	762	452	453	253	430	645	235	94	550	324	123	131	219	94	104	538	480	313	672	321	240	274	538	355	438	214	62	125	377	240	75	367	175	533	457	362	124	277	387	198	125	305	499	84	654	431	208	265	294	483	465	242	97									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	223	15	15	12	8	8	5	7	10	3	2	5	2	2	2	2	2	2	5	5	3	5	3	3	3	5	5	5	2	1	2	4	2	0	3	2	4	4	4	2	2	4	2	2	2	4	2	5	5	2	3	4	4	4	2	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	223	15	15	12	8	8	5	7	10	3	2	5	2	2	2	2	2	2	5	5	3	5	3	3	3	5	5	5	2	1	2	4	2	0	3	2	4	4	4	2	2	4	2	2	2	4	2	5	5	2	3	4	4	4	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	95	11	20	6	4	1	7	5	2	0	1	3	2	0	2	0	0	1	2	0	0	1	0	0	1	1	1	0	1	1	0	4	1	0	0	1	3	0	0	0	1	1	1	0	0	1	4	0	0	0	0	1	0	0	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	177	12	18	4	3	5	16	5	8	2	1	5	4	0	1	1	0	0	14	2	2	5	0	0	1	14	1	2	1	0	1	1	0	1	2	1	5	9	2	2	1	3	4	0	4	0	2	6	0	1	0	1	2	1	0	1									
